date,AMZN,AMZN_SHE,PB Ratio
2001-04-27,,-1253411000.0,
2001-07-02,5256692460.0,-1253411000.0,-4.193909627408727
2001-07-03,5111979660.0,-1253411000.0,-4.07845444151998
2001-07-05,5524411140.0,-1253411000.0,-4.407501721302909
2001-07-06,5524411140.0,-1253411000.0,-4.407501721302909
2001-07-09,5719773420.0,-1253411000.0,-4.563366222252717
2001-07-10,5647417020.0,-1253411000.0,-4.5056386293083435
2001-07-11,5549735880.0,-1253411000.0,-4.427706378833439
2001-07-12,5965785179.999999,-1253411000.0,-4.759640038263585
2001-07-13,6143058360.0,-1253411000.0,-4.9010726409773016
2001-07-16,5792129820.000001,-1253411000.0,-4.621093815197091
2001-07-17,5915135700.000001,-1253411000.0,-4.719230723202526
2001-07-18,5774040720.0,-1253411000.0,-4.606661916960997
2001-07-19,5965785179.999999,-1253411000.0,-4.759640038263585
2001-07-20,6143058360.0,-1253411000.0,-4.9010726409773016
2001-07-23,5799365460.0,-1429931000.0,-4.055696016101476
2001-07-24,4363090920.0,-1429931000.0,-3.051259760086326
2001-07-25,4164110820.0,-1429931000.0,-2.9121061226031184
2001-07-26,4460772060.0,-1429931000.0,-3.1195715457599005
2001-07-27,4431829500.0,-1429931000.0,-3.099331016671434
2001-07-30,4540364100.0,-1429931000.0,-3.1752330007531833
2001-07-31,4518657180.0,-1429931000.0,-3.1600526039368333
2001-08-01,4522275000.0,-1429931000.0,-3.162582670072892
2001-08-02,4410122580.0,-1429931000.0,-3.084150619855084
2001-08-03,4395651300.0,-1429931000.0,-3.0740303553108506
2001-08-06,4305205800.0,-1429931000.0,-3.010778701909393
2001-08-07,4196671200.0,-1429931000.0,-2.9348767178276436
2001-08-08,4019398020.0,-1429931000.0,-2.810903477160786
2001-08-09,3784239720.0000005,-1429931000.0,-2.646449178316996
2001-08-10,3599730899.9999995,-1429931000.0,-2.5174158053780213
2001-08-13,3661233839.9999995,-1429931000.0,-2.5604269296910127
2001-08-14,3809564460.0,-1429931000.0,-2.664159641269404
2001-08-15,3646762560.0,-1429931000.0,-2.55030666514678
2001-08-16,3549081420.0,-1429931000.0,-2.481994879473205
2001-08-17,3614202180.0,-1429931000.0,-2.527536069922255
2001-08-20,3762532800.0,-1429931000.0,-2.631268781500646
2001-08-21,3578023980.0,-1429931000.0,-2.502235408561672
2001-08-22,3690176399.9999995,-1429931000.0,-2.5806674587794793
2001-08-23,3483960660.0000005,-1429931000.0,-2.436453689024156
2001-08-24,3701029860.0,-1429931000.0,-2.5882576571876545
2001-08-27,3664851660.0000005,-1429931000.0,-2.5629569958270717
2001-08-28,3606966540.0,-1429931000.0,-2.5224759376501384
2001-08-29,3324776580.0,-1429931000.0,-2.32513077903759
