date,close price,NEM_SHE,NEM_TA,NEM_TL,market cap,PB Ratio
1980-03-17,10.27,,,,,
1980-03-18,10.53,,,,,
1980-03-19,10.77,,,,,
1980-03-20,10.8,,,,,
1980-03-21,10.67,,,,,
1980-03-24,9.93,,,,,
1980-03-25,10.07,,,,,
1980-03-26,9.87,,,,,
1980-03-27,9.33,,,,,
1980-03-28,10.0,,,,,
1980-03-31,10.23,,,,,
1980-04-01,9.97,,,,,
1980-04-02,9.53,,,,,
1980-04-03,9.2,,,,,
1980-04-07,9.07,,,,,
1980-04-08,9.67,,,,,
1980-04-09,10.0,,,,,
1980-04-10,9.87,,,,,
1980-04-11,9.47,,,,,
1980-04-14,9.4,,,,,
1980-04-15,9.1,,,,,
1980-04-16,8.73,,,,,
1980-04-17,8.57,,,,,
1980-04-18,8.57,,,,,
1980-04-21,8.53,,,,,
1980-04-22,9.13,,,,,
1980-04-23,9.37,,,,,
1980-04-24,9.53,,,,,
1980-04-25,9.6,,,,,
1980-04-28,9.33,,,,,
1980-04-29,9.37,,,,,
1980-04-30,9.43,,,,,
1980-05-01,8.8,,,,,
1980-05-02,9.03,,,,,
1980-05-05,8.83,,,,,
1980-05-06,8.73,,,,,
1980-05-07,8.67,,,,,
1980-05-08,8.6,,,,,
1980-05-09,8.33,,,,,
1980-05-12,8.33,,,,,
1980-05-13,8.57,,,,,
1980-05-14,8.9,,,,,
1980-05-15,9.17,,,,,
1980-05-16,9.47,,,,,
1980-05-19,9.6,,,,,
1980-05-20,9.6,,,,,
1980-05-21,9.73,,,,,
1980-05-22,9.73,,,,,
1980-05-23,10.17,,,,,
1980-05-27,10.4,,,,,
1980-05-28,10.2,,,,,
1980-05-29,10.07,,,,,
1980-05-30,10.2,,,,,
1980-06-02,10.3,,,,,
1980-06-03,10.0,,,,,
1980-06-04,10.47,,,,,
1980-06-05,10.4,,,,,
1980-06-06,10.73,,,,,
1980-06-09,11.13,,,,,
1980-06-10,10.93,,,,,
1980-06-11,10.87,,,,,
1980-06-12,10.87,,,,,
1980-06-13,10.83,,,,,
1980-06-16,10.77,,,,,
1980-06-17,10.5,,,,,
1980-06-18,10.33,,,,,
1980-06-19,10.27,,,,,
1980-06-20,10.07,,,,,
1980-06-23,10.07,,,,,
1980-06-24,10.07,,,,,
1980-06-25,10.53,,,,,
1980-06-26,10.67,,,,,
1980-06-27,10.97,,,,,
1980-06-30,11.1,,,,,
1980-07-01,11.9,,,,,
1980-07-02,11.73,,,,,
1980-07-03,11.5,,,,,
1980-07-07,11.2,,,,,
1980-07-08,11.47,,,,,
1980-07-09,11.37,,,,,
1980-07-10,11.23,,,,,
1980-07-11,11.4,,,,,
1980-07-14,11.4,,,,,
1980-07-15,11.5,,,,,
1980-07-16,11.5,,,,,
1980-07-17,11.87,,,,,
1980-07-18,12.2,,,,,
1980-07-21,12.33,,,,,
1980-07-22,12.67,,,,,
1980-07-23,12.67,,,,,
1980-07-24,12.67,,,,,
1980-07-25,12.57,,,,,
1980-07-28,12.6,,,,,
1980-07-29,12.47,,,,,
1980-07-30,12.07,,,,,
1980-07-31,12.07,,,,,
1980-08-01,12.0,,,,,
1980-08-04,11.93,,,,,
1980-08-05,11.7,,,,,
1980-08-06,11.83,,,,,
1980-08-07,12.53,,,,,
1980-08-08,12.53,,,,,
1980-08-11,12.77,,,,,
1980-08-12,12.23,,,,,
1980-08-13,12.27,,,,,
1980-08-14,12.43,,,,,
1980-08-15,12.57,,,,,
1980-08-18,12.17,,,,,
1980-08-19,12.1,,,,,
1980-08-20,12.33,,,,,
1980-08-21,13.1,,,,,
1980-08-22,13.2,,,,,
1980-08-25,13.4,,,,,
1980-08-26,13.33,,,,,
1980-08-27,13.2,,,,,
1980-08-28,12.93,,,,,
1980-08-29,13.07,,,,,
1980-09-02,13.33,,,,,
1980-09-03,13.5,,,,,
1980-09-04,13.47,,,,,
1980-09-05,13.47,,,,,
1980-09-08,14.4,,,,,
1980-09-09,14.63,,,,,
1980-09-10,15.0,,,,,
1980-09-11,14.9,,,,,
1980-09-12,15.0,,,,,
1980-09-15,14.7,,,,,
1980-09-16,15.0,,,,,
1980-09-17,14.9,,,,,
1980-09-18,14.87,,,,,
1980-09-19,15.0,,,,,
1980-09-22,16.17,,,,,
1980-09-23,15.8,,,,,
1980-09-24,15.73,,,,,
1980-09-25,15.57,,,,,
1980-09-26,14.77,,,,,
1980-09-29,13.83,,,,,
1980-09-30,14.4,,,,,
1980-10-01,14.47,,,,,
1980-10-02,14.4,,,,,
1980-10-03,14.37,,,,,
1980-10-06,14.83,,,,,
1980-10-07,14.53,,,,,
1980-10-08,14.5,,,,,
1980-10-09,14.63,,,,,
1980-10-10,14.43,,,,,
1980-10-13,14.5,,,,,
1980-10-14,14.3,,,,,
1980-10-15,14.5,,,,,
1980-10-16,15.1,,,,,
1980-10-17,15.47,,,,,
1980-10-20,15.27,,,,,
1980-10-21,15.27,,,,,
1980-10-22,14.83,,,,,
1980-10-23,14.6,,,,,
1980-10-24,14.57,,,,,
1980-10-27,14.8,,,,,
1980-10-28,14.6,,,,,
1980-10-29,14.77,,,,,
1980-10-30,14.6,,,,,
1980-10-31,14.23,,,,,
1980-11-03,13.93,,,,,
1980-11-05,14.33,,,,,
1980-11-06,13.33,,,,,
1980-11-07,12.7,,,,,
1980-11-10,13.0,,,,,
1980-11-11,13.0,,,,,
1980-11-12,13.33,,,,,
1980-11-13,13.4,,,,,
1980-11-14,13.57,,,,,
1980-11-17,13.73,,,,,
1980-11-18,14.27,,,,,
1980-11-19,14.53,,,,,
1980-11-20,14.8,,,,,
1980-11-21,14.53,,,,,
1980-11-24,14.4,,,,,
1980-11-25,14.47,,,,,
1980-11-26,14.73,,,,,
1980-11-28,14.6,,,,,
1980-12-01,14.67,,,,,
1980-12-02,14.53,,,,,
1980-12-03,14.8,,,,,
1980-12-04,14.77,,,,,
1980-12-05,14.67,,,,,
1980-12-08,14.13,,,,,
1980-12-09,14.0,,,,,
1980-12-10,13.73,,,,,
1980-12-11,12.93,,,,,
1980-12-12,13.4,,,,,
1980-12-15,13.4,,,,,
1980-12-16,13.13,,,,,
