date,XRX,XRX_SHE,PB Ratio
2019-07-01,8450044560.0,,
2019-07-02,8310143160.0,,
2019-07-03,8506005119.999999,,
2019-07-05,8496678359.999999,,
2019-07-08,8314806539.999999,,
2019-07-09,8382425550.000001,,
2019-07-10,8272836119.999999,,
2019-07-11,8142261480.0,,
2019-07-12,8247187529.999999,,
2019-07-15,8163246690.0,,
2019-07-16,8233197390.000001,,
2019-07-17,8128271340.0,,
2019-07-18,8207548800.000001,,
2019-07-19,7995365010.0,,
2019-07-22,7934741070.0,,
2019-07-23,8095627680.0,,
2019-07-24,8181900210.000001,,
2019-07-25,8053657260.0,,
2019-07-26,8028008670.0,,
2019-07-29,7913755859.999999,,
2019-07-30,7643279820.0,,
2019-07-31,7484724900.0,,
2019-08-01,7377467160.0,,
2019-08-02,7130308020.0,,
2019-08-05,6841178460.0,,
2019-08-06,6829520010.0,4962000000.0,1.3763643712212816
2019-08-07,6820193250.0,4962000000.0,1.3744847339782347
2019-08-08,6929782680.0,4962000000.0,1.3965704715840388
2019-08-09,6575365800.0,4962000000.0,1.3251442563482467
2019-08-12,6549717210.0,4962000000.0,1.319975253929867
2019-08-13,6610341150.0,4962000000.0,1.3321928960096736
2019-08-14,6430801020.0,4962000000.0,1.2960098790810157
2019-08-15,6512410170.0,4962000000.0,1.3124567049576783
2019-08-16,6661638330.0,4962000000.0,1.3425309008464328
2019-08-19,6612672840.0,4962000000.0,1.3326628053204352
2019-08-20,6547385520.0,4962000000.0,1.3195053446191052
2019-08-21,6666301710.0,4962000000.0,1.3434707194679565
2019-08-22,6670965090.0,4962000000.0,1.34441053808948
2019-08-23,6477434820.0,4962000000.0,1.3054080652962514
2019-08-26,6552048900.0,4962000000.0,1.3204451632406289
2019-08-27,6409815810.0,4962000000.0,1.2917806952841595
2019-08-28,6486761580.0,4962000000.0,1.3072877025392986
2019-08-29,6712935510.0,4962000000.0,1.3528689056831922
2019-08-30,6759569310.0,4962000000.0,1.362267091898428
2019-09-03,6787549590.0,4962000000.0,1.3679060036275694
2019-09-04,6834183390.0,4962000000.0,1.3773041898428053
2019-09-05,6960094650.0,4962000000.0,1.402679292623942
2019-09-06,6960094650.0,4962000000.0,1.402679292623942
2019-09-09,7298189700.0,4962000000.0,1.4708161426844015
2019-09-10,7298189700.0,4962000000.0,1.4708161426844015
2019-09-11,7281867870.0,4962000000.0,1.467526777509069
2019-09-12,7104659430.0,4962000000.0,1.431813669891173
