date,close price,APD_SHE,APD_TA,APD_TL,market cap,PB Ratio
,,1510000000.0,3521000000.0,2011000000.0,,
1980-03-17,3.99,1510000000.0,3521000000.0,2011000000.0,,
1980-03-18,3.97,1510000000.0,3521000000.0,2011000000.0,,
1980-03-19,4.05,1510000000.0,3521000000.0,2011000000.0,,
1980-03-20,4.03,1510000000.0,3521000000.0,2011000000.0,,
1980-03-21,4.03,1510000000.0,3521000000.0,2011000000.0,,
1980-03-24,3.89,1510000000.0,3521000000.0,2011000000.0,,
1980-03-25,3.84,1510000000.0,3521000000.0,2011000000.0,,
1980-03-26,3.86,1510000000.0,3521000000.0,2011000000.0,,
1980-03-27,3.83,1510000000.0,3521000000.0,2011000000.0,,
1980-03-28,4.0,1510000000.0,3521000000.0,2011000000.0,,
1980-03-31,4.02,1510000000.0,3521000000.0,2011000000.0,,
1980-04-01,3.96,1510000000.0,3521000000.0,2011000000.0,,
1980-04-02,3.9,1510000000.0,3521000000.0,2011000000.0,,
1980-04-03,3.77,1510000000.0,3521000000.0,2011000000.0,,
1980-04-07,3.79,1510000000.0,3521000000.0,2011000000.0,,
1980-04-08,3.82,1510000000.0,3521000000.0,2011000000.0,,
1980-04-09,3.95,1510000000.0,3521000000.0,2011000000.0,,
1980-04-10,4.05,1510000000.0,3521000000.0,2011000000.0,,
1980-04-11,4.24,1510000000.0,3521000000.0,2011000000.0,,
1980-04-14,4.19,1510000000.0,3521000000.0,2011000000.0,,
1980-04-15,4.16,1510000000.0,3521000000.0,2011000000.0,,
1980-04-16,4.08,1510000000.0,3521000000.0,2011000000.0,,
1980-04-17,3.93,1510000000.0,3521000000.0,2011000000.0,,
1980-04-18,3.84,1510000000.0,3521000000.0,2011000000.0,,
1980-04-21,3.79,1510000000.0,3521000000.0,2011000000.0,,
1980-04-22,4.08,1510000000.0,3521000000.0,2011000000.0,,
1980-04-23,4.09,1510000000.0,3521000000.0,2011000000.0,,
1980-04-24,4.19,1510000000.0,3521000000.0,2011000000.0,,
1980-04-25,4.26,1510000000.0,3521000000.0,2011000000.0,,
1980-04-28,4.28,1510000000.0,3521000000.0,2011000000.0,,
1980-04-29,4.32,1510000000.0,3521000000.0,2011000000.0,,
1980-04-30,4.39,1510000000.0,3521000000.0,2011000000.0,,
1980-05-01,4.38,1510000000.0,3521000000.0,2011000000.0,,
1980-05-02,4.34,1510000000.0,3521000000.0,2011000000.0,,
1980-05-05,4.37,1510000000.0,3521000000.0,2011000000.0,,
1980-05-06,4.38,1510000000.0,3521000000.0,2011000000.0,,
1980-05-07,4.28,1510000000.0,3521000000.0,2011000000.0,,
1980-05-08,4.16,1510000000.0,3521000000.0,2011000000.0,,
1980-05-09,4.05,1510000000.0,3521000000.0,2011000000.0,,
1980-05-12,3.93,1510000000.0,3521000000.0,2011000000.0,,
1980-05-13,3.95,1510000000.0,3521000000.0,2011000000.0,,
1980-05-14,4.0,1510000000.0,3521000000.0,2011000000.0,,
1980-05-15,3.95,1510000000.0,3521000000.0,2011000000.0,,
1980-05-16,3.96,1510000000.0,3521000000.0,2011000000.0,,
