date,close price,IQV_SHE,IQV_TA,IQV_TL,market cap,PB Ratio
2013-05-09,42.11,,,,5165170490.0,
2013-05-10,42.39,,,,5199515010.0,
2013-05-13,43.32,,,,5313587880.0,
2013-05-14,44.43,-1323000000.0,2427000000.0,3749000000.0,5449739370.0,-4.119228548752835
2013-05-15,45.5,-1323000000.0,2427000000.0,3749000000.0,5580984500.0,-4.218431216931217
2013-05-16,45.85,-1323000000.0,2427000000.0,3749000000.0,5623915150.0,-4.250880687830688
2013-05-17,45.52,-1323000000.0,2427000000.0,3749000000.0,5583437680.0,-4.220285472411187
2013-05-20,45.38,-1323000000.0,2427000000.0,3749000000.0,5566265420.0,-4.2073056840513985
2013-05-21,45.05,-1323000000.0,2427000000.0,3749000000.0,5525787950.0,-4.176710468631897
2013-05-22,44.65,-1323000000.0,2427000000.0,3749000000.0,5476724350.0,-4.139625359032502
2013-05-23,45.0,-1323000000.0,2427000000.0,3749000000.0,5519655000.0,-4.172074829931973
2013-05-24,45.03,-1323000000.0,2427000000.0,3749000000.0,5523334770.0,-4.174856213151927
2013-05-28,45.43,-1323000000.0,2427000000.0,3749000000.0,5572398370.0,-4.211941322751323
2013-05-29,44.47,-1323000000.0,2427000000.0,3749000000.0,5454645730.0,-4.122937059712774
2013-05-30,44.25,-1323000000.0,2427000000.0,3749000000.0,5427660750.0,-4.1025402494331065
2013-05-31,44.04,-1323000000.0,2427000000.0,3749000000.0,5401902360.0,-4.083070566893424
2013-06-03,44.58,-1323000000.0,2427000000.0,3749000000.0,5468138220.0,-4.133135464852607
2013-06-04,43.19,-1323000000.0,2427000000.0,3749000000.0,5297642210.0,-4.004264708994709
2013-06-05,42.85,-1323000000.0,2427000000.0,3749000000.0,5255938150.0,-3.9727423658352228
2013-06-06,43.23,-1323000000.0,2427000000.0,3749000000.0,5302548570.0,-4.007973219954649
2013-06-07,42.97,-1323000000.0,2427000000.0,3749000000.0,5270657230.0,-3.9838678987150415
2013-06-10,43.64,-1323000000.0,2427000000.0,3749000000.0,5352838760.0,-4.045985457294028
2013-06-11,43.95,-1323000000.0,2427000000.0,3749000000.0,5390863050.0,-4.07472641723356
2013-06-12,43.0,-1323000000.0,2427000000.0,3749000000.0,5274337000.0,-3.986649281934996
2013-06-13,42.9,-1323000000.0,2427000000.0,3749000000.0,5262071100.0,-3.9773780045351472
2013-06-14,43.09,-1323000000.0,2427000000.0,3749000000.0,5285376310.0,-3.9949934315948603
2013-06-17,43.53,-1323000000.0,2427000000.0,3749000000.0,5339346270.0,-4.035787052154195
2013-06-18,43.89,-1323000000.0,2427000000.0,3749000000.0,5383503510.0,-4.069163650793651
2013-06-19,43.79,-1323000000.0,2427000000.0,3749000000.0,5371237610.0,-4.059892373393802
2013-06-20,43.34,-1323000000.0,2427000000.0,3749000000.0,5316041060.0,-4.018171625094483
2013-06-21,44.19,-1323000000.0,2427000000.0,3749000000.0,5420301210.0,-4.096977482993197
2013-06-24,43.32,-1323000000.0,2427000000.0,3749000000.0,5313587880.0,-4.016317369614512
2013-06-25,43.0,-1323000000.0,2427000000.0,3749000000.0,5274337000.0,-3.986649281934996
2013-06-26,42.02,-1323000000.0,2427000000.0,3749000000.0,5154131180.0,-3.895790763416478
