date,close price,ALB_SHE,ALB_TA,ALB_TL,market cap,PB Ratio
,,700200000.0,1085000000.0,384700000.0,,
1994-02-22,7.25,700200000.0,1085000000.0,384700000.0,,
1994-02-23,6.94,700200000.0,1085000000.0,384700000.0,,
1994-02-24,6.81,700200000.0,1085000000.0,384700000.0,,
1994-02-25,6.44,700200000.0,1085000000.0,384700000.0,,
1994-02-28,6.63,700200000.0,1085000000.0,384700000.0,,
1994-03-01,6.56,700200000.0,1085000000.0,384700000.0,,
1994-03-02,6.56,700200000.0,1085000000.0,384700000.0,,
1994-03-03,6.5,700200000.0,1085000000.0,384700000.0,,
1994-03-04,6.75,700200000.0,1085000000.0,384700000.0,,
1994-03-07,6.75,700200000.0,1085000000.0,384700000.0,,
1994-03-08,6.81,700200000.0,1085000000.0,384700000.0,,
1994-03-09,6.88,700200000.0,1085000000.0,384700000.0,,
1994-03-10,6.88,700200000.0,1085000000.0,384700000.0,,
1994-03-11,7.19,700200000.0,1085000000.0,384700000.0,,
1994-03-14,7.56,700200000.0,1085000000.0,384700000.0,,
1994-03-15,7.44,700200000.0,1085000000.0,384700000.0,,
1994-03-16,7.44,700200000.0,1085000000.0,384700000.0,,
1994-03-17,7.56,700200000.0,1085000000.0,384700000.0,,
1994-03-18,7.63,700200000.0,1085000000.0,384700000.0,,
1994-03-21,7.69,700200000.0,1085000000.0,384700000.0,,
1994-03-22,7.81,700200000.0,1085000000.0,384700000.0,,
1994-03-23,7.88,700200000.0,1085000000.0,384700000.0,,
1994-03-24,7.75,700200000.0,1085000000.0,384700000.0,,
1994-03-25,7.69,700200000.0,1085000000.0,384700000.0,,
1994-03-28,7.63,700200000.0,1085000000.0,384700000.0,,
1994-03-29,7.5,700200000.0,1085000000.0,384700000.0,,
1994-03-30,7.38,700200000.0,1085000000.0,384700000.0,,
1994-03-31,7.38,700200000.0,1085000000.0,384700000.0,,
1994-04-04,7.38,700200000.0,1085000000.0,384700000.0,,
1994-04-05,7.63,700200000.0,1085000000.0,384700000.0,,
1994-04-06,7.38,700200000.0,1085000000.0,384700000.0,,
1994-04-07,7.44,700200000.0,1085000000.0,384700000.0,,
1994-04-08,7.5,700200000.0,1085000000.0,384700000.0,,
1994-04-11,7.25,700200000.0,1085000000.0,384700000.0,,
1994-04-12,7.13,700200000.0,1085000000.0,384700000.0,,
1994-04-13,7.0,700200000.0,1085000000.0,384700000.0,,
1994-04-14,6.94,700200000.0,1085000000.0,384700000.0,,
1994-04-15,6.88,700200000.0,1085000000.0,384700000.0,,
1994-04-18,7.25,700200000.0,1085000000.0,384700000.0,,
1994-04-19,7.25,700200000.0,1085000000.0,384700000.0,,
1994-04-20,7.13,700200000.0,1085000000.0,384700000.0,,
1994-04-21,6.88,700200000.0,1085000000.0,384700000.0,,
1994-04-22,7.25,700200000.0,1085000000.0,384700000.0,,
1994-04-25,7.63,700200000.0,1085000000.0,384700000.0,,
1994-04-26,7.38,700200000.0,1085000000.0,384700000.0,,
1994-04-28,7.31,700200000.0,1085000000.0,384700000.0,,
1994-04-29,7.25,700200000.0,1085000000.0,384700000.0,,
1994-05-02,7.19,700200000.0,1085000000.0,384700000.0,,
1994-05-03,7.19,700200000.0,1085000000.0,384700000.0,,
1994-05-04,7.31,700200000.0,1085000000.0,384700000.0,,
1994-05-05,7.25,700200000.0,1085000000.0,384700000.0,,
1994-05-06,7.25,700200000.0,1085000000.0,384700000.0,,
