date,AIZ,AIZ_SHE,PB Ratio
2004-08-02,3413761693.69,3549457000000.0,0.0009617701224976102
2004-08-03,3466132684.5499997,3549457000000.0,0.0009765247711269638
2004-08-04,3452350844.85,3549457000000.0,0.0009726419688560813
2004-08-05,3536420067.02,3549457000000.0,0.000996327062708465
2004-08-06,3535041883.0499997,3549457000000.0,0.0009959387824813766
2004-08-09,3561227378.48,3549457000000.0,0.0010033161067960535
2004-08-10,3576387402.15,3354204000.0,1.0662402770225068
2004-08-11,3541932802.9,3354204000.0,1.0559682126966636
2004-08-12,3467510868.52,3354204000.0,1.0337805537528426
2004-08-13,3459241764.7000003,3354204000.0,1.0313152583146405
2004-08-16,3486805444.1,3354204000.0,1.0395329097753148
2004-08-17,3535041883.0499997,3354204000.0,1.053913799831495
2004-08-18,3562605562.4500003,3354204000.0,1.0621314512921696
2004-08-19,3555714642.6,3354204000.0,1.0600770384270009
2004-08-20,3555714642.6,3354204000.0,1.0600770384270009
2004-08-23,3570874666.27,3354204000.0,1.0645967467303719
2004-08-24,3581900138.0299997,3354204000.0,1.0678838073146415
2004-08-25,3579143770.0899997,3354204000.0,1.067062042168574
2004-08-26,3562605562.4500003,3354204000.0,1.0621314512921696
2004-08-27,3557092826.5699997,3354204000.0,1.0604879210000344
2004-08-30,3638405680.7999997,3354204000.0,1.0847299928090242
2004-08-31,3657700256.38,3354204000.0,1.0904823488314963
2004-09-01,3683885751.81,3354204000.0,1.098289117719137
2004-09-02,3700423959.4500003,3354204000.0,1.1032197085955417
2004-09-03,3645296600.65,3354204000.0,1.0867844056741929
2004-09-07,3638405680.7999997,3354204000.0,1.0847299928090242
2004-09-08,3634271128.8900003,3354204000.0,1.083497345089923
2004-09-09,3624623841.1,3354204000.0,1.080621167078687
2004-09-10,3628758393.0099998,3354204000.0,1.081853814797788
2004-09-13,3624623841.1,3354204000.0,1.080621167078687
2004-09-14,3652187520.5,3354204000.0,1.0888388185393614
2004-09-15,3707314879.2999997,3354204000.0,1.10527412146071
2004-09-16,3700423959.4500003,3354204000.0,1.1032197085955417
2004-09-17,3701802143.42,3354204000.0,1.1036305911685753
2004-09-20,3664591176.23,3354204000.0,1.0925367616966648
2004-09-21,3670103912.1099997,3354204000.0,1.0941802919887995
2004-09-22,3642540232.71,3354204000.0,1.0859626405281253
