date,PAYC,PAYC_SHE,PB Ratio
2014-04-15,772580880.6999999,,
2014-04-16,786170251.24,,
2014-04-17,817878782.5,,
2014-04-21,810329132.2,,
2014-04-22,804289411.96,,
2014-04-23,808819202.14,,
2014-04-24,792713281.5,,
2014-04-25,770064330.6,,
2014-04-28,753455099.94,,
2014-04-29,769057710.56,,
2014-04-30,775600740.82,,
2014-05-01,788686801.34,,
2014-05-02,795229831.6,,
2014-05-05,789190111.36,,
2014-05-06,770567640.62,,
2014-05-07,757481580.1,,
2014-05-08,764024610.36,,
2014-05-09,730302839.02,,
2014-05-12,709163818.18,,
2014-05-13,698090997.74,,
2014-05-14,708157198.14,,
2014-05-15,719230018.5799999,,
2014-05-16,695071137.62,,
2014-05-19,666382466.48,,
2014-05-20,704634028.0,,
2014-05-21,704634028.0,6054000.0,116.39148133465477
2014-05-22,774090810.76,6054000.0,127.86435592335646
2014-05-23,731309459.06,6054000.0,120.79773027089527
2014-05-27,706143958.06,6054000.0,116.64089165180046
2014-05-28,666885776.5,6054000.0,110.15622340601256
2014-05-29,678461906.96,6054000.0,112.06836917079617
2014-05-30,671918876.6999999,6054000.0,110.9875911298315
2014-06-02,681481767.0799999,6054000.0,112.56718980508754
2014-06-03,706143958.06,6054000.0,116.64089165180046
2014-06-04,719733328.6,6054000.0,118.88558450611167
2014-06-05,713190298.34,6054000.0,117.80480646514701
2014-06-06,727282978.9,6054000.0,120.1326360918401
2014-06-09,736845869.28,6054000.0,121.71223476709613
2014-06-10,726276358.86,6054000.0,119.96636254707632
2014-06-11,727786288.9200001,6054000.0,120.21577286422202
2014-06-12,703124097.94,6054000.0,116.1420710175091
2014-06-13,704634028.0,6054000.0,116.39148133465477
2014-06-16,726779668.88,6054000.0,120.0494993194582
2014-06-17,704634028.0,6054000.0,116.39148133465477
2014-06-18,713190298.34,6054000.0,117.80480646514701
2014-06-19,719230018.5799999,6054000.0,118.80244773372975
2014-06-20,710673748.24,6054000.0,117.38912260323752
2014-06-23,736845869.28,6054000.0,121.71223476709613
2014-06-24,739865729.4,6054000.0,122.21105540138751
2014-06-25,740872349.44,6054000.0,122.37732894615131
2014-06-26,740872349.44,6054000.0,122.37732894615131
2014-06-27,703627407.96,6054000.0,116.22520778989099
2014-06-30,734329319.18,6054000.0,121.29655090518665
2014-07-01,747856500.8,6054000.0,123.53097139081598
2014-07-02,729928434.0,6054000.0,120.5696124876115
2014-07-03,751954344.64,6054000.0,124.20785342583416
2014-07-07,718147132.9599999,6054000.0,118.62357663693425
2014-07-08,687925534.64,6054000.0,113.63157162867526
2014-07-09,687413304.16,6054000.0,113.54696137429798
2014-07-10,681266538.4000001,6054000.0,112.53163832177074
2014-07-11,667436315.4399999,6054000.0,110.2471614535844
2014-07-14,680754307.92,6054000.0,112.44702806739345
2014-07-15,664362932.5600001,6054000.0,109.7394999273208
2014-07-16,658216166.8,6054000.0,108.72417687479351
2014-07-17,635678025.6800001,6054000.0,105.0013256821936
2014-07-18,639263639.0400001,6054000.0,105.59359746283451
2014-07-21,654630553.4399999,6054000.0,108.13190509415261
2014-07-22,646434865.76,6054000.0,106.77814102411628
2014-07-23,657703936.3199999,6054000.0,108.63956662041625
2014-07-24,665899624.0,6054000.0,109.9933306904526
2014-07-25,665899624.0,6054000.0,109.9933306904526
2014-07-28,663850702.08,6054000.0,109.65488967294351
2014-07-29,659752858.24,6054000.0,108.97800763792534
2014-07-30,665899624.0,6054000.0,109.9933306904526
2014-07-31,654630553.4399999,6054000.0,108.13190509415261
2014-08-01,647971557.2,6054000.0,107.03197178724811
2014-08-04,650020479.12,6054000.0,107.37041280475718
2014-08-05,639775869.52,6054000.0,105.67820771721176
2014-08-06,708414753.84,6054000.0,117.01598180376611
2014-08-07,707902523.36,6054000.0,116.93137154938884
2014-08-08,695608991.84,67838000.0,10.253972579380289
2014-08-11,712512597.6800001,67838000.0,10.503148643533123
2014-08-12,711488136.72,67838000.0,10.488047063887498
2014-08-13,755539958.0,67838000.0,11.137414988649429
2014-08-14,781663712.48,67838000.0,11.522505269612902
2014-08-15,862596128.3199999,67838000.0,12.71553006161738
2014-08-18,842619139.5999999,67838000.0,12.421049258527667
2014-08-19,829301147.1200001,67838000.0,12.224728723134529
2014-08-20,807787466.9599999,67838000.0,11.907595550576373
