date,close price,HON_SHE,HON_TA,HON_TL,market cap,PB Ratio
,,3452000000.0,10007000000.0,6555000000.0,,
1989-09-19,9.15,3452000000.0,10007000000.0,6555000000.0,,
1989-09-20,9.15,3452000000.0,10007000000.0,6555000000.0,,
1989-09-21,9.24,3452000000.0,10007000000.0,6555000000.0,,
1989-09-22,9.24,3452000000.0,10007000000.0,6555000000.0,,
1989-09-25,9.12,3452000000.0,10007000000.0,6555000000.0,,
1989-09-26,9.03,3452000000.0,10007000000.0,6555000000.0,,
1989-09-27,8.94,3452000000.0,10007000000.0,6555000000.0,,
1989-09-28,8.91,3452000000.0,10007000000.0,6555000000.0,,
1989-09-29,8.91,3452000000.0,10007000000.0,6555000000.0,,
1989-10-02,8.85,3452000000.0,10007000000.0,6555000000.0,,
1989-10-03,8.91,3452000000.0,10007000000.0,6555000000.0,,
1989-10-04,9.18,3452000000.0,10007000000.0,6555000000.0,,
1989-10-05,9.06,3452000000.0,10007000000.0,6555000000.0,,
1989-10-06,9.0,3452000000.0,10007000000.0,6555000000.0,,
1989-10-09,8.94,3452000000.0,10007000000.0,6555000000.0,,
1989-10-10,8.91,3452000000.0,10007000000.0,6555000000.0,,
1989-10-11,8.82,3452000000.0,10007000000.0,6555000000.0,,
1989-10-12,8.7,3452000000.0,10007000000.0,6555000000.0,,
1989-10-13,7.63,3452000000.0,10007000000.0,6555000000.0,,
1989-10-16,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-10-17,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-10-18,8.49,3452000000.0,10007000000.0,6555000000.0,,
1989-10-19,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-10-20,8.58,3452000000.0,10007000000.0,6555000000.0,,
1989-10-23,8.37,3452000000.0,10007000000.0,6555000000.0,,
1989-10-24,8.85,3452000000.0,10007000000.0,6555000000.0,,
1989-10-25,8.58,3452000000.0,10007000000.0,6555000000.0,,
1989-10-26,8.37,3452000000.0,10007000000.0,6555000000.0,,
1989-10-27,8.4,3452000000.0,10007000000.0,6555000000.0,,
1989-10-30,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-10-31,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-11-01,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-11-02,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-11-03,8.67,3452000000.0,10007000000.0,6555000000.0,,
1989-11-06,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-11-07,8.55,3452000000.0,10007000000.0,6555000000.0,,
1989-11-08,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-11-09,8.7,3452000000.0,10007000000.0,6555000000.0,,
1989-11-10,8.73,3452000000.0,10007000000.0,6555000000.0,,
1989-11-13,8.67,3452000000.0,10007000000.0,6555000000.0,,
1989-11-14,8.46,3452000000.0,10007000000.0,6555000000.0,,
1989-11-15,8.46,3452000000.0,10007000000.0,6555000000.0,,
1989-11-16,8.46,3452000000.0,10007000000.0,6555000000.0,,
1989-11-17,8.34,3452000000.0,10007000000.0,6555000000.0,,
1989-11-20,8.34,3452000000.0,10007000000.0,6555000000.0,,
1989-11-21,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-11-22,8.49,3452000000.0,10007000000.0,6555000000.0,,
1989-11-24,8.52,3452000000.0,10007000000.0,6555000000.0,,
1989-11-27,8.52,3452000000.0,10007000000.0,6555000000.0,,
1989-11-28,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-11-29,8.46,3452000000.0,10007000000.0,6555000000.0,,
1989-11-30,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-12-01,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-12-04,8.7,3452000000.0,10007000000.0,6555000000.0,,
1989-12-05,8.76,3452000000.0,10007000000.0,6555000000.0,,
1989-12-06,8.76,3452000000.0,10007000000.0,6555000000.0,,
1989-12-07,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-12-08,8.58,3452000000.0,10007000000.0,6555000000.0,,
1989-12-11,8.61,3452000000.0,10007000000.0,6555000000.0,,
1989-12-12,8.55,3452000000.0,10007000000.0,6555000000.0,,
1989-12-13,8.64,3452000000.0,10007000000.0,6555000000.0,,
1989-12-14,8.58,3452000000.0,10007000000.0,6555000000.0,,
1989-12-15,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-12-18,8.4,3452000000.0,10007000000.0,6555000000.0,,
1989-12-19,8.25,3452000000.0,10007000000.0,6555000000.0,,
1989-12-20,8.37,3452000000.0,10007000000.0,6555000000.0,,
1989-12-21,8.49,3452000000.0,10007000000.0,6555000000.0,,
1989-12-22,8.43,3452000000.0,10007000000.0,6555000000.0,,
1989-12-26,8.34,3452000000.0,10007000000.0,6555000000.0,,
1989-12-27,8.4,3452000000.0,10007000000.0,6555000000.0,,
1989-12-28,8.37,3452000000.0,10007000000.0,6555000000.0,,
1989-12-29,8.31,3452000000.0,10007000000.0,6555000000.0,,
1990-01-02,8.43,3452000000.0,10007000000.0,6555000000.0,,
1990-01-03,8.46,3452000000.0,10007000000.0,6555000000.0,,
1990-01-04,8.73,3452000000.0,10007000000.0,6555000000.0,,
1990-01-05,8.85,3452000000.0,10007000000.0,6555000000.0,,
1990-01-08,8.85,3452000000.0,10007000000.0,6555000000.0,,
1990-01-09,8.67,3452000000.0,10007000000.0,6555000000.0,,
1990-01-10,8.58,3452000000.0,10007000000.0,6555000000.0,,
1990-01-11,8.52,3452000000.0,10007000000.0,6555000000.0,,
1990-01-12,8.37,3452000000.0,10007000000.0,6555000000.0,,
1990-01-15,8.34,3452000000.0,10007000000.0,6555000000.0,,
1990-01-16,8.52,3452000000.0,10007000000.0,6555000000.0,,
1990-01-17,8.34,3452000000.0,10007000000.0,6555000000.0,,
1990-01-18,8.49,3452000000.0,10007000000.0,6555000000.0,,
1990-01-19,8.43,3452000000.0,10007000000.0,6555000000.0,,
1990-01-22,8.25,3452000000.0,10007000000.0,6555000000.0,,
1990-01-23,8.28,3452000000.0,10007000000.0,6555000000.0,,
1990-01-24,8.1,3452000000.0,10007000000.0,6555000000.0,,
1990-01-25,7.81,3452000000.0,10007000000.0,6555000000.0,,
1990-01-26,8.1,3452000000.0,10007000000.0,6555000000.0,,
1990-01-29,8.22,3452000000.0,10007000000.0,6555000000.0,,
1990-01-30,8.22,3452000000.0,10007000000.0,6555000000.0,,
