date,ZBH,ZBH_SHE,PB Ratio
2001-08-21,,0.0,
2001-11-13,,23000000.0,
2002-03-13,,78000000.0,
2002-08-09,,205000000.0,
2002-11-12,,286000000.0,
2003-03-12,,366000000.0,
2003-05-13,,542000000.0,
2003-08-08,,648000000.0,
2003-11-14,,745000000.0,
2004-03-15,,3143000000.0,
2004-05-06,,3312000000.0,
2004-08-05,,3488000000.0,
2004-11-08,,3630000000.0,
2005-03-14,,3942000000.0,
2005-05-05,,4153000000.0,
2005-08-09,,4304000000.0,
2005-11-08,,4506000000.0,
2006-03-02,,4682000000.0,
2006-05-05,,4924000000.0,
2006-08-04,,4895000000.0,
2006-11-08,,4804000000.0,
2007-02-28,,4920000000.0,
2007-05-08,,5116000000.0,
2007-08-07,,5283000000.0,
2007-11-09,,5253000000.0,
2008-02-29,,5449000000.0,
2008-05-12,,5706000000.0,
2008-08-05,,5505000000.0,
2008-11-10,,5621000000.0,
2009-02-27,,5650000000.0,
2009-05-07,,5555000000.0,
2009-08-07,,5805000000.0,
2009-11-04,,5978000000.0,
2010-02-25,,5638000000.0,
2010-05-05,,5713000000.0,
2010-08-05,,5734000000.0,
2010-11-03,,5821000000.0,
2011-02-25,,5771000000.0,
2011-05-05,,5864000000.0,
2011-08-08,,6015000000.0,
2011-11-02,,5600000000.0,
2012-02-27,,5507000000.0,
2012-05-03,,5654000000.0,
2012-08-07,,5706000000.0,
2012-11-06,,5825000000.0,
2013-02-27,,5860900000.0,
2013-05-08,,5707600000.0,
2013-08-07,,5885900000.0,
2013-11-12,,6135700000.0,
2014-02-28,,6297300000.0,
2014-03-31,16211012000.0,6297300000.0,2.5742797706953775
2014-04-01,16336134000.0,6297300000.0,2.5941489209661284
2014-04-02,16552097999.999998,6297300000.0,2.6284436186937254
2014-04-03,16792058000.0,6297300000.0,2.6665488383910563
2014-04-04,16569238000.0,6297300000.0,2.631165420100678
2014-04-07,16257289999.999998,6297300000.0,2.581628634494148
2014-04-08,16085889999.999998,6297300000.0,2.554410620424626
2014-04-09,16457828000.0,6297300000.0,2.613473710955489
2014-04-10,15883638000.0,6297300000.0,2.5222933638225906
2014-04-11,15683100000.0,6297300000.0,2.49044828736125
2014-04-14,15952197999.999998,6297300000.0,2.533180569450399
2014-04-15,15875068000.0,6297300000.0,2.5209324631191143
2014-04-16,15695097999.999998,6297300000.0,2.492353548346116
2014-04-17,15595686000.0,6297300000.0,2.476567100185794
2014-04-21,15753374000.0,6297300000.0,2.501607673129754
2014-04-22,15713952000.000002,6297300000.0,2.495347529893764
2014-04-23,15674530000.0,6297300000.0,2.489087386657774
2014-04-24,17477658000.0,6297300000.0,2.775420894669144
2014-04-25,17232556000.0,6297300000.0,2.7364991345497276
2014-04-28,16874330000.0,6297300000.0,2.679613485144427
2014-04-29,16781774000.0,6297300000.0,2.6649157575468854
2014-04-30,16591520000.0,6297300000.0,2.634703761929716
2014-05-01,16711500000.0,6297300000.0,2.6537563717783814
2014-05-02,16816054000.0,6297300000.0,2.6703593603607896
2014-05-05,16973742000.0,6297300000.0,2.6953999333047496
2014-05-06,17150284000.0,6235300000.0,2.750514650457877
2014-05-07,17145142000.0,6235300000.0,2.7496899908584993
2014-05-08,17037160000.000002,6235300000.0,2.732372139271567
2014-05-09,17136572000.0,6235300000.0,2.7483155581928695
2014-05-12,17290832000.0,6235300000.0,2.7730553461742016
2014-05-13,17359392000.0,6235300000.0,2.7840508074992383
2014-05-14,17299402000.0,6235300000.0,2.7744297788398313
2014-05-15,17165710000.000002,6235300000.0,2.7529886292560106
2014-05-16,17244554000.0,6235300000.0,2.765633409779802
2014-05-19,17482800000.0,6235300000.0,2.803842637884304
2014-05-20,17407384000.0,6235300000.0,2.7917476304267637
2014-05-21,17398814000.0,6235300000.0,2.7903731977611343
2014-05-22,17443378000.0,6235300000.0,2.797520247622408
2014-05-23,17455376000.0,6235300000.0,2.7994444533542895
2014-05-27,17589068000.0,6235300000.0,2.8208856029381106
