date,close price,BA_SHE,BA_TA,BA_TL,market cap,PB Ratio
,,9638000000.0,27710000000.0,18072000000.0,,
1989-09-19,19.38,9638000000.0,27710000000.0,18072000000.0,,
1989-09-20,19.54,9638000000.0,27710000000.0,18072000000.0,,
1989-09-21,19.5,9638000000.0,27710000000.0,18072000000.0,,
1989-09-22,19.63,9638000000.0,27710000000.0,18072000000.0,,
1989-09-25,19.33,9638000000.0,27710000000.0,18072000000.0,,
1989-09-26,19.17,9638000000.0,27710000000.0,18072000000.0,,
1989-09-27,19.21,9638000000.0,27710000000.0,18072000000.0,,
1989-09-28,19.13,9638000000.0,27710000000.0,18072000000.0,,
1989-09-29,19.0,9638000000.0,27710000000.0,18072000000.0,,
1989-10-02,18.88,9638000000.0,27710000000.0,18072000000.0,,
1989-10-03,19.92,9638000000.0,27710000000.0,18072000000.0,,
1989-10-04,19.83,9638000000.0,27710000000.0,18072000000.0,,
1989-10-05,19.58,9638000000.0,27710000000.0,18072000000.0,,
1989-10-06,19.58,9638000000.0,27710000000.0,18072000000.0,,
1989-10-09,19.5,9638000000.0,27710000000.0,18072000000.0,,
1989-10-10,19.46,9638000000.0,27710000000.0,18072000000.0,,
1989-10-11,19.83,9638000000.0,27710000000.0,18072000000.0,,
1989-10-12,20.46,9638000000.0,27710000000.0,18072000000.0,,
1989-10-13,19.13,9638000000.0,27710000000.0,18072000000.0,,
1989-10-16,19.75,9638000000.0,27710000000.0,18072000000.0,,
1989-10-17,19.5,9638000000.0,27710000000.0,18072000000.0,,
1989-10-18,19.25,9638000000.0,27710000000.0,18072000000.0,,
1989-10-19,19.54,9638000000.0,27710000000.0,18072000000.0,,
1989-10-20,19.5,9638000000.0,27710000000.0,18072000000.0,,
1989-10-23,19.21,9638000000.0,27710000000.0,18072000000.0,,
1989-10-24,19.21,9638000000.0,27710000000.0,18072000000.0,,
1989-10-25,19.17,9638000000.0,27710000000.0,18072000000.0,,
1989-10-26,18.54,9638000000.0,27710000000.0,18072000000.0,,
1989-10-27,18.21,9638000000.0,27710000000.0,18072000000.0,,
1989-10-30,18.17,9638000000.0,27710000000.0,18072000000.0,,
1989-10-31,18.75,9638000000.0,27710000000.0,18072000000.0,,
1989-11-01,18.71,9638000000.0,27710000000.0,18072000000.0,,
1989-11-02,18.79,9638000000.0,27710000000.0,18072000000.0,,
1989-11-03,18.92,9638000000.0,27710000000.0,18072000000.0,,
1989-11-06,18.17,9638000000.0,27710000000.0,18072000000.0,,
1989-11-07,17.88,9638000000.0,27710000000.0,18072000000.0,,
1989-11-08,18.25,9638000000.0,27710000000.0,18072000000.0,,
1989-11-09,18.46,9638000000.0,27710000000.0,18072000000.0,,
1989-11-10,18.67,9638000000.0,27710000000.0,18072000000.0,,
1989-11-13,18.63,9638000000.0,27710000000.0,18072000000.0,,
