date,close price,ANTM_SHE,ANTM_TA,ANTM_TL,market cap,PB Ratio
2001-10-30,20.45,,,,,
2001-10-31,20.94,,,,,
2001-11-01,21.08,,,,,
2001-11-02,21.45,,,,,
2001-11-05,21.45,,,,,
2001-11-06,22.03,,,,,
2001-11-07,21.63,,,,,
2001-11-08,21.35,,,,,
2001-11-09,21.0,,,,,
2001-11-12,21.42,,,,,
2001-11-13,21.38,,,,,
2001-11-14,22.98,,,,,
2001-11-15,23.38,,,,,
2001-11-16,23.4,,,,,
2001-11-19,23.75,,,,,
2001-11-20,24.4,,,,,
2001-11-21,24.5,,,,,
2001-11-23,24.59,,,,,
2001-11-26,24.28,,,,,
2001-11-27,24.3,,,,,
2001-11-28,24.48,,,,,
2001-11-29,25.0,,,,,
2001-11-30,25.42,,,,,
2001-12-03,25.65,,,,,
2001-12-04,25.75,,,,,
2001-12-05,24.43,,,,,
2001-12-06,24.25,,,,,
2001-12-07,24.3,,,,,
2001-12-10,24.13,,,,,
2001-12-11,24.1,,,,,
2001-12-12,23.93,,,,,
2001-12-13,24.05,,,,,
2001-12-14,24.0,,,,,
2001-12-17,24.63,,,,,
2001-12-18,24.65,,,,,
2001-12-19,24.0,,,,,
2001-12-20,23.45,,,,,
2001-12-21,22.88,,,,,
2001-12-24,22.8,,,,,
2001-12-26,23.13,,,,,
2001-12-27,23.45,,,,,
2001-12-28,24.25,,,,,
2001-12-31,24.75,,,,,
2002-01-02,24.4,,,,,
2002-01-03,24.23,,,,,
2002-01-04,23.93,,,,,
2002-01-07,23.51,,,,,
2002-01-08,23.7,,,,,
2002-01-09,23.8,,,,,
2002-01-10,25.05,,,,,
2002-01-11,25.75,,,,,
2002-01-14,25.95,,,,,
2002-01-15,25.35,,,,,
2002-01-16,25.5,,,,,
2002-01-17,25.15,,,,,
2002-01-18,25.49,,,,,
2002-01-22,25.88,,,,,
2002-01-23,26.13,,,,,
2002-01-24,26.4,,,,,
2002-01-25,26.94,,,,,
2002-01-28,26.88,,,,,
2002-01-29,26.6,,,,,
2002-01-30,26.26,,,,,
2002-01-31,26.6,,,,,
2002-02-01,26.58,,,,,
2002-02-04,26.1,,,,,
2002-02-05,27.12,,,,,
2002-02-06,28.25,,,,,
2002-02-07,28.8,,,,,
2002-02-08,28.85,,,,,
2002-02-11,28.78,,,,,
2002-02-12,28.45,,,,,
2002-02-13,28.03,,,,,
2002-02-14,28.21,,,,,
2002-02-15,28.05,,,,,
2002-02-19,27.18,,,,,
2002-02-20,27.0,,,,,
2002-02-21,27.78,,,,,
2002-02-22,28.17,,,,,
2002-02-25,28.53,,,,,
