date,close price,LHX_SHE,LHX_TA,LHX_TL,market cap,PB Ratio
,,947000000.0,2593000000.0,1646000000.0,,
1994-02-11,,1162000000.0,2556000000.0,1394000000.0,,
1994-05-12,,1180000000.0,2602000000.0,1422000000.0,,
1994-11-14,,1172000000.0,2606000000.0,1434000000.0,,
1995-02-13,,1173000000.0,2666000000.0,1493000000.0,,
1995-05-15,,1199000000.0,2748000000.0,1550000000.0,,
1995-11-14,,1281000000.0,2831000000.0,1550000000.0,,
1996-02-09,,1305000000.0,3007000000.0,1702000000.0,,
1996-05-02,,1326000000.0,3070000000.0,1744000000.0,,
1996-11-08,,1400000000.0,3327000000.0,1927000000.0,,
1997-02-11,,1482000000.0,3513000000.0,2030000000.0,,
1997-05-09,,1503000000.0,3505000000.0,2002000000.0,,
1997-11-10,,1618000000.0,3653000000.0,2036000000.0,,
1998-02-04,,1623000000.0,3616000000.0,1993000000.0,,
1998-05-12,,1679000000.0,3709000000.0,2030000000.0,,
1998-11-12,,1604000000.0,3904000000.0,2300000000.0,,
1999-02-16,,1641000000.0,3896000000.0,2255000000.0,,
1999-05-13,,1640000000.0,3860000000.0,2221000000.0,,
1999-11-09,,1555000000.0,2681000000.0,1126000000.0,,
2000-05-09,,1403000000.0,2383000000.0,980000000.0,,
2000-05-25,13.91,1403000000.0,2383000000.0,980000000.0,,
2000-05-26,13.63,1403000000.0,2383000000.0,980000000.0,,
2000-05-30,14.08,1403000000.0,2383000000.0,980000000.0,,
2000-05-31,14.44,1403000000.0,2383000000.0,980000000.0,,
2000-06-01,15.09,1403000000.0,2383000000.0,980000000.0,,
2000-06-02,15.53,1403000000.0,2383000000.0,980000000.0,,
2000-06-05,14.88,1403000000.0,2383000000.0,980000000.0,,
2000-06-06,15.09,1403000000.0,2383000000.0,980000000.0,,
2000-06-07,14.97,1403000000.0,2383000000.0,980000000.0,,
2000-06-08,14.94,1403000000.0,2383000000.0,980000000.0,,
2000-06-09,15.06,1403000000.0,2383000000.0,980000000.0,,
2000-06-12,14.44,1403000000.0,2383000000.0,980000000.0,,
2000-06-13,14.45,1403000000.0,2383000000.0,980000000.0,,
2000-06-14,14.22,1403000000.0,2383000000.0,980000000.0,,
2000-06-15,14.35,1403000000.0,2383000000.0,980000000.0,,
2000-06-16,14.41,1403000000.0,2383000000.0,980000000.0,,
2000-06-19,14.26,1403000000.0,2383000000.0,980000000.0,,
2000-06-20,14.5,1403000000.0,2383000000.0,980000000.0,,
2000-06-21,14.94,1403000000.0,2383000000.0,980000000.0,,
2000-06-22,14.94,1403000000.0,2383000000.0,980000000.0,,
2000-06-23,15.29,1403000000.0,2383000000.0,980000000.0,,
2000-06-26,14.85,1403000000.0,2383000000.0,980000000.0,,
2000-06-27,15.09,1403000000.0,2383000000.0,980000000.0,,
2000-06-28,15.83,1403000000.0,2383000000.0,980000000.0,,
2000-06-29,15.47,1403000000.0,2383000000.0,980000000.0,,
2000-06-30,15.47,1403000000.0,2383000000.0,980000000.0,,
2000-07-03,15.83,1403000000.0,2383000000.0,980000000.0,,
2000-07-05,15.35,1403000000.0,2383000000.0,980000000.0,,
2000-07-06,15.68,1403000000.0,2383000000.0,980000000.0,,
2000-07-07,16.21,1403000000.0,2383000000.0,980000000.0,,
2000-07-10,16.5,1403000000.0,2383000000.0,980000000.0,,
2000-07-11,16.12,1403000000.0,2383000000.0,980000000.0,,
2000-07-12,16.8,1403000000.0,2383000000.0,980000000.0,,
2000-07-13,17.48,1403000000.0,2383000000.0,980000000.0,,
