date,close price,OTIS_SHE,OTIS_TA,OTIS_TL,market cap,PB Ratio
2020-03-19,45.25,,,,,
2020-03-20,45.0,,,,,
2020-03-23,40.0,,,,,
2020-03-24,40.0,,,,,
2020-03-25,41.01,,,,,
2020-03-26,45.0,,,,,
2020-03-27,45.24,,,,,
2020-03-30,50.0,,,,,
2020-03-31,50.0,,,,21655000000.0,
2020-04-01,46.7,,,,20225770000.0,
2020-04-02,44.0,,,,19056400000.0,
2020-04-03,47.32,,,,20494292000.0,
2020-04-06,45.94,,,,19896614000.0,
2020-04-07,44.28,,,,19177668000.0,
2020-04-08,44.09,,,,19095379000.0,
2020-04-09,49.14,,,,21282534000.0,
2020-04-13,46.0,,,,19922600000.0,
2020-04-14,45.89,,,,19874959000.0,
2020-04-15,44.55,,,,19294605000.0,
2020-04-16,45.62,,,,19758022000.0,
2020-04-17,46.15,,,,19987565000.0,
2020-04-20,45.39,,,,19658409000.0,
2020-04-21,45.9,,,,19879290000.0,
2020-04-22,47.05,,,,20377355000.0,
2020-04-23,47.47,,,,20559257000.0,
2020-04-24,47.85,,,,20723835000.0,
2020-04-27,48.22,,,,20884082000.0,
2020-04-28,49.86,,,,21594366000.0,
2020-04-29,51.15,,,,22153065000.0,
2020-04-30,50.91,,,,22049121000.0,
2020-05-01,49.71,,,,21529401000.0,
2020-05-04,49.53,,,,21451443000.0,
2020-05-05,48.09,,,,20827779000.0,
2020-05-06,48.31,,,,20923061000.0,
2020-05-07,51.81,,,,22438911000.0,
2020-05-08,52.95,-4284000000.0,9524000000.0,13808000000.0,22932645000.0,-5.353091736694678
2020-05-11,51.81,-4284000000.0,9524000000.0,13808000000.0,22438911000.0,-5.237841036414566
2020-05-12,49.72,-4284000000.0,9524000000.0,13808000000.0,21533732000.0,-5.026548085901027
2020-05-13,48.21,-4284000000.0,9524000000.0,13808000000.0,20879751000.0,-4.8738914565826335
2020-05-14,48.0,-4284000000.0,9524000000.0,13808000000.0,20788800000.0,-4.85266106442577
2020-05-15,48.89,-4284000000.0,9524000000.0,13808000000.0,21174259000.0,-4.942637488328665
2020-05-18,52.13,-4284000000.0,9524000000.0,13808000000.0,22577503000.0,-5.270192110177404
2020-05-19,52.31,-4284000000.0,9524000000.0,13808000000.0,22655461000.0,-5.288389589169001
2020-05-20,53.18,-4284000000.0,9524000000.0,13808000000.0,23032258000.0,-5.376344070961718
2020-05-21,52.03,-4284000000.0,9524000000.0,13808000000.0,22534193000.0,-5.260082399626517
2020-05-22,51.71,-4284000000.0,9524000000.0,13808000000.0,22395601000.0,-5.227731325863679
2020-05-26,50.89,-4284000000.0,9524000000.0,13808000000.0,22040459000.0,-5.144831699346406
2020-05-27,52.38,-4284000000.0,9524000000.0,13808000000.0,22685778000.0,-5.295466386554621
2020-05-28,50.96,-4284000000.0,9524000000.0,13808000000.0,22070776000.0,-5.151908496732026
2020-05-29,52.65,-4284000000.0,9524000000.0,13808000000.0,22802715000.0,-5.3227626050420165
2020-06-01,54.08,-4284000000.0,9524000000.0,13808000000.0,23422048000.0,-5.467331465919702
2020-06-02,54.15,-4284000000.0,9524000000.0,13808000000.0,23452365000.0,-5.474408263305322
2020-06-03,55.47,-4284000000.0,9524000000.0,13808000000.0,24024057000.0,-5.607856442577031
2020-06-04,55.4,-4284000000.0,9524000000.0,13808000000.0,23993740000.0,-5.60077964519141
2020-06-05,58.57,-4284000000.0,9524000000.0,13808000000.0,25366667000.0,-5.921257469654528
2020-06-08,61.26,-4284000000.0,9524000000.0,13808000000.0,,
2020-06-09,60.65,-4284000000.0,9524000000.0,13808000000.0,,
2020-06-10,59.03,-4284000000.0,9524000000.0,13808000000.0,25565893000.0,-5.967762138188609
2020-06-11,56.25,-4284000000.0,9524000000.0,13808000000.0,,
2020-06-12,56.04,-4284000000.0,9524000000.0,13808000000.0,,
2020-06-15,57.67,-4284000000.0,9524000000.0,13808000000.0,24976877000.0,-5.8302700746965455
2020-06-16,57.849998,-4284000000.0,9524000000.0,13808000000.0,25054835000.0,-5.848467553688142
2020-06-17,56.740002,-4284000000.0,9524000000.0,13808000000.0,24574094000.0,-5.736249766573296
2020-06-18,57.490002,-4284000000.0,9524000000.0,13808000000.0,24898919000.0,-5.812072595704949
2020-06-19,57.0,-4284000000.0,9524000000.0,13808000000.0,24686700000.0,-5.762535014005603
2020-06-22,57.060001,-4284000000.0,9524000000.0,13808000000.0,24712686000.0,-5.768600840336134
2020-06-23,56.799999,-4284000000.0,9524000000.0,13808000000.0,24600080000.0,-5.742315592903828
2020-06-24,55.540001,-4284000000.0,9524000000.0,13808000000.0,24054374000.0,-5.614933239962652
2020-06-25,56.200001,-4284000000.0,9524000000.0,13808000000.0,24340220000.0,-5.681657329598506
2020-06-26,55.790001,-4284000000.0,9524000000.0,13808000000.0,24162649000.0,-5.64020751633987
2020-06-29,56.57,-4284000000.0,9524000000.0,13808000000.0,24500467000.0,-5.719063258636788
2020-06-30,56.860001,-4284000000.0,9524000000.0,13808000000.0,24626066000.0,-5.74838141923436
