date,close price,NOW_SHE,NOW_TA,NOW_TL,market cap,PB Ratio
2012-06-29,24.6,,,,,
2012-07-02,24.77,,,,1414104710.47,
2012-07-03,25.31,,,,1444932992.4099998,
2012-07-05,25.96,,,,1482041109.56,
2012-07-06,25.84,,,,1475190380.24,
2012-07-09,25.27,,,,1442649415.97,
2012-07-10,25.05,,,,1430089745.55,
2012-07-11,23.74,,,,1355302617.1399999,
2012-07-12,24.08,,,,1374713016.8799999,
2012-07-13,24.18,,,,1380421957.98,
2012-07-16,24.38,,,,1391839840.1799998,
2012-07-17,24.27,,,,1385560004.97,
2012-07-18,24.23,,,,1383276428.53,
2012-07-19,24.0,,,,1370145864.0,
2012-07-20,25.23,,,,1440365839.53,
2012-07-23,24.35,,,,1390127157.8500001,
2012-07-24,24.84,,,,1418100969.24,
2012-07-25,24.93,,,,1423239016.23,
2012-07-26,24.42,,,,1394123416.6200001,
2012-07-27,25.33,,,,1446074780.6299999,
2012-07-30,25.39,,,,1449500145.29,
2012-07-31,27.0,,,,1541414097.0,
2012-08-01,27.71,,,,1581947578.81,
2012-08-02,29.08,,,,1660160071.8799999,
2012-08-03,28.67,,,,1636753413.3700001,
2012-08-06,28.02,,,,1599645296.22,
2012-08-07,28.0,,,,1598503508.0,
2012-08-08,27.57,,,,1573955061.27,
2012-08-09,29.51,,,,1684708518.6100001,
2012-08-10,31.65,-43128000.0,200472000.0,243600000.0,1806879858.1499999,-41.89574889051196
2012-08-13,32.43,-43128000.0,200472000.0,243600000.0,1851409598.73,-42.92825075890373
2012-08-14,32.28,-43128000.0,200472000.0,243600000.0,1842846187.0800002,-42.72969270728993
2012-08-15,29.68,-43128000.0,200472000.0,243600000.0,1694413718.48,-39.28801981265072
2012-08-16,29.75,-43128000.0,200472000.0,243600000.0,1698409977.25,-39.380680236737156
2012-08-17,29.6,-43128000.0,200472000.0,243600000.0,1689846565.6000001,-39.182122185123355
2012-08-20,29.89,-43128000.0,200472000.0,243600000.0,1706402494.79,-39.566001084910035
2012-08-21,30.26,-43128000.0,200472000.0,243600000.0,1727525576.8600001,-40.05577761222408
2012-08-22,29.85,-43128000.0,200472000.0,243600000.0,1704118918.3500001,-39.51305227114636
2012-08-23,29.03,-43128000.0,200472000.0,243600000.0,1657305601.3300002,-38.42760158899092
2012-08-24,29.7,-43128000.0,200472000.0,243600000.0,1695555506.7,-39.314494219532556
2012-08-27,29.27,-43128000.0,200472000.0,243600000.0,1671007059.97,-38.74529447157299
2012-08-28,29.32,-43128000.0,200472000.0,243600000.0,1673861530.52,-38.81148048877759
2012-08-29,29.49,-43128000.0,200472000.0,243600000.0,1683566730.3899999,-39.03651294727323
2012-08-30,29.78,-43128000.0,200472000.0,243600000.0,1700122659.5800002,-39.42039184705992
2012-08-31,31.1,-43128000.0,200472000.0,243600000.0,1775480682.1000001,-41.16770270126136
2012-09-04,33.67,-43128000.0,200472000.0,243600000.0,1922200468.3700001,-44.56966398557782
2012-09-05,34.19,-43128000.0,200472000.0,243600000.0,1951886962.09,-45.257998564505655
2012-09-06,36.06,-43128000.0,200472000.0,243600000.0,2058644160.66,-47.73335560795771
2012-09-07,36.55,-43128000.0,200472000.0,243600000.0,2086617972.05,-48.38197857656279
2012-09-10,34.39,-43128000.0,200472000.0,243600000.0,1963304844.29,-45.52274263332406
2012-09-11,33.01,-43128000.0,200472000.0,243600000.0,1884521457.11,-43.69600855847709
2012-09-12,35.05,-43128000.0,200472000.0,243600000.0,2000983855.55,-46.39639806042478
2012-09-13,37.51,-43128000.0,200472000.0,243600000.0,2141423806.61,-49.65275010689111
2012-09-14,39.06,-43128000.0,200472000.0,243600000.0,2229912393.6600003,-51.70451664023373
2012-09-17,38.19,-43128000.0,200472000.0,243600000.0,2180244606.0899997,-50.55287994087367
2012-09-18,36.8,-43128000.0,200472000.0,243600000.0,2100890324.8,-48.71290866258579
2012-09-19,38.65,-43128000.0,200472000.0,243600000.0,2206505735.15,-51.161791299156
2012-09-20,38.0,-43128000.0,200472000.0,243600000.0,2169397618.0,-50.301373075496194
2012-09-21,39.63,-43128000.0,200472000.0,243600000.0,2262453357.9300003,-52.45903723636617
2012-09-24,40.37,-43128000.0,200472000.0,243600000.0,2304699522.0699997,-53.43859029099424
2012-09-25,39.99,-43128000.0,200472000.0,243600000.0,2283005545.8900003,-52.9355765602393
2012-09-26,38.08,-43128000.0,200472000.0,243600000.0,2173964770.88,-50.40727070302356
2012-09-27,40.04,-43128000.0,200472000.0,243600000.0,2285860016.44,-53.00176257744389
2012-09-28,38.68,-43128000.0,200472000.0,243600000.0,2208218417.48,-51.20150290947876
2012-10-01,36.48,-43128000.0,200472000.0,243600000.0,2696186858.8799996,-62.51592605453533
2012-10-02,36.5,-43128000.0,200472000.0,243600000.0,2697665031.5,-62.550200136802076
2012-10-03,37.03,-43128000.0,200472000.0,243600000.0,2736836605.9300003,-63.45846331687072
2012-10-04,37.15,-43128000.0,200472000.0,243600000.0,2745705641.65,-63.66410781047116
2012-10-05,37.0,-43128000.0,200472000.0,243600000.0,2734619347.0,-63.4070521934706
2012-10-08,36.53,-43128000.0,200472000.0,243600000.0,2699882290.4300003,-62.6016112602022
2012-10-09,36.0,-43128000.0,200472000.0,243600000.0,2660710716.0,-61.69334808013355
2012-10-10,34.78,-43128000.0,200472000.0,243600000.0,2570542186.1800003,-59.60262906186237
2012-10-11,34.5,-43128000.0,200472000.0,243600000.0,2549847769.5,-59.122791910127994
2012-10-12,33.32,-43128000.0,200472000.0,243600000.0,2462635584.92,-57.10062105639028
2012-10-15,34.51,-43128000.0,200472000.0,243600000.0,2550586855.81,-59.13992895126136
2012-10-16,34.31,-43128000.0,200472000.0,243600000.0,2535805129.61,-58.79718812859396
