date,close price,FANG_SHE,FANG_TA,FANG_TL,market cap,PB Ratio
,,115000000.0,230000000.0,115000000.0,,
2012-10-12,17.5,115000000.0,230000000.0,115000000.0,,
2012-10-15,17.75,115000000.0,230000000.0,115000000.0,,
2012-10-16,17.79,115000000.0,230000000.0,115000000.0,,
2012-10-17,17.7,115000000.0,230000000.0,115000000.0,,
2012-10-18,17.7,115000000.0,230000000.0,115000000.0,,
2012-10-19,17.41,115000000.0,230000000.0,115000000.0,,
2012-10-22,17.03,115000000.0,230000000.0,115000000.0,,
2012-10-23,17.13,115000000.0,230000000.0,115000000.0,,
2012-10-24,17.39,115000000.0,230000000.0,115000000.0,,
2012-10-25,17.03,115000000.0,230000000.0,115000000.0,,
2012-10-26,17.14,115000000.0,230000000.0,115000000.0,,
2012-10-31,17.03,115000000.0,230000000.0,115000000.0,,
2012-11-01,17.23,115000000.0,230000000.0,115000000.0,,
2012-11-02,17.0,115000000.0,230000000.0,115000000.0,,
2012-11-05,16.71,115000000.0,230000000.0,115000000.0,,
2012-11-06,17.01,115000000.0,230000000.0,115000000.0,,
2012-11-07,17.06,115000000.0,230000000.0,115000000.0,,
2012-11-08,16.75,115000000.0,230000000.0,115000000.0,,
2012-11-09,16.55,115000000.0,230000000.0,115000000.0,,
2012-11-12,16.5,115000000.0,230000000.0,115000000.0,,
2012-11-13,16.04,115000000.0,230000000.0,115000000.0,,
2012-11-14,16.05,115000000.0,230000000.0,115000000.0,,
2012-11-15,16.7,115000000.0,230000000.0,115000000.0,,
2012-11-16,16.82,125000000.0,308000000.0,183000000.0,,
2012-11-19,17.12,125000000.0,308000000.0,183000000.0,,
2012-11-20,17.13,125000000.0,308000000.0,183000000.0,,
2012-11-21,17.2,125000000.0,308000000.0,183000000.0,,
2012-11-23,17.32,125000000.0,308000000.0,183000000.0,,
2012-11-26,17.26,125000000.0,308000000.0,183000000.0,,
2012-11-27,17.23,125000000.0,308000000.0,183000000.0,,
2012-11-28,17.25,125000000.0,308000000.0,183000000.0,,
2012-11-29,18.16,125000000.0,308000000.0,183000000.0,,
2012-11-30,18.0,125000000.0,308000000.0,183000000.0,,
2012-12-03,18.1,125000000.0,308000000.0,183000000.0,,
2012-12-04,17.83,125000000.0,308000000.0,183000000.0,,
2012-12-05,17.98,125000000.0,308000000.0,183000000.0,,
2012-12-06,17.62,125000000.0,308000000.0,183000000.0,,
2012-12-07,17.75,125000000.0,308000000.0,183000000.0,,
2012-12-10,17.62,125000000.0,308000000.0,183000000.0,,
2012-12-11,17.54,125000000.0,308000000.0,183000000.0,,
2012-12-12,17.64,125000000.0,308000000.0,183000000.0,,
2012-12-13,17.88,125000000.0,308000000.0,183000000.0,,
2012-12-14,17.57,125000000.0,308000000.0,183000000.0,,
2012-12-17,17.98,125000000.0,308000000.0,183000000.0,,
2012-12-18,18.8,125000000.0,308000000.0,183000000.0,,
2012-12-19,19.18,125000000.0,308000000.0,183000000.0,,
2012-12-20,19.02,125000000.0,308000000.0,183000000.0,,
2012-12-21,18.98,125000000.0,308000000.0,183000000.0,,
2012-12-24,18.64,125000000.0,308000000.0,183000000.0,,
2012-12-26,18.65,125000000.0,308000000.0,183000000.0,,
2012-12-27,18.54,125000000.0,308000000.0,183000000.0,,
2012-12-28,18.78,125000000.0,308000000.0,183000000.0,,
2012-12-31,19.12,125000000.0,308000000.0,183000000.0,711372792.8000001,5.690982342400001
2013-01-02,19.24,125000000.0,308000000.0,183000000.0,715837475.5999999,5.726699804799999
2013-01-03,19.14,125000000.0,308000000.0,183000000.0,712116906.6,5.6969352528
2013-01-04,20.05,125000000.0,308000000.0,183000000.0,745974084.5,5.967792676
2013-01-07,20.77,125000000.0,308000000.0,183000000.0,772762181.3,6.1820974504
2013-01-08,20.6,125000000.0,308000000.0,183000000.0,766437214.0,6.131497712
2013-01-09,20.47,125000000.0,308000000.0,183000000.0,761600474.3,6.0928037944
2013-01-10,21.63,125000000.0,308000000.0,183000000.0,804759074.6999999,6.4380725976
