date,close price,KMB_SHE,KMB_TA,KMB_TL,market cap,PB Ratio
,,2086000000.0,4923000000.0,2837000000.0,,
1980-03-17,2.5,2086000000.0,4923000000.0,2837000000.0,,
1980-03-18,2.48,2086000000.0,4923000000.0,2837000000.0,,
1980-03-19,2.46,2086000000.0,4923000000.0,2837000000.0,,
1980-03-20,2.39,2086000000.0,4923000000.0,2837000000.0,,
1980-03-21,2.4,2086000000.0,4923000000.0,2837000000.0,,
1980-03-24,2.38,2086000000.0,4923000000.0,2837000000.0,,
1980-03-25,2.4,2086000000.0,4923000000.0,2837000000.0,,
1980-03-26,2.42,2086000000.0,4923000000.0,2837000000.0,,
1980-03-27,2.42,2086000000.0,4923000000.0,2837000000.0,,
1980-03-28,2.43,2086000000.0,4923000000.0,2837000000.0,,
1980-03-31,2.41,2086000000.0,4923000000.0,2837000000.0,,
1980-04-01,2.44,2086000000.0,4923000000.0,2837000000.0,,
1980-04-02,2.43,2086000000.0,4923000000.0,2837000000.0,,
1980-04-03,2.43,2086000000.0,4923000000.0,2837000000.0,,
1980-04-07,2.37,2086000000.0,4923000000.0,2837000000.0,,
1980-04-08,2.37,2086000000.0,4923000000.0,2837000000.0,,
1980-04-09,2.34,2086000000.0,4923000000.0,2837000000.0,,
1980-04-10,2.34,2086000000.0,4923000000.0,2837000000.0,,
1980-04-11,2.26,2086000000.0,4923000000.0,2837000000.0,,
1980-04-14,2.29,2086000000.0,4923000000.0,2837000000.0,,
1980-04-15,2.28,2086000000.0,4923000000.0,2837000000.0,,
1980-04-16,2.32,2086000000.0,4923000000.0,2837000000.0,,
1980-04-17,2.33,2086000000.0,4923000000.0,2837000000.0,,
1980-04-18,2.34,2086000000.0,4923000000.0,2837000000.0,,
1980-04-21,2.28,2086000000.0,4923000000.0,2837000000.0,,
1980-04-22,2.31,2086000000.0,4923000000.0,2837000000.0,,
1980-04-23,2.28,2086000000.0,4923000000.0,2837000000.0,,
1980-04-24,2.34,2086000000.0,4923000000.0,2837000000.0,,
1980-04-25,2.34,2086000000.0,4923000000.0,2837000000.0,,
1980-04-28,2.43,2086000000.0,4923000000.0,2837000000.0,,
1980-04-29,2.53,2086000000.0,4923000000.0,2837000000.0,,
1980-04-30,2.49,2086000000.0,4923000000.0,2837000000.0,,
