date,WMT,WMT_SHE,PB Ratio
2010-05-18,201090240000.0,70749000000.0,2.84230505024806
2010-05-19,198581760000.0,70749000000.0,2.8068490013993133
2010-05-20,192067200000.0,70749000000.0,2.7147691133443583
2010-05-21,192329280000.0,70749000000.0,2.718473476656914
2010-05-24,190944000000.0,70749000000.0,2.6988932705762627
2010-05-25,188248320000.0,70749000000.0,2.660791247932833
2010-05-26,187274880000.0,70749000000.0,2.6470321842004836
2010-05-27,189820800000.0,70749000000.0,2.683017427808167
2010-05-28,189296640000.0,70749000000.0,2.6756087011830556
2010-06-01,190644480000.0,70749000000.0,2.6946597125047704
2010-06-02,193639680000.0,70749000000.0,2.7369952932196924
2010-06-03,193639680000.0,70749000000.0,2.7369952932196924
2010-06-04,188697600000.0,66329000000.0,2.8448732831793033
2010-06-07,189970560000.0,66329000000.0,2.8640648886610682
2010-06-08,190120320000.0,66329000000.0,2.8663227246000993
2010-06-09,190906560000.0,66329000000.0,2.8781763632800135
2010-06-10,191767680000.0,66329000000.0,2.8911589199294427
2010-06-11,190419840000.0,66329000000.0,2.870838396478162
2010-06-14,191842560000.0,66329000000.0,2.8922878378989583
2010-06-15,193340160000.0,66329000000.0,2.91486619728927
2010-06-16,190869120000.0,66329000000.0,2.8776119042952555
2010-06-17,192479040000.0,66329000000.0,2.901883640639841
2010-06-18,193003200000.0,66329000000.0,2.90978606642645
2010-06-21,191018880000.0,66329000000.0,2.8798697402342865
2010-06-22,189745920000.0,66329000000.0,2.8606781347525216
2010-06-23,190232640000.0,66329000000.0,2.868016101554373
2010-06-24,187312320000.0,66329000000.0,2.8239883007432645
2010-06-25,182707200000.0,66329000000.0,2.7545598456180556
2010-06-28,185590080000.0,66329000000.0,2.798023187444406
2010-06-29,183081600000.0,66329000000.0,2.7602044354656337
2010-06-30,179974080000.0,66329000000.0,2.7133543397307363
2010-07-01,180984960000.0,66329000000.0,2.7285947323191966
2010-07-02,179712000000.0,66329000000.0,2.7094031268374317
2010-07-06,181846080000.0,66329000000.0,2.7415772889686263
2010-07-07,183156480000.0,66329000000.0,2.761333353435149
2010-07-08,184129920000.0,66329000000.0,2.776009287038852
2010-07-09,185065920000.0,66329000000.0,2.7901207616577968
2010-07-12,187649280000.0,66329000000.0,2.829068431606085
2010-07-13,189221760000.0,66329000000.0,2.8527757089659125
2010-07-14,188510400000.0,66329000000.0,2.8420509882555143
2010-07-15,188735040000.0,66329000000.0,2.845437742164061
2010-07-16,185964480000.0,66329000000.0,2.803667777291984
2010-07-19,185402880000.0,66329000000.0,2.795200892520617
2010-07-20,190494720000.0,66329000000.0,2.8719673144476774
2010-07-21,188510400000.0,66329000000.0,2.8420509882555143
2010-07-22,190419840000.0,66329000000.0,2.870838396478162
2010-07-23,193452480000.0,66329000000.0,2.9165595742435437
2010-07-26,191430720000.0,66329000000.0,2.8860787890666226
2010-07-27,190794240000.0,66329000000.0,2.87648298632574
2010-07-28,191430720000.0,66329000000.0,2.8860787890666226
2010-07-29,191168640000.0,66329000000.0,2.882127576173318
2010-07-30,191655360000.0,66329000000.0,2.889465542975169
2010-08-02,190525460000.0,66329000000.0,2.8724307618085603
2010-08-03,190080740000.0,66329000000.0,2.865726002201149
2010-08-04,191229600000.0,66329000000.0,2.883046631186962
2010-08-05,191303720000.0,66329000000.0,2.8841640911215305
2010-08-06,191933740000.0,66329000000.0,2.893662500565364
2010-08-09,192934360000.0,66329000000.0,2.9087482096820394
2010-08-10,193527320000.0,66329000000.0,2.9176878891585885
2010-08-11,189080120000.0,66329000000.0,2.850640293084473
2010-08-12,186893580000.0,66329000000.0,2.8176752250146992
2010-08-13,186782400000.0,66329000000.0,2.8159990351128465
2010-08-16,186819460000.0,66329000000.0,2.816557765080131
2010-08-17,189080120000.0,66329000000.0,2.850640293084473
2010-08-18,188487160000.0,66329000000.0,2.841700613607924
2010-08-19,185522360000.0,66329000000.0,2.7970022162251804
2010-08-20,186115320000.0,66329000000.0,2.8059418957017295
2010-08-23,189524840000.0,66329000000.0,2.857345052691884
2010-08-24,190117800000.0,66329000000.0,2.8662847321684333
2010-08-25,191044300000.0,66329000000.0,2.8802529813505404
2010-08-26,188894820000.0,66329000000.0,2.8478466432480514
2010-08-27,189006000000.0,66329000000.0,2.849522833149904
2010-08-30,187338300000.0,66329000000.0,2.824379984622111
2010-08-31,185818840000.0,66329000000.0,2.8014720559634547
2010-09-01,189747200000.0,64646000000.0,2.9351730965566314
2010-09-02,191822560000.0,64646000000.0,2.96727655230022
2010-09-03,192860240000.0,64646000000.0,2.983328280172014
2010-09-07,192193160000.0,64646000000.0,2.973009312254432
2010-09-08,192081980000.0,64646000000.0,2.9712894842681683
2010-09-09,192378460000.0,64646000000.0,2.9758756922315377
2010-09-10,192600820000.0,64646000000.0,2.9793153482040653
