date,close price,COG_SHE,COG_TA,COG_TL,market cap,PB Ratio
,,185000000.0,289500000.0,104500000.0,,
1990-02-08,1.44,185000000.0,289500000.0,104500000.0,,
1990-02-09,1.43,185000000.0,289500000.0,104500000.0,,
1990-02-12,1.42,185000000.0,289500000.0,104500000.0,,
1990-02-13,1.41,185000000.0,289500000.0,104500000.0,,
1990-02-14,1.4,185000000.0,289500000.0,104500000.0,,
1990-02-15,1.36,185000000.0,289500000.0,104500000.0,,
1990-02-16,1.36,185000000.0,289500000.0,104500000.0,,
1990-02-20,1.33,185000000.0,289500000.0,104500000.0,,
1990-02-21,1.33,185000000.0,289500000.0,104500000.0,,
1990-02-22,1.35,185000000.0,289500000.0,104500000.0,,
1990-02-23,1.29,185000000.0,289500000.0,104500000.0,,
1990-02-26,1.28,185000000.0,289500000.0,104500000.0,,
1990-02-27,1.29,185000000.0,289500000.0,104500000.0,,
1990-02-28,1.34,185000000.0,289500000.0,104500000.0,,
1990-03-01,1.36,185000000.0,289500000.0,104500000.0,,
1990-03-02,1.38,185000000.0,289500000.0,104500000.0,,
1990-03-05,1.36,185000000.0,289500000.0,104500000.0,,
1990-03-06,1.39,185000000.0,289500000.0,104500000.0,,
1990-03-07,1.38,185000000.0,289500000.0,104500000.0,,
1990-03-08,1.38,185000000.0,289500000.0,104500000.0,,
1990-03-09,1.34,185000000.0,289500000.0,104500000.0,,
1990-03-12,1.3,185000000.0,289500000.0,104500000.0,,
1990-03-13,1.33,185000000.0,289500000.0,104500000.0,,
1990-03-14,1.32,185000000.0,289500000.0,104500000.0,,
1990-03-15,1.32,185000000.0,289500000.0,104500000.0,,
1990-03-16,1.35,185000000.0,289500000.0,104500000.0,,
1990-03-19,1.35,185000000.0,289500000.0,104500000.0,,
1990-03-20,1.32,185000000.0,289500000.0,104500000.0,,
1990-03-21,1.29,185000000.0,289500000.0,104500000.0,,
1990-03-22,1.29,185000000.0,289500000.0,104500000.0,,
1990-03-23,1.3,185000000.0,289500000.0,104500000.0,,
1990-03-26,1.31,185000000.0,289500000.0,104500000.0,,
1990-03-27,1.32,185000000.0,289500000.0,104500000.0,,
1990-03-28,1.32,185000000.0,289500000.0,104500000.0,,
1990-03-29,1.31,185000000.0,289500000.0,104500000.0,,
1990-03-30,1.31,185000000.0,289500000.0,104500000.0,,
1990-04-02,1.28,185000000.0,289500000.0,104500000.0,,
1990-04-03,1.3,185000000.0,289500000.0,104500000.0,,
