date,close price,SYF_SHE,SYF_TA,SYF_TL,market cap,PB Ratio
2014-07-31,23.0,,,,16813000000.0,
2014-08-01,23.0,,,,16813000000.0,
2014-08-04,23.0,,,,16813000000.0,
2014-08-05,23.0,,,,16813000000.0,
2014-08-06,22.98,,,,16798380000.0,
2014-08-07,22.93,,,,16761830000.0,
2014-08-08,22.95,,,,16776450000.0,
2014-08-11,22.93,,,,16761830000.0,
2014-08-12,23.0,,,,16813000000.0,
2014-08-13,23.18,,,,16944580000.0,
2014-08-14,23.01,,,,16820310000.000002,
2014-08-15,23.0,,,,16813000000.0,
2014-08-18,23.17,,,,16937270000.000002,
2014-08-19,24.41,,,,17843710000.0,
2014-08-20,25.19,,,,18413890000.0,
2014-08-21,25.39,,,,18560090000.0,
2014-08-22,25.36,,,,18538160000.0,
2014-08-25,25.12,,,,18362720000.0,
2014-08-26,25.05,,,,18311550000.0,
2014-08-27,25.47,,,,18618570000.0,
2014-08-28,25.69,,,,18779390000.0,
2014-08-29,25.79,,,,18852490000.0,
2014-09-02,25.79,,,,18852490000.0,
2014-09-03,25.79,,,,18852490000.0,
2014-09-04,25.7,,,,18786700000.0,
2014-09-05,25.77,6393000000.0,63175000000.0,56782000000.0,18837870000.0,2.946640075082121
2014-09-08,24.84,6393000000.0,63175000000.0,56782000000.0,18158040000.0,2.84030032848428
2014-09-09,25.04,6393000000.0,63175000000.0,56782000000.0,18304240000.0,2.863169091193493
2014-09-10,24.7,6393000000.0,63175000000.0,56782000000.0,18055700000.0,2.8242921945878305
2014-09-11,24.65,6393000000.0,63175000000.0,56782000000.0,18019150000.0,2.818575003910527
2014-09-12,24.5,6393000000.0,63175000000.0,56782000000.0,17909500000.0,2.801423431878617
2014-09-15,24.15,6393000000.0,63175000000.0,56782000000.0,17653650000.0,2.761403097137494
2014-09-16,24.31,6393000000.0,63175000000.0,56782000000.0,17770610000.0,2.7796981073048648
2014-09-17,24.55,6393000000.0,63175000000.0,56782000000.0,17946050000.0,2.8071406225559206
2014-09-18,24.67,6393000000.0,63175000000.0,56782000000.0,18033770000.0,2.8208618801814485
