date,close price,EBAY_SHE,EBAY_TA,EBAY_TL,market cap,PB Ratio
1998-09-24,0.83,,,,,
1998-09-25,0.79,,,,,
1998-09-28,0.85,,,,,
1998-09-29,0.86,,,,,
1998-09-30,0.79,,,,,
1998-10-01,0.7,,,,,
1998-10-02,0.7,,,,,
1998-10-05,0.63,,,,,
1998-10-06,0.64,,,,,
1998-10-07,0.54,,,,,
1998-10-08,0.51,,,,,
1998-10-09,0.54,,,,,
1998-10-12,0.55,,,,,
1998-10-13,0.52,,,,,
1998-10-14,0.53,,,,,
1998-10-15,0.57,,,,,
1998-10-16,0.63,,,,,
1998-10-19,0.8,,,,,
1998-10-20,0.82,,,,,
1998-10-21,0.89,,,,,
1998-10-22,0.9,,,,,
1998-10-23,0.88,,,,,
1998-10-26,1.29,,,,,
1998-10-27,1.45,,,,,
1998-10-28,1.4,,,,,
1998-10-29,1.4,,,,,
1998-10-30,1.46,,,,,
1998-11-02,1.47,,,,,
1998-11-03,1.47,,,,,
1998-11-04,1.45,,,,,
1998-11-05,1.42,,,,,
1998-11-06,1.47,,,,,
1998-11-09,1.81,,,,,
1998-11-10,2.3,,,,,
1998-11-11,2.03,,,,,
1998-11-12,2.21,,,,,
1998-11-13,2.17,,,,,
1998-11-16,2.24,,,,,
1998-11-17,2.26,,,,,
1998-11-18,2.59,,,,,
1998-11-19,2.52,,,,,
1998-11-20,2.58,,,,,
1998-11-23,3.38,,,,,
1998-11-24,3.45,,,,,
1998-11-25,3.59,,,,,
1998-11-27,3.82,,,,,
1998-11-30,3.47,,,,,
1998-12-01,3.63,,,,,
1998-12-02,3.56,,,,,
1998-12-03,3.28,,,,,
1998-12-04,3.2,,,,,
1998-12-07,3.06,,,,,
1998-12-08,3.1,,,,,
1998-12-09,3.15,,,,,
1998-12-10,3.26,,,,,
1998-12-11,3.37,,,,,
1998-12-14,3.31,,,,,
1998-12-15,3.4,,,,,
1998-12-16,3.92,,,,,
1998-12-17,4.18,,,,,
1998-12-18,4.42,,,,,
1998-12-21,5.2,,,,,
1998-12-22,5.28,,,,,
1998-12-23,5.23,,,,,
1998-12-24,5.02,,,,,
1998-12-28,5.01,,,,,
1998-12-29,4.8,,,,,
1998-12-30,4.43,,,,,
1998-12-31,4.23,,,,,
1999-01-04,4.21,,,,,
1999-01-05,3.93,,,,,
1999-01-06,4.96,,,,,
1999-01-07,5.23,,,,,
1999-01-08,5.13,,,,,
1999-01-11,5.11,,,,,
1999-01-12,4.22,,,,,
1999-01-13,3.78,,,,,
1999-01-14,3.95,,,,,
1999-01-15,3.92,,,,,
1999-01-19,4.03,,,,,
1999-01-20,3.75,,,,,
1999-01-21,3.19,,,,,
1999-01-22,3.45,,,,,
1999-01-25,3.81,,,,,
1999-01-26,3.87,,,,,
1999-01-27,5.32,,,,,
1999-01-28,5.13,,,,,
1999-01-29,4.87,,,,,
1999-02-01,4.59,,,,,
1999-02-02,4.46,,,,,
1999-02-03,4.88,,,,,
1999-02-04,4.19,,,,,
1999-02-05,3.88,,,,,
1999-02-08,4.05,,,,,
1999-02-09,3.73,,,,,
1999-02-10,3.72,,,,,
1999-02-11,4.2,,,,,
1999-02-12,4.14,,,,,
1999-02-16,4.05,,,,,
1999-02-17,4.09,,,,,
1999-02-18,4.12,,,,,
1999-02-19,4.2,,,,,
1999-02-22,4.89,,,,,
1999-02-23,4.96,,,,,
1999-02-24,5.02,,,,,
1999-02-25,5.25,,,,,
1999-02-26,5.86,,,,,
1999-03-01,5.66,,,,,
1999-03-02,6.16,,,,,
1999-03-03,6.5,,,,,
1999-03-04,6.88,,,,,
1999-03-05,7.85,,,,,
1999-03-08,9.0,,,,,
1999-03-09,8.75,,,,,
1999-03-10,8.16,,,,,
1999-03-11,7.89,,,,,
1999-03-12,7.47,,,,,
1999-03-15,8.25,,,,,
1999-03-16,8.3,,,,,
1999-03-17,8.19,,,,,
1999-03-18,8.46,,,,,
1999-03-19,8.4,,,,,
1999-03-22,8.16,,,,,
1999-03-23,7.7,,,,,
1999-03-24,7.65,,,,,
1999-03-25,8.38,,,,,
1999-03-26,8.13,,,,,
1999-03-29,7.77,,,,,
1999-03-30,7.21,,,,,
1999-03-31,7.22,,,,,
1999-04-01,7.29,,,,,
1999-04-05,7.83,,,,,
1999-04-06,8.0,,,,,
1999-04-07,7.89,,,,,
1999-04-08,9.04,,,,,
1999-04-09,9.65,,,,,
1999-04-12,9.29,,,,,
1999-04-13,9.09,,,,,
1999-04-14,8.57,,,,,
1999-04-15,9.41,,,,,
1999-04-16,9.26,,,,,
1999-04-19,8.11,,,,,
1999-04-20,8.55,,,,,
1999-04-21,8.77,,,,,
1999-04-22,9.05,,,,,
1999-04-23,10.53,,,,,
1999-04-26,11.0,,,,,
1999-04-27,11.01,,,,,
1999-04-28,10.13,,,,,
1999-04-29,11.31,,,,,
1999-04-30,10.95,,,,,
1999-05-03,10.03,,,,,
1999-05-04,9.54,,,,,
1999-05-05,9.83,,,,,
1999-05-06,9.23,,,,,
1999-05-07,9.3,,,,,
1999-05-10,10.17,,,,,
1999-05-11,10.28,,,,,
1999-05-12,10.46,,,,,
1999-05-13,10.13,,,,,
1999-05-14,9.78,,,,,
1999-05-17,10.44,,,,,
1999-05-18,9.97,,,,,
1999-05-19,10.35,,,,,
1999-05-20,9.82,,,,,
1999-05-21,10.02,,,,,
1999-05-24,9.64,,,,,
1999-05-25,8.62,,,,,
1999-05-26,9.17,,,,,
1999-05-27,8.89,,,,,
1999-05-28,9.32,,,,,
1999-06-01,8.76,,,,,
1999-06-02,8.88,,,,,
1999-06-03,8.49,,,,,
1999-06-04,8.86,,,,,
1999-06-07,9.64,,,,,
1999-06-08,9.67,,,,,
1999-06-09,9.63,,,,,
1999-06-10,9.61,,,,,
1999-06-11,8.73,,,,,
1999-06-14,7.15,,,,,
1999-06-15,7.13,,,,,
1999-06-16,7.83,,,,,
1999-06-17,7.72,,,,,
1999-06-18,7.69,,,,,
1999-06-21,8.0,,,,,
1999-06-22,7.8,,,,,
1999-06-23,7.7,,,,,
1999-06-24,7.48,,,,,
1999-06-25,7.15,,,,,
1999-06-28,7.37,,,,,
1999-06-29,7.4,,,,,
1999-06-30,7.96,,,,,
1999-07-01,7.87,,,,,
1999-07-02,7.56,,,,,
1999-07-06,7.4,,,,,
1999-07-07,7.27,,,,,
1999-07-08,7.06,,,,,
1999-07-09,7.14,,,,,
1999-07-12,6.73,,,,,
1999-07-13,6.58,,,,,
