date,close price,ETN_SHE,ETN_TA,ETN_TL,market cap,PB Ratio
,,1199000000.0,3076000000.0,1877000000.0,,
1989-09-19,7.08,1199000000.0,3076000000.0,1877000000.0,,
1989-09-20,7.1,1199000000.0,3076000000.0,1877000000.0,,
1989-09-21,6.98,1199000000.0,3076000000.0,1877000000.0,,
1989-09-22,6.9,1199000000.0,3076000000.0,1877000000.0,,
1989-09-25,6.82,1199000000.0,3076000000.0,1877000000.0,,
1989-09-26,6.82,1199000000.0,3076000000.0,1877000000.0,,
1989-09-27,6.83,1199000000.0,3076000000.0,1877000000.0,,
1989-09-28,6.83,1199000000.0,3076000000.0,1877000000.0,,
1989-09-29,6.7,1199000000.0,3076000000.0,1877000000.0,,
1989-10-02,6.7,1199000000.0,3076000000.0,1877000000.0,,
1989-10-03,6.72,1199000000.0,3076000000.0,1877000000.0,,
1989-10-04,6.71,1199000000.0,3076000000.0,1877000000.0,,
1989-10-05,6.67,1199000000.0,3076000000.0,1877000000.0,,
1989-10-06,6.68,1199000000.0,3076000000.0,1877000000.0,,
1989-10-09,6.64,1199000000.0,3076000000.0,1877000000.0,,
1989-10-10,6.52,1199000000.0,3076000000.0,1877000000.0,,
1989-10-11,6.48,1199000000.0,3076000000.0,1877000000.0,,
1989-10-12,6.49,1199000000.0,3076000000.0,1877000000.0,,
1989-10-13,6.21,1199000000.0,3076000000.0,1877000000.0,,
1989-10-16,6.37,1199000000.0,3076000000.0,1877000000.0,,
1989-10-17,6.37,1199000000.0,3076000000.0,1877000000.0,,
1989-10-18,6.43,1199000000.0,3076000000.0,1877000000.0,,
1989-10-19,6.53,1199000000.0,3076000000.0,1877000000.0,,
1989-10-20,6.51,1199000000.0,3076000000.0,1877000000.0,,
1989-10-23,6.24,1199000000.0,3076000000.0,1877000000.0,,
1989-10-24,6.13,1199000000.0,3076000000.0,1877000000.0,,
1989-10-25,6.16,1199000000.0,3076000000.0,1877000000.0,,
1989-10-26,6.07,1199000000.0,3076000000.0,1877000000.0,,
1989-10-27,6.06,1199000000.0,3076000000.0,1877000000.0,,
1989-10-30,6.05,1199000000.0,3076000000.0,1877000000.0,,
1989-10-31,6.03,1199000000.0,3076000000.0,1877000000.0,,
1989-11-01,6.01,1199000000.0,3076000000.0,1877000000.0,,
1989-11-02,5.94,1199000000.0,3076000000.0,1877000000.0,,
1989-11-03,5.86,1199000000.0,3076000000.0,1877000000.0,,
1989-11-06,5.76,1199000000.0,3076000000.0,1877000000.0,,
1989-11-07,5.79,1199000000.0,3076000000.0,1877000000.0,,
1989-11-08,5.78,1199000000.0,3076000000.0,1877000000.0,,
1989-11-09,5.8,1199000000.0,3076000000.0,1877000000.0,,
1989-11-10,5.84,1199000000.0,3076000000.0,1877000000.0,,
1989-11-13,5.75,1199000000.0,3076000000.0,1877000000.0,,
1989-11-14,5.75,1199000000.0,3076000000.0,1877000000.0,,
1989-11-15,5.87,1199000000.0,3076000000.0,1877000000.0,,
1989-11-16,5.86,1199000000.0,3076000000.0,1877000000.0,,
