date,close price,CTXS_SHE,CTXS_TA,CTXS_TL,market cap,PB Ratio
,,43000000.0,46700000.0,3800000.0,,
1995-12-08,1.99,43000000.0,46700000.0,3800000.0,,
1995-12-11,2.19,43000000.0,46700000.0,3800000.0,,
1995-12-12,2.12,43000000.0,46700000.0,3800000.0,,
1995-12-13,2.08,43000000.0,46700000.0,3800000.0,,
1995-12-14,1.94,43000000.0,46700000.0,3800000.0,,
1995-12-15,1.87,43000000.0,46700000.0,3800000.0,,
1995-12-18,1.68,43000000.0,46700000.0,3800000.0,,
1995-12-19,1.81,43000000.0,46700000.0,3800000.0,,
1995-12-20,1.79,43000000.0,46700000.0,3800000.0,,
1995-12-21,1.82,43000000.0,46700000.0,3800000.0,,
1995-12-22,1.81,43000000.0,46700000.0,3800000.0,,
1995-12-26,1.78,43000000.0,46700000.0,3800000.0,,
1995-12-27,2.04,43000000.0,46700000.0,3800000.0,,
1995-12-28,2.01,43000000.0,46700000.0,3800000.0,,
1995-12-29,2.16,43000000.0,46700000.0,3800000.0,,
1996-01-02,2.12,43000000.0,46700000.0,3800000.0,,
1996-01-03,1.94,43000000.0,46700000.0,3800000.0,,
1996-01-04,1.84,43000000.0,46700000.0,3800000.0,,
1996-01-05,1.71,43000000.0,46700000.0,3800000.0,,
1996-01-08,1.76,43000000.0,46700000.0,3800000.0,,
1996-01-09,1.66,43000000.0,46700000.0,3800000.0,,
1996-01-10,1.61,43000000.0,46700000.0,3800000.0,,
1996-01-11,1.78,43000000.0,46700000.0,3800000.0,,
1996-01-12,1.81,43000000.0,46700000.0,3800000.0,,
1996-01-15,1.86,43000000.0,46700000.0,3800000.0,,
1996-01-16,1.74,43000000.0,46700000.0,3800000.0,,
1996-01-17,1.81,43000000.0,46700000.0,3800000.0,,
1996-01-18,1.79,43000000.0,46700000.0,3800000.0,,
1996-01-19,1.86,43000000.0,46700000.0,3800000.0,,
1996-01-22,1.84,43000000.0,46700000.0,3800000.0,,
1996-01-23,2.07,43000000.0,46700000.0,3800000.0,,
1996-01-24,2.03,43000000.0,46700000.0,3800000.0,,
1996-01-25,2.04,43000000.0,46700000.0,3800000.0,,
1996-01-26,2.11,43000000.0,46700000.0,3800000.0,,
