date,close price,GOOGL_SHE,GOOGL_TA,GOOGL_TL,market cap,PB Ratio
2004-08-19,50.22,,,,,
2004-08-20,54.21,,,,,
2004-08-23,54.75,,,,,
2004-08-24,52.49,,,,,
2004-08-25,53.05,,,,,
2004-08-26,54.01,,,,,
2004-08-27,53.13,,,,,
2004-08-30,51.06,,,,,
2004-08-31,51.24,,,,,
2004-09-01,50.18,,,,,
2004-09-02,50.81,,,,,
2004-09-03,50.06,,,,,
2004-09-07,50.84,,,,,
2004-09-08,51.2,,,,,
2004-09-09,51.21,,,,,
2004-09-10,52.72,,,,,
2004-09-13,53.8,,,,,
2004-09-14,55.8,,,,,
2004-09-15,56.06,,,,,
2004-09-16,57.04,,,,,
2004-09-17,58.8,,,,,
2004-09-20,59.74,,,,,
2004-09-21,58.98,,,,,
2004-09-22,59.25,,,,,
2004-09-23,60.47,,,,,
2004-09-24,59.97,,,,,
2004-09-27,59.19,,,,,
2004-09-28,63.49,,,,,
2004-09-29,65.61,,,,,
2004-09-30,64.86,,,,,
2004-10-01,66.36,,,,,
2004-10-04,67.6,,,,,
2004-10-05,69.25,,,,,
2004-10-06,68.61,,,,,
2004-10-07,69.49,,,,,
2004-10-08,68.93,,,,,
2004-10-11,67.7,,,,,
2004-10-12,68.77,,,,,
2004-10-13,70.52,,,,,
2004-10-14,71.07,,,,,
2004-10-15,72.13,,,,,
2004-10-18,74.65,,,,,
2004-10-19,74.04,,,,,
2004-10-20,70.32,,,,,
2004-10-21,74.76,,,,,
2004-10-22,86.3,,,,,
2004-10-25,93.79,,,,,
2004-10-26,90.99,,,,,
2004-10-27,93.08,,,,,
2004-10-28,96.75,,,,,
2004-10-29,95.42,,,,,
2004-11-01,98.11,,,,,
2004-11-02,97.53,,,,,
2004-11-03,95.93,,,,,
2004-11-04,92.44,,,,,
2004-11-05,84.76,,,,,
2004-11-08,86.36,,,,,
2004-11-09,84.43,,,,,
2004-11-10,84.01,,,,,
2004-11-11,91.6,,,,,
2004-11-12,91.09,,,,,
2004-11-15,92.53,,,,,
2004-11-16,86.36,,,,,
2004-11-17,86.34,,,,,
2004-11-18,83.85,,,,,
2004-11-19,84.78,,,,,
2004-11-22,82.63,,,,,
2004-11-23,83.84,,,,,
2004-11-24,87.47,,,,,
2004-11-26,89.78,,,,,
2004-11-29,90.62,,,,,
2004-11-30,91.08,,,,,
2004-12-01,90.07,,,,,
2004-12-02,89.79,,,,,
2004-12-03,90.29,,,,,
2004-12-06,88.23,,,,,
2004-12-07,85.8,,,,,
2004-12-08,85.08,,,,,
2004-12-09,86.8,,,,,
2004-12-10,85.91,,,,,
2004-12-13,85.31,,,,,
2004-12-14,89.43,,,,,
2004-12-15,89.98,,,,,
2004-12-16,88.32,,,,,
2004-12-17,90.13,,,,,
2004-12-20,92.6,,,,,
2004-12-21,91.97,,,,,
2004-12-22,93.24,,,,,
2004-12-23,94.04,,,,,
2004-12-27,96.05,,,,,
2004-12-28,96.48,,,,,
2004-12-29,96.55,,,,,
2004-12-30,98.9,,,,,
2004-12-31,96.49,,,,,
2005-01-03,101.46,,,,,
2005-01-04,97.35,,,,,
2005-01-05,96.85,,,,,
2005-01-06,94.37,,,,,
2005-01-07,97.02,,,,,
2005-01-10,97.63,,,,,
2005-01-11,96.87,,,,,
2005-01-12,97.79,,,,,
2005-01-13,97.76,,,,,
2005-01-14,100.09,,,,,
2005-01-18,102.05,,,,,
2005-01-19,98.75,,,,,
2005-01-20,97.06,,,,,
2005-01-21,94.23,,,,,
2005-01-24,90.45,,,,,
2005-01-25,88.65,,,,,
2005-01-26,94.71,,,,,
2005-01-27,94.13,,,,,
2005-01-28,95.27,,,,,
2005-01-31,97.91,,,,,
2005-02-01,96.05,,,,,
2005-02-02,103.08,,,,,
2005-02-03,105.54,,,,,
2005-02-04,102.28,,,,,
2005-02-07,98.11,,,,,
2005-02-08,99.42,,,,,
2005-02-09,95.89,,,,,
2005-02-10,94.08,,,,,
2005-02-11,93.79,,,,,
2005-02-14,96.59,,,,,
2005-02-15,97.71,,,,,
2005-02-16,99.3,,,,,
2005-02-17,99.05,,,,,
2005-02-18,99.07,,,,,
2005-02-22,95.78,,,,,
2005-02-23,97.07,,,,,
2005-02-24,94.54,,,,,
2005-02-25,93.03,,,,,
2005-02-28,94.09,,,,,
2005-03-01,93.12,,,,,
2005-03-02,92.68,,,,,
2005-03-03,93.6,,,,,
2005-03-04,93.04,,,,,
2005-03-07,94.5,,,,,
2005-03-08,92.69,,,,,
2005-03-09,90.77,,,,,
2005-03-10,90.08,,,,,
2005-03-11,88.99,,,,,
2005-03-14,87.58,,,,,
2005-03-15,89.39,,,,,
2005-03-16,87.89,,,,,
2005-03-17,89.73,,,,,
2005-03-18,90.11,,,,,
2005-03-21,90.53,,,,,
2005-03-22,89.39,,,,,
2005-03-23,89.58,,,,,
2005-03-24,89.71,,,,,
2005-03-28,90.8,,,,,
2005-03-29,89.87,,,,,
2005-03-30,90.32,,,,,
2005-03-31,90.35,,,,,
2005-04-01,90.11,,,,,
2005-04-04,92.74,,,,,
2005-04-05,94.38,,,,,
2005-04-06,94.7,,,,,
2005-04-07,96.98,,,,,
2005-04-08,96.12,,,,,
2005-04-11,96.71,,,,,
2005-04-12,97.08,,,,,
2005-04-13,96.56,,,,,
2005-04-14,95.82,,,,,
2005-04-15,92.59,,,,,
2005-04-18,93.58,,,,,
2005-04-19,95.8,,,,,
2005-04-20,99.15,,,,,
2005-04-21,102.21,,,,,
2005-04-22,108.01,,,,,
2005-04-25,111.88,,,,,
2005-04-26,109.48,,,,,
2005-04-27,110.0,,,,,
2005-04-28,109.83,,,,,
2005-04-29,110.11,,,,,
2005-05-02,111.26,,,,,
2005-05-03,113.21,,,,,
2005-05-04,114.36,,,,,
2005-05-05,113.6,,,,,
2005-05-06,114.12,,,,,
2005-05-09,113.12,,,,,
2005-05-10,114.01,,,,,
2005-05-11,115.76,,,,,
2005-05-12,114.47,,,,,
2005-05-13,114.73,,,,,
2005-05-16,115.64,,,,,
2005-05-17,116.68,,,,,
2005-05-18,119.7,,,,,
2005-05-19,119.71,,,,,
2005-05-20,120.93,,,,,
2005-05-23,127.85,,,,,
2005-05-24,128.13,,,,,
2005-05-25,130.54,,,,,
2005-05-26,129.73,,,,,
2005-05-27,133.13,,,,,
2005-05-31,138.77,,,,,
2005-06-01,144.14,,,,,
2005-06-02,144.09,,,,,
2005-06-03,140.27,,,,,
2005-06-06,145.62,,,,,
2005-06-07,146.71,,,,,
2005-06-08,139.92,,,,,
2005-06-09,143.3,,,,,
2005-06-10,141.39,,,,,
2005-06-13,141.52,,,,,
2005-06-14,139.31,,,,,
2005-06-15,137.54,,,,,
2005-06-16,138.86,,,,,
2005-06-17,140.29,,,,,
2005-06-20,143.49,,,,,
2005-06-21,144.06,,,,,
2005-06-22,144.79,,,,,
2005-06-23,145.0,,,,,
2005-06-24,148.77,,,,,
2005-06-27,152.2,,,,,
2005-06-28,151.15,,,,,
2005-06-29,146.51,,,,,
2005-06-30,147.22,,,,,
2005-07-01,145.77,,,,,
2005-07-05,148.0,,,,,
2005-07-06,145.91,,,,,
2005-07-07,147.92,,,,,
2005-07-08,148.26,,,,,
2005-07-11,146.82,,,,,
2005-07-12,146.04,,,,,
2005-07-13,149.58,,,,,
2005-07-14,150.6,,,,,
2005-07-15,150.75,,,,,
2005-07-18,149.92,,,,,
2005-07-19,155.11,,,,,
2005-07-20,156.16,,,,,
2005-07-21,157.13,,,,,
2005-07-22,151.35,,,,,
2005-07-25,148.07,,,,,
2005-07-26,148.19,,,,,
2005-07-27,148.61,,,,,
2005-07-28,146.9,,,,,
2005-07-29,144.02,,,,,
2005-08-01,145.95,,,,,
2005-08-02,149.74,,,,,
2005-08-03,148.8,,,,,
2005-08-04,149.01,,,,,
2005-08-05,146.32,,,,,
2005-08-08,145.77,,,,,
2005-08-09,145.93,,,,,
2005-08-10,142.98,,,,,
2005-08-11,142.17,,,,,
2005-08-12,145.01,,,,,
2005-08-15,142.14,,,,,
2005-08-16,142.97,,,,,
2005-08-17,142.69,,,,,
2005-08-18,140.14,,,,,
2005-08-19,140.14,,,,,
2005-08-22,137.14,,,,,
2005-08-23,139.93,,,,,
2005-08-24,141.43,,,,,
2005-08-25,141.44,,,,,
2005-08-26,141.93,,,,,
