date,close price,VRSN_SHE,VRSN_TA,VRSN_TL,market cap,PB Ratio
1998-01-30,6.38,,,,,
1998-02-02,7.75,,,,,
1998-02-03,8.25,,,,,
1998-02-04,7.91,,,,,
1998-02-05,7.64,,,,,
1998-02-06,6.97,,,,,
1998-02-09,6.75,,,,,
1998-02-10,7.0,,,,,
1998-02-11,7.44,,,,,
1998-02-12,7.78,,,,,
1998-02-13,7.75,,,,,
1998-02-17,7.81,,,,,
1998-02-18,7.81,,,,,
1998-02-19,7.69,,,,,
1998-02-20,7.97,,,,,
1998-02-23,7.25,,,,,
1998-02-24,6.84,,,,,
1998-02-25,7.25,,,,,
1998-02-26,7.22,,,,,
1998-02-27,7.16,,,,,
1998-03-02,7.11,,,,,
1998-03-03,7.13,,,,,
1998-03-04,6.9,,,,,
1998-03-05,6.67,,,,,
1998-03-06,7.08,,,,,
1998-03-09,7.56,,,,,
1998-03-10,8.27,,,,,
1998-03-11,8.97,,,,,
1998-03-12,9.63,,,,,
1998-03-13,9.47,,,,,
1998-03-16,11.19,,,,,
1998-03-17,11.09,,,,,
1998-03-18,10.77,,,,,
1998-03-19,10.78,,,,,
1998-03-20,10.3,,,,,
1998-03-23,10.78,,,,,
1998-03-24,11.13,,,,,
1998-03-25,10.75,,,,,
1998-03-26,10.5,,,,,
1998-03-27,10.63,,,,,
1998-03-30,10.88,,,,,
1998-03-31,11.0,,,,,
1998-04-01,12.0,,,,,
1998-04-02,11.06,,,,,
1998-04-03,10.63,,,,,
1998-04-06,10.22,,,,,
1998-04-07,9.73,,,,,
1998-04-08,10.19,,,,,
1998-04-09,11.0,,,,,
1998-04-13,11.22,,,,,
1998-04-14,10.97,,,,,
1998-04-15,10.75,,,,,
1998-04-16,10.75,,,,,
1998-04-17,10.59,,,,,
1998-04-20,10.44,,,,,
1998-04-21,10.19,,,,,
1998-04-22,10.25,,,,,
1998-04-23,9.53,,,,,
1998-04-24,8.81,,,,,
1998-04-27,9.28,,,,,
1998-04-28,9.16,,,,,
1998-04-29,8.89,,,,,
1998-04-30,9.59,,,,,
1998-05-01,10.0,,,,,
1998-05-04,9.63,,,,,
1998-05-05,9.02,,,,,
1998-05-06,8.92,,,,,
1998-05-07,8.81,,,,,
1998-05-08,8.88,,,,,
1998-05-11,8.75,,,,,
1998-05-12,8.69,,,,,
1998-05-13,9.56,,,,,
1998-05-14,9.31,,,,,
1998-05-15,9.02,,,,,
1998-05-18,8.92,,,,,
1998-05-19,8.97,,,,,
1998-05-20,9.06,,,,,
1998-05-21,9.44,,,,,
1998-05-22,8.84,,,,,
1998-05-26,8.63,,,,,
1998-05-27,8.13,,,,,
1998-05-28,8.19,,,,,
1998-05-29,7.98,,,,,
1998-06-01,7.25,,,,,
1998-06-02,7.03,,,,,
1998-06-03,7.13,,,,,
1998-06-04,7.19,,,,,
1998-06-05,7.25,,,,,
1998-06-08,6.75,,,,,
1998-06-09,6.84,,,,,
1998-06-10,6.88,,,,,
1998-06-11,6.75,,,,,
1998-06-12,7.0,,,,,
1998-06-15,6.75,,,,,
1998-06-16,6.78,,,,,
1998-06-17,7.16,,,,,
1998-06-18,7.5,,,,,
1998-06-19,7.47,,,,,
1998-06-22,8.75,,,,,
1998-06-23,9.56,,,,,
1998-06-24,10.44,,,,,
1998-06-25,10.0,,,,,
1998-06-26,9.56,,,,,
1998-06-29,9.13,,,,,
1998-06-30,9.34,,,,,
1998-07-01,10.38,,,,,
1998-07-02,10.38,,,,,
1998-07-06,10.52,,,,,
1998-07-07,10.56,,,,,
1998-07-08,10.42,,,,,
1998-07-09,10.75,,,,,
1998-07-10,11.0,,,,,
1998-07-13,10.61,,,,,
1998-07-14,10.69,,,,,
1998-07-15,10.59,,,,,
1998-07-16,10.66,,,,,
1998-07-17,10.44,,,,,
1998-07-20,10.38,,,,,
1998-07-21,10.19,,,,,
1998-07-22,9.94,,,,,
1998-07-23,9.66,,,,,
1998-07-24,9.81,,,,,
1998-07-27,9.0,,,,,
1998-07-28,8.91,,,,,
1998-07-29,8.28,,,,,
1998-07-30,8.0,,,,,
1998-07-31,7.75,,,,,
1998-08-03,7.56,,,,,
