date,COF,COF_SHE,PB Ratio
2001-07-02,12793145613.34,,
2001-07-03,12803635237.49,,
2001-07-05,13007133946.0,,
2001-07-06,12612724077.96,,
2001-07-09,12432302542.58,,
2001-07-10,12377756497.0,,
2001-07-11,12365168948.02,,
2001-07-12,13246297376.62,,
2001-07-13,13764484809.63,,
2001-07-16,13577769499.76,,
2001-07-17,14058194285.830002,,
2001-07-18,13737211786.84,,
2001-07-19,13277766249.07,,
2001-07-20,13307137196.69,,
2001-07-23,13328116444.99,,
2001-07-24,13057484141.92,,
2001-07-25,13059582066.75,,
2001-07-26,13153988684.1,,
2001-07-27,13502244205.88,,
2001-07-30,13252591151.11,,
2001-07-31,13483362882.41,,
2001-08-01,13777072358.61,,
2001-08-02,13825324629.7,,
2001-08-03,13781268208.27,,
2001-08-06,13626021770.85,,
2001-08-07,13489656656.9,,
2001-08-08,13118323961.99,,
2001-08-09,13053288292.26,,
2001-08-10,13011329795.66,,
2001-08-13,13193849255.87,,
2001-08-14,13451894009.960001,2741537000.0,4.906697961749194
2001-08-15,13344899843.63,2741537000.0,4.867670888129542
2001-08-16,13007133946.0,2741537000.0,4.744467773369464
2001-08-17,12799439387.83,2741537000.0,4.66870933634308
2001-08-20,12973567148.720001,2741537000.0,4.732223985567221
2001-08-21,12455379715.71,2741537000.0,4.543210511370082
2001-08-22,12639997100.75,2741537000.0,4.610551344282422
2001-08-23,12631605401.43,2741537000.0,4.607490397331862
2001-08-24,12409225369.449999,2741537000.0,4.526375303141996
2001-08-27,12331602150.74,2741537000.0,4.498061543849308
2001-08-28,12042088524.199999,2741537000.0,4.392458874054955
2001-08-29,11891037936.44,2741537000.0,4.337361828944858
2001-08-30,11588936760.92,2741537000.0,4.227167738724664
2001-08-31,11666559979.63,2741537000.0,4.255481498017352
2001-09-04,11068651403.08,2741537000.0,4.037389027789886
2001-09-05,11009909507.84,2741537000.0,4.015962399135959
2001-09-06,10539974345.92,2741537000.0,3.8445493699045463
2001-09-07,10174935425.5,2741537000.0,3.7113981775551452
2001-09-10,10567247368.71,2741537000.0,3.854497447493869
2001-09-17,9423878336.36,2741537000.0,3.4374434254799406
2001-09-18,8802892586.68,2741537000.0,3.210933351138431
2001-09-19,8408482718.639999,2741537000.0,3.067068844462066
2001-09-20,8381209695.85,2741537000.0,3.0571207668727434
2001-09-21,8391699320.0,2741537000.0,3.0609469505609446
2001-09-24,9031566393.15,2741537000.0,3.2943441555412165
2001-09-25,8979118272.4,2741537000.0,3.2752132371002105
2001-09-26,9182616980.91,2741537000.0,3.3494412006513135
2001-09-27,9172127356.76,2741537000.0,3.3456150169631123
2001-09-28,9656747992.49,2741537000.0,3.5223847033580067
2001-10-01,10176858429.15,2741537000.0,3.7120996102368853
2001-10-02,10279610812.86,2741537000.0,3.749579455925636
2001-10-03,10605357731.43,2741537000.0,3.868398541194228
2001-10-04,10504791568.65,2741537000.0,3.8317161390307697
2001-10-05,10275238371.0,2741537000.0,3.747984568875051
2001-10-08,9923256801.27,2741537000.0,3.619596161302948
2001-10-09,10026009184.98,2741537000.0,3.6570760069916983
2001-10-10,10487301801.21,2741537000.0,3.825336590828429
2001-10-11,10428273836.1,2741537000.0,3.80380561564553
2001-10-12,9794269766.4,2741537000.0,3.5725469933106866
2001-10-15,9291438952.5,2741537000.0,3.3891349824933967
2001-10-16,9429170871.09,2741537000.0,3.4393739245868287
2001-10-17,10469812033.77,2741537000.0,3.818957042626089
2001-10-18,10635964824.449999,2741537000.0,3.8795627505483234
2001-10-19,10421715173.31,2741537000.0,3.8014132850696525
2001-10-22,10417342731.449999,2741537000.0,3.799818398019067
2001-10-23,10406411626.800001,2741537000.0,3.795831180392605
2001-10-24,10023822964.050001,2741537000.0,3.6562785634664063
2001-10-25,9796455987.33,2741537000.0,3.573344436835979
2001-10-26,10082850929.16,2741537000.0,3.677809538649305
2001-10-29,9730869359.43,2741537000.0,3.5494211310772026
2001-10-30,9523178371.08,2741537000.0,3.473663996174409
2001-10-31,9031278661.83,2741537000.0,3.2942392029835816
2001-11-01,9499129940.85,2741537000.0,3.464892117396191
2001-11-02,9628116975.72,2741537000.0,3.5119412853884517
2001-11-05,9783338661.75,2741537000.0,3.568559775684224
2001-11-06,10303659243.09,2741537000.0,3.758351334703854
2001-11-07,10878635347.68,2741537000.0,3.9680789818557987
2001-11-08,10931104650.0,2741537000.0,3.98721762646282
2001-11-09,11073209010.449999,2741537000.0,4.039051455606836
2001-11-12,11324624417.4,2741537000.0,4.130757461015481
2001-11-13,11779358370.84,2741537000.0,4.296625714276335
2001-11-14,11914904068.5,2983293000.0,3.993876588219796
2001-11-15,11943324940.59,2983293000.0,4.003403266320137
2001-11-16,11346486626.699999,2983293000.0,3.8033430262129797
2001-11-19,11335555522.050001,2983293000.0,3.7996789192513107
2001-11-20,11175961394.16,2983293000.0,3.746182957610935
2001-11-21,11018553487.199999,2983293000.0,3.6934198173628934
2001-11-23,11377093719.72,2983293000.0,3.8136025257056545
2001-11-26,11600088254.58,2983293000.0,3.888350307723713
2001-11-27,11903972963.85,2983293000.0,3.9902124812581268
2001-11-28,11377093719.72,2983293000.0,3.8136025257056545
2001-11-29,11259037789.5,2983293000.0,3.774030170519624
2001-11-30,10937663312.79,2983293000.0,3.6663054258465397
2001-12-03,10614102615.15,2983293000.0,3.5578478597811207
2001-12-04,10963897963.949999,2983293000.0,3.675099282554546
2001-12-05,11226244475.550001,2983293000.0,3.7630378496346157
2001-12-06,11698468196.43,2983293000.0,3.921327270378739
2001-12-07,11383652382.51,2983293000.0,3.8158009898826566
2001-12-10,10952966859.300001,2983293000.0,3.671435175592877
2001-12-11,11167216510.44,2983293000.0,3.7432516720416
2001-12-12,10828352266.29,2983293000.0,3.6296643562298443
