date,VZ,VZ_SHE,PB Ratio
2002-11-13,,0.0,
2002-12-31,95767800000.0,0.0,inf
2003-01-02,99285240000.0,0.0,inf
2003-01-03,99972240000.0,0.0,inf
2003-01-06,108903240000.0,0.0,inf
2003-01-07,107804039999.99998,0.0,inf
2003-01-08,101098920000.0,0.0,inf
2003-01-09,99999720000.0,0.0,inf
2003-01-10,99202800000.0,0.0,inf
2003-01-13,100466880000.0,0.0,inf
2003-01-14,101758440000.0,0.0,inf
2003-01-15,99312720000.0,0.0,inf
2003-01-16,97663920000.0,0.0,inf
2003-01-17,95135760000.0,0.0,inf
2003-01-21,92360280000.0,0.0,inf
2003-01-22,91425960000.00002,0.0,inf
2003-01-23,88732920000.0,0.0,inf
2003-01-24,86507040000.0,0.0,inf
2003-01-27,87606240000.0,0.0,inf
2003-01-28,89090160000.0,0.0,inf
2003-01-29,93047280000.0,0.0,inf
2003-01-30,91865640000.0,0.0,inf
2003-01-31,94613640000.0,0.0,inf
2003-02-03,95712840000.0,0.0,inf
2003-02-04,95520480000.0,0.0,inf
2003-02-05,95135760000.0,0.0,inf
2003-02-06,93954120000.0,0.0,inf
2003-02-07,91893120000.0,0.0,inf
2003-02-10,92277840000.0,0.0,inf
2003-02-11,91261080000.0,0.0,inf
2003-02-12,89007720000.0,0.0,inf
2003-02-13,89722200000.0,0.0,inf
2003-02-14,92277840000.0,0.0,inf
2003-02-18,93651840000.0,0.0,inf
2003-02-19,90464160000.0,0.0,inf
2003-02-20,85902480000.0,0.0,inf
2003-02-21,88073399999.99998,0.0,inf
2003-02-24,87606240000.0,0.0,inf
2003-02-25,87963480000.0,0.0,inf
2003-02-26,86452080000.0,0.0,inf
2003-02-27,86122320000.0,0.0,inf
2003-02-28,85462800000.0,0.0,inf
2003-03-03,86039880000.0,0.0,inf
2003-03-04,85050600000.0,0.0,inf
2003-03-05,85572720000.0,0.0,inf
2003-03-06,82549920000.0,0.0,inf
2003-03-07,84171240000.0,0.0,inf
2003-03-10,80928600000.0,0.0,inf
2003-03-11,80104200000.0,0.0,inf
2003-03-12,82714800000.0,0.0,inf
2003-03-13,85875000000.0,0.0,inf
2003-03-14,86616960000.0,0.0,inf
2003-03-17,88980240000.0,0.0,inf
2003-03-18,88732920000.0,0.0,inf
2003-03-19,90134399999.99998,0.0,inf
2003-03-20,89584800000.0,0.0,inf
2003-03-21,92745000000.0,0.0,inf
