date,close price,GLW_SHE,GLW_TA,GLW_TL,market cap,PB Ratio
1989-09-19,6.73,,,,3828024000,
1989-09-20,6.63,,,,3771144000,
1989-09-21,6.6,,,,3754080000,
1989-09-22,6.6,,,,3754080000,
1989-09-25,6.44,,,,3663072000,
1989-09-26,6.4,,,,3640320000,
1989-09-27,6.48,,,,3685824000,
1989-09-28,6.6,,,,3754080000,
1989-09-29,6.67,,,,3793896000,
1989-10-02,6.77,,,,3850776000,
1989-10-03,6.79,,,,3862152000,
1989-10-04,6.88,,,,3913344000,
1989-10-05,6.94,,,,3947472000,
1989-10-06,7.0,,,,3981600000,
1989-10-09,7.08,,,,4027104000,
1989-10-10,7.08,,,,4027104000,
1989-10-11,7.0,,,,3981600000,
1989-10-12,6.98,,,,3970224000,
1989-10-13,6.15,,,,3498120000,
1989-10-16,6.54,,,,3719952000,
1989-10-17,6.42,,,,3651696000,
1989-10-18,6.42,,,,3651696000,
1989-10-19,6.48,,,,3685824000,
1989-10-20,6.54,,,,3719952000,
1989-10-23,6.54,,,,3719952000,
1989-10-24,6.44,,,,3663072000,
1989-10-25,6.42,,,,3651696000,
1989-10-26,6.27,,,,3566376000,
1989-10-27,6.29,,,,3577752000,
1989-10-30,6.27,,,,3566376000,
1989-10-31,6.44,,,,3663072000,
1989-11-01,6.42,,,,3651696000,
1989-11-02,6.31,,,,3589128000,
1989-11-03,6.29,,,,3577752000,
1989-11-06,6.19,,,,3520872000,
1989-11-07,6.17,,,,3509496000,
1989-11-08,6.27,,,,3566376000,
1989-11-09,6.25,,,,3555000000,
1989-11-10,6.42,,,,3651696000,
1989-11-13,6.52,,,,3708576000,
1989-11-14,6.6,,,,3754080000,
1989-11-15,6.65,,,,3782520000,
1989-11-16,6.65,,,,3782520000,
1989-11-17,6.67,,,,3793896000,
1989-11-20,6.67,,,,3793896000,
1989-11-21,6.65,,,,3782520000,
1989-11-22,6.85,,,,3896280000,
1989-11-24,6.92,,,,3936096000,
1989-11-27,6.96,,,,3958848000,
1989-11-28,6.98,,,,3970224000,
1989-11-29,6.67,,,,3793896000,
1989-11-30,6.65,,,,3782520000,
1989-12-01,6.81,,,,3873528000,
1989-12-04,6.83,,,,3884904000,
1989-12-05,6.92,,,,3936096000,
1989-12-06,6.96,,,,3958848000,
1989-12-07,7.02,,,,3992976000,
1989-12-08,7.1,,,,4038480000,
1989-12-11,7.04,,,,4004352000,
1989-12-12,7.04,,,,4004352000,
1989-12-13,7.1,,,,4038480000,
1989-12-14,7.13,,,,4055544000,
1989-12-15,7.08,,,,4027104000,
1989-12-18,6.88,,,,3913344000,
1989-12-19,6.94,,,,3947472000,
1989-12-20,6.88,,,,3913344000,
1989-12-21,6.75,,,,3839400000,
1989-12-22,6.83,,,,3884904000,
1989-12-26,6.92,,,,3936096000,
1989-12-27,7.04,,,,4004352000,
1989-12-28,7.02,,,,3992976000,
1989-12-29,7.17,,,,4078296000,
1990-01-02,7.38,,,,4197744000,
1990-01-03,7.46,,,,4243248000,
1990-01-04,7.4,,,,4209120000,
1990-01-05,7.38,,,,4197744000,
1990-01-08,7.48,,,,4254624000,
1990-01-09,7.33,,,,4169304000,
1990-01-10,7.29,,,,4146552000,
1990-01-11,7.33,,,,4169304000,
1990-01-12,7.13,,,,4055544000,
1990-01-15,6.98,,,,3970224000,
1990-01-16,7.1,,,,4038480000,
1990-01-17,7.0,,,,3981600000,
1990-01-18,7.04,,,,4004352000,
1990-01-19,7.0,,,,3981600000,
1990-01-22,6.9,,,,3924720000,
1990-01-23,7.0,,,,3981600000,
1990-01-24,7.0,,,,3981600000,
1990-01-25,6.96,,,,3958848000,
1990-01-26,7.02,,,,3992976000,
1990-01-29,7.04,,,,4004352000,
1990-01-30,7.0,,,,3981600000,
1990-01-31,7.08,,,,4027104000,
1990-02-01,7.23,,,,4112424000,
1990-02-02,7.33,,,,4169304000,
1990-02-05,7.29,,,,4146552000,
1990-02-06,7.15,,,,4066920000,
1990-02-07,7.19,,,,4089672000,
1990-02-08,7.15,,,,4066920000,
1990-02-09,7.21,,,,4101048000,
1990-02-12,7.17,,,,4099806000,
1990-02-13,7.33,,,,4191294000,
1990-02-14,7.35,,,,4202730000,
1990-02-15,7.42,,,,4242756000,
1990-02-16,7.46,,,,4265628000,
1990-02-20,7.27,,,,4156986000,
1990-02-21,7.29,,,,4168422000,
1990-02-22,7.08,,,,4048344000,
1990-02-23,7.04,,,,4025472000,
1990-02-26,7.21,,,,4122678000,
1990-02-27,7.31,,,,4179858000,
1990-02-28,7.52,,,,4299936000,
1990-03-01,7.73,,,,4420014000,
1990-03-02,7.58,,,,4334244000,
1990-03-05,7.44,,,,4254192000,
1990-03-06,7.54,,,,4311372000,
1990-03-07,7.46,,,,4265628000,
1990-03-08,7.35,,,,4202730000,
1990-03-09,7.29,,,,4168422000,
1990-03-12,7.29,,,,4168422000,
1990-03-13,7.48,,,,4277064000,
1990-03-14,7.5,,,,4288500000,
1990-03-15,7.52,,,,4299936000,
1990-03-16,7.46,,,,4265628000,
1990-03-19,7.46,,,,4265628000,
1990-03-20,7.54,,,,4311372000,
1990-03-21,7.54,,,,4311372000,
1990-03-22,7.4,,,,4231320000,
1990-03-23,7.6,,,,4345680000,
1990-03-26,7.65,,,,4374270000,
1990-03-27,7.83,,,,4477194000,
1990-03-28,7.75,,,,4431450000,
1990-03-29,7.67,,,,4385706000,
1990-03-30,7.79,,,,4454322000,
1990-04-02,7.67,,,,4385706000,
1990-04-03,7.63,,,,4362834000,
1990-04-04,7.75,,,,4431450000,
1990-04-05,7.71,,,,4408578000,
1990-04-06,7.69,,,,4397142000,
1990-04-09,7.67,,,,4385706000,
1990-04-10,7.71,,,,4408578000,
1990-04-11,7.79,,,,4454322000,
1990-04-12,7.83,,,,4477194000,
1990-04-16,7.9,,,,4517220000,
1990-04-17,7.94,,,,4540092000,
1990-04-18,7.92,,,,4528656000,
1990-04-19,7.67,,,,4385706000,
1990-04-20,7.5,,,,4288500000,
