date,close price,ILMN_SHE,ILMN_TA,ILMN_TL,market cap,PB Ratio
,,32000000.0,33900000.0,1900000.0,,
2000-07-28,19.59,32000000.0,33900000.0,1900000.0,,
2000-07-31,17.5,32000000.0,33900000.0,1900000.0,,
2000-08-01,17.75,32000000.0,33900000.0,1900000.0,,
2000-08-02,19.06,32000000.0,33900000.0,1900000.0,,
2000-08-03,22.13,32000000.0,33900000.0,1900000.0,,
2000-08-04,20.47,32000000.0,33900000.0,1900000.0,,
2000-08-07,21.13,32000000.0,33900000.0,1900000.0,,
2000-08-08,20.49,32000000.0,33900000.0,1900000.0,,
2000-08-09,21.41,32000000.0,33900000.0,1900000.0,,
2000-08-10,22.5,32000000.0,33900000.0,1900000.0,,
2000-08-11,20.94,32000000.0,33900000.0,1900000.0,,
2000-08-14,20.0,32000000.0,33900000.0,1900000.0,,
2000-08-15,20.0,32000000.0,33900000.0,1900000.0,,
2000-08-16,21.31,32000000.0,33900000.0,1900000.0,,
2000-08-17,20.94,32000000.0,33900000.0,1900000.0,,
2000-08-18,22.0,32000000.0,33900000.0,1900000.0,,
2000-08-21,22.59,32000000.0,33900000.0,1900000.0,,
2000-08-22,21.06,32000000.0,33900000.0,1900000.0,,
2000-08-23,20.56,32000000.0,33900000.0,1900000.0,,
2000-08-24,20.01,32000000.0,33900000.0,1900000.0,,
2000-08-25,20.88,32000000.0,33900000.0,1900000.0,,
2000-08-28,20.81,32000000.0,33900000.0,1900000.0,,
2000-08-29,21.25,32000000.0,33900000.0,1900000.0,,
2000-08-30,20.0,32000000.0,33900000.0,1900000.0,,
2000-08-31,22.38,32000000.0,33900000.0,1900000.0,,
2000-09-01,23.31,32000000.0,33900000.0,1900000.0,,
2000-09-05,22.88,32000000.0,33900000.0,1900000.0,,
2000-09-06,21.0,32000000.0,33900000.0,1900000.0,,
2000-09-07,22.5,32000000.0,33900000.0,1900000.0,,
2000-09-08,21.47,27500000.0,33700000.0,6200000.0,,
2000-09-11,20.56,27500000.0,33700000.0,6200000.0,,
2000-09-12,20.38,27500000.0,33700000.0,6200000.0,,
2000-09-13,18.25,27500000.0,33700000.0,6200000.0,,
2000-09-14,18.5,27500000.0,33700000.0,6200000.0,,
2000-09-15,18.88,27500000.0,33700000.0,6200000.0,,
2000-09-18,17.0,27500000.0,33700000.0,6200000.0,,
2000-09-19,16.66,27500000.0,33700000.0,6200000.0,,
2000-09-20,17.0,27500000.0,33700000.0,6200000.0,,
