date,close price,DISCK_SHE,DISCK_TA,DISCK_TL,market cap,PB Ratio
2008-09-18,8.0,,,,2576000000,
2008-09-19,8.35,,,,2688700000,
2008-09-22,8.44,,,,2717680000,
2008-09-23,8.31,,,,2675820000,
2008-09-24,7.93,,,,2553460000,
2008-09-25,8.04,,,,2588880000,
2008-09-26,7.75,,,,2495500000,
2008-09-29,7.31,,,,2353820000,
2008-09-30,7.08,,,,2279760000,
2008-10-01,7.16,,,,2305520000,
2008-10-02,6.7,,,,2157400000,
2008-10-03,6.5,,,,2093000000,
2008-10-06,6.24,,,,2009280000,
2008-10-07,5.9,,,,1899800000,
2008-10-08,5.61,,,,1806420000,
2008-10-09,5.44,,,,1751680000,
2008-10-10,5.22,,,,1680840000,
2008-10-13,6.12,,,,1970640000,
2008-10-14,6.55,,,,2109100000,
2008-10-15,6.14,,,,1977080000,
2008-10-16,5.95,,,,1915900000,
2008-10-17,6.2,,,,1996400000,
2008-10-20,6.37,,,,2051140000,
2008-10-21,6.28,,,,2022160000,
2008-10-22,5.9,,,,1899800000,
2008-10-23,5.69,,,,1832180000,
2008-10-24,4.9,,,,1577800000,
2008-10-27,5.0,,,,1610000000,
2008-10-28,5.28,,,,1700160000,
2008-10-29,5.81,,,,1870820000,
2008-10-30,6.3,,,,2028600000,
2008-10-31,6.66,,,,2144520000,
2008-11-03,6.53,,,,2102660000,
2008-11-04,6.79,,,,2186380000,
2008-11-05,6.63,,,,2134860000,
2008-11-06,5.68,,,,1828960000,
2008-11-07,6.76,5519000000.0,10445000000.0,4877000000.0,2176720000,0.39440478347526725
2008-11-10,6.68,5519000000.0,10445000000.0,4877000000.0,2150960000,0.38973727124479074
2008-11-11,6.57,5519000000.0,10445000000.0,4877000000.0,2115540000,0.3833194419278855
2008-11-12,5.93,5519000000.0,10445000000.0,4877000000.0,1909460000,0.3459793440840732
2008-11-13,6.5,5519000000.0,10445000000.0,4877000000.0,2093000000,0.3792353687262185
2008-11-14,6.73,5519000000.0,10445000000.0,4877000000.0,2167060000,0.39265446638883855
2008-11-17,6.29,5519000000.0,10445000000.0,4877000000.0,2025380000,0.3669831491212176
2008-11-18,5.93,5519000000.0,10445000000.0,4877000000.0,1909460000,0.3459793440840732
2008-11-19,5.88,5519000000.0,10445000000.0,4877000000.0,1893360000,0.34306214894002535
2008-11-20,5.98,5519000000.0,10445000000.0,4877000000.0,1925560000,0.348896539228121
2008-11-21,6.17,5519000000.0,10445000000.0,4877000000.0,1986740000,0.3599818807755028
2008-11-24,6.59,5519000000.0,10445000000.0,4877000000.0,2121980000,0.38448631998550464
2008-11-25,6.36,5519000000.0,10445000000.0,4877000000.0,2047920000,0.3710672223228846
2008-11-26,6.67,5519000000.0,10445000000.0,4877000000.0,2147740000,0.38915383221598115
2008-11-28,7.57,5519000000.0,10445000000.0,4877000000.0,2437540000,0.4416633448088422
2008-12-01,6.59,5519000000.0,10445000000.0,4877000000.0,2121980000,0.38448631998550464
2008-12-02,6.55,5519000000.0,10445000000.0,4877000000.0,2109100000,0.38215256387026636
2008-12-03,6.75,5519000000.0,10445000000.0,4877000000.0,2173500000,0.39382134444645767
2008-12-04,6.2,5519000000.0,10445000000.0,4877000000.0,1996400000,0.3617321978619315
2008-12-05,6.65,5519000000.0,10445000000.0,4877000000.0,2141300000,0.38798695415836204
2008-12-08,7.11,5519000000.0,10445000000.0,4877000000.0,2289420000,0.4148251494836021
2008-12-09,6.56,5519000000.0,10445000000.0,4877000000.0,2112320000,0.38273600289907594
2008-12-10,6.47,5519000000.0,10445000000.0,4877000000.0,2083340000,0.3774850516397898
2008-12-11,6.01,5519000000.0,10445000000.0,4877000000.0,1935220000,0.3506468563145497
2008-12-12,6.26,5519000000.0,10445000000.0,4877000000.0,2015720000,0.3652328320347889
2008-12-15,6.09,5519000000.0,10445000000.0,4877000000.0,1960980000,0.3553143685450263
2008-12-16,6.22,5519000000.0,10445000000.0,4877000000.0,2002840000,0.3628990759195506
2008-12-17,6.26,5519000000.0,10445000000.0,4877000000.0,2015720000,0.3652328320347889
2008-12-18,6.69,5519000000.0,10445000000.0,4877000000.0,2154180000,0.39032071027360027
2008-12-19,6.92,5519000000.0,10445000000.0,4877000000.0,2228240000,0.40373980793622033
2008-12-22,6.61,5519000000.0,10445000000.0,4877000000.0,2128420000,0.38565319804312376
2008-12-23,6.58,5519000000.0,10445000000.0,4877000000.0,2118760000,0.38390288095669506
2008-12-24,6.55,5519000000.0,10445000000.0,4877000000.0,2109100000,0.38215256387026636
2008-12-26,6.57,5519000000.0,10445000000.0,4877000000.0,2115540000,0.3833194419278855
2008-12-29,6.57,5519000000.0,10445000000.0,4877000000.0,2115540000,0.3833194419278855
2008-12-30,6.65,5519000000.0,10445000000.0,4877000000.0,2141300000,0.38798695415836204
2008-12-31,6.7,5519000000.0,10445000000.0,4877000000.0,2157400000,0.39090414930240985
2009-01-02,6.89,5519000000.0,10445000000.0,4877000000.0,2218580000,0.40198949084979163
2009-01-05,7.04,5519000000.0,10445000000.0,4877000000.0,2266880000,0.4107410762819351
2009-01-06,7.23,5519000000.0,10445000000.0,4877000000.0,2328060000,0.4218264178293169
2009-01-07,6.9,5519000000.0,10445000000.0,4877000000.0,2221800000,0.4025729298786012
2009-01-08,7.12,5519000000.0,10445000000.0,4877000000.0,2292640000,0.4154085885124117
2009-01-09,7.21,5519000000.0,10445000000.0,4877000000.0,2321620000,0.4206595397716978
