date,close price,LVS_SHE,LVS_TA,LVS_TL,market cap,PB Ratio
,,525000000.0,2786000000.0,2260000000.0,,
2004-12-15,46.56,525000000.0,2786000000.0,2260000000.0,38877600000.0,74.05257142857143
2004-12-16,49.11,525000000.0,2786000000.0,2260000000.0,41006850000.0,78.10828571428571
2004-12-17,53.0,525000000.0,2786000000.0,2260000000.0,44255000000.0,84.29523809523809
2004-12-20,48.6,525000000.0,2786000000.0,2260000000.0,40581000000.0,77.29714285714286
2004-12-21,47.38,525000000.0,2786000000.0,2260000000.0,39562300000.0,75.35676190476191
2004-12-22,48.51,525000000.0,2786000000.0,2260000000.0,40505850000.0,77.154
2004-12-23,48.5,525000000.0,2786000000.0,2260000000.0,40497500000.0,77.13809523809523
2004-12-27,47.65,525000000.0,2786000000.0,2260000000.0,39787750000.0,75.78619047619047
2004-12-28,48.1,525000000.0,2786000000.0,2260000000.0,40163500000.0,76.50190476190477
2004-12-29,47.89,525000000.0,2786000000.0,2260000000.0,39988150000.0,76.16790476190477
2004-12-30,47.85,525000000.0,2786000000.0,2260000000.0,39954750000.0,76.10428571428571
2004-12-31,48.0,525000000.0,2786000000.0,2260000000.0,40080000000.0,76.34285714285714
2005-01-03,48.51,525000000.0,2786000000.0,2260000000.0,40505850000.0,77.154
2005-01-04,49.46,525000000.0,2786000000.0,2260000000.0,41299100000.0,78.66495238095239
2005-01-05,48.85,525000000.0,2786000000.0,2260000000.0,40789750000.0,77.6947619047619
2005-01-06,47.99,525000000.0,2786000000.0,2260000000.0,40071650000.0,76.32695238095238
2005-01-07,45.55,525000000.0,2786000000.0,2260000000.0,38034250000.0,72.44619047619048
2005-01-10,45.13,525000000.0,2786000000.0,2260000000.0,37683550000.0,71.77819047619047
2005-01-11,44.72,525000000.0,2786000000.0,2260000000.0,37341200000.0,71.12609523809523
2005-01-12,43.1,525000000.0,2786000000.0,2260000000.0,35988500000.0,68.5495238095238
2005-01-13,42.5,525000000.0,2786000000.0,2260000000.0,35487500000.0,67.5952380952381
2005-01-14,43.4,525000000.0,2786000000.0,2260000000.0,36239000000.0,69.02666666666667
