date,VRSK,VRSK_SHE,PB Ratio
2009-11-16,,-1198517000.0,
2009-12-31,5736690011.68,-1198517000.0,-4.786490314013068
2010-01-04,5655224466.6,-1198517000.0,-4.718518357770479
2010-01-05,5693115417.8,-1198517000.0,-4.750133221139125
2010-01-06,5767002772.64,-1198517000.0,-4.811782204707986
2010-01-07,5757530034.84,-1198517000.0,-4.8038784888658235
2010-01-08,5683642680.0,-1198517000.0,-4.7422295052969625
2010-01-11,5670380847.08,-1198517000.0,-4.731164303117937
2010-01-12,5713955440.96,-1198517000.0,-4.76752139599188
2010-01-13,5712060893.4,-1198517000.0,-4.765940652823447
2010-01-14,5666591751.96,-1198517000.0,-4.728002816781072
2010-01-15,5484715186.2,-1198517000.0,-4.576251472611569
2010-01-19,5295260430.2,-1198517000.0,-4.418177155768337
2010-01-20,5302838620.44,-1198517000.0,-4.424500128442066
2010-01-21,5312311358.24,-1198517000.0,-4.432403844284227
2010-01-22,5306627715.56,-1198517000.0,-4.427661614778931
2010-01-25,5295260430.2,-1198517000.0,-4.418177155768337
2010-01-26,5371042332.6,-1198517000.0,-4.48140688250563
2010-01-27,5475242448.4,-1198517000.0,-4.568347756769407
2010-01-28,5450613330.12,-1198517000.0,-4.547798095579787
2010-01-29,5327467738.72,-1198517000.0,-4.445049789631686
2010-02-01,5382409617.96,-1198517000.0,-4.490891341516224
2010-02-02,5297154977.76,-1198517000.0,-4.419757898936769
2010-02-03,5302838620.44,-1198517000.0,-4.424500128442066
2010-02-04,5257369479.0,-1198517000.0,-4.386562292399691
2010-02-05,5247896741.2,-1198517000.0,-4.3786585765575285
2010-02-08,5234634908.28,-1198517000.0,-4.367593374378503
2010-02-09,5274420407.04,-1198517000.0,-4.400788980915581
2010-02-10,5274420407.04,-1198517000.0,-4.400788980915581
2010-02-11,5308522263.12,-1198517000.0,-4.429242357947363
2010-02-12,5363464142.36,-1198517000.0,-4.4750839098319
2010-02-16,5352096857.0,-1198517000.0,-4.465599450821307
2010-02-17,5293365882.64,-1198517000.0,-4.416596412599905
2010-02-18,5304733168.0,-1198517000.0,-4.426080871610498
2010-02-19,5306627715.56,-1198517000.0,-4.427661614778931
2010-02-22,5350202309.44,-1198517000.0,-4.464018707652874
2010-02-23,5306627715.56,-1198517000.0,-4.427661614778931
2010-02-24,5297154977.76,-1198517000.0,-4.419757898936769
2010-02-25,5300944072.88,-1198517000.0,-4.422919385273634
2010-02-26,5361569594.8,-1198517000.0,-4.473503166663469
2010-03-01,5380515070.4,-1198517000.0,-4.4893105983477914
2010-03-02,5308522263.12,-1198517000.0,-4.429242357947363
2010-03-03,5234634908.28,-1198517000.0,-4.367593374378503
2010-03-04,5160747553.44,-1198517000.0,-4.305944390809642
2010-03-05,5187271219.28,-1198517000.0,-4.328074795167694
2010-03-08,5499871566.68,-1198517000.0,-4.588897417959028
2010-03-09,5389987808.2,-34949000.0,-154.22437861455262
2010-03-10,5405144188.68,-34949000.0,-154.6580499779679
2010-03-11,5340729571.64,-34949000.0,-152.81494668345303
2010-03-12,5342624119.2,-34949000.0,-152.86915560387993
2010-03-15,5323678643.6,-34949000.0,-152.32706639961089
2010-03-16,5314205905.8,-34949000.0,-152.05602179747632
2010-03-17,5306627715.56,-34949000.0,-151.8391861157687
2010-03-18,5374831427.72,-34949000.0,-153.79070725113738
2010-03-19,5359675047.24,-34949000.0,-153.3570358877221
2010-03-22,5342624119.2,-34949000.0,-152.86915560387993
2010-03-23,5304733168.0,-34949000.0,-151.78497719534178
2010-03-24,5308522263.12,-34949000.0,-151.89339503619559
2010-03-25,5304733168.0,-34949000.0,-151.78497719534178
2010-03-26,5317995000.92,-34949000.0,-152.16443963833015
2010-03-29,5304733168.0,-34949000.0,-151.78497719534178
2010-03-30,5287682239.96,-34949000.0,-151.2970969114996
2010-03-31,5342624119.2,-34949000.0,-152.86915560387993
2010-04-01,5304058088.759999,-34949000.0,-151.765661070703
2010-04-05,5285108256.36,-34949000.0,-151.2234472047841
2010-04-06,5336272803.84,-34949000.0,-152.68742464276517
2010-04-07,5269948390.44,-34949000.0,-150.78967611204897
2010-04-08,5239628658.599999,-34949000.0,-149.9221339265787
2010-04-09,5302163105.52,-34949000.0,-151.71143968411116
2010-04-12,5313533004.96,-34949000.0,-152.03676800366247
2010-04-13,5319217954.68,-34949000.0,-152.19943216343816
2010-04-14,5412072133.44,-34949000.0,-154.8562801064408
2010-04-15,5341957753.56,-34949000.0,-152.85008880254085
2010-04-16,5309743038.48,-34949000.0,-151.9283252304787
2010-04-19,5351432669.759999,-34949000.0,-153.1211957355003
2010-04-20,5360907585.96,-34949000.0,-153.39230266845976
2010-04-21,5336272803.84,-34949000.0,-152.68742464276517
2010-04-22,5343852736.8,-34949000.0,-152.90431018913273
2010-04-23,5364697552.44,-34949000.0,-153.50074544164352
2010-04-26,5412072133.44,-34949000.0,-154.8562801064408
2010-04-27,5402597217.240001,-34949000.0,-154.58517317348137
2010-04-28,5268053407.2,-34949000.0,-150.7354547254571
2010-04-29,5311638021.72,-34949000.0,-151.9825466170706
2010-04-30,5309743038.48,-34949000.0,-151.9283252304787
2010-05-03,5334377820.599999,-34949000.0,-152.63320325617326
2010-05-04,5372277485.400001,-34949000.0,-153.7176309880111
2010-05-05,5362802569.2,-34949000.0,-153.44652405505164
2010-05-06,5304058088.759999,28252000.0,187.74097723205435
2010-05-07,5252893541.28,28252000.0,185.92997102081267
2010-05-10,5273738356.92,28252000.0,186.66778836613338
2010-05-11,5393122301.04,28252000.0,190.8934695256973
2010-05-12,5669789854.08,28252000.0,200.68631792722638
2010-05-13,5741799217.2,28252000.0,203.23514148378874
2010-05-14,5842233328.92,28252000.0,206.79007960215208
2010-05-17,5827073463.0,28252000.0,206.25348516919155
2010-05-18,5741799217.2,28252000.0,203.23514148378874
2010-05-19,5683054736.759999,28252000.0,201.1558380560668
2010-05-20,5540930993.759999,28252000.0,196.12526524706212
2010-05-21,5497346379.240001,28252000.0,194.58255625230075
2010-05-24,5539036010.52,28252000.0,196.0581909429421
2010-05-25,5633785172.52,28252000.0,199.41190614894523
2010-05-26,5542825977.0,28252000.0,196.19233955118222
2010-05-27,5639470122.240001,28252000.0,199.61312906130541
2010-05-28,5732324301.0,28252000.0,202.89976996318845
2010-06-01,5628100222.8,28252000.0,199.21068323658503
2010-06-02,5734219284.240001,28252000.0,202.96684426730855
2010-06-03,5819493530.04,28252000.0,205.9851879527113
2010-06-04,5688739686.48,28252000.0,201.357060968427
2010-06-07,5605360423.92,28252000.0,198.40579158714428
2010-06-08,5605360423.92,28252000.0,198.40579158714428
2010-06-09,5485976479.8,28252000.0,194.18011042758036
2010-06-10,5584515608.28,28252000.0,197.66797424182357
2010-06-11,5599675474.2,28252000.0,198.20456867478407
2010-06-14,5760749049.599999,28252000.0,203.90588452498937
2010-06-15,5785383831.72,28252000.0,204.7778504785502
2010-06-16,5726639351.28,28252000.0,202.69854705082824
2010-06-17,5751274133.400001,28252000.0,203.57051300438908
2010-06-18,5760749049.599999,28252000.0,203.90588452498937
2010-06-21,5679264770.28,28252000.0,201.0216894478267
2010-06-22,5810018613.84,28252000.0,205.649816432111
2010-06-23,5755064099.88,28252000.0,203.7046616126292
2010-06-24,5707689518.88,28252000.0,202.02780400962763
2010-06-25,5861183161.32,28252000.0,207.46082264335269
2010-06-28,5840338345.68,28252000.0,206.723005298032
2010-06-29,5628100222.8,28252000.0,199.21068323658503
2010-06-30,5665999887.599999,28252000.0,200.55216931898624
2010-07-01,5699598827.599999,28252000.0,201.74142813252158
2010-07-02,5686387836.94,28252000.0,201.27381555075746
2010-07-06,5671289561.900001,28252000.0,200.7394011715985
2010-07-07,5582587196.04,28252000.0,197.59971669403936
2010-07-08,5550503361.58,28252000.0,196.46408613832648
2010-07-09,5542954224.06,28252000.0,196.196878948747
2010-07-12,5508983105.22,28252000.0,194.99444659563926
2010-07-13,5512757673.9800005,28252000.0,195.128050190429
2010-07-14,5531630517.78,28252000.0,195.79606816437774
2010-07-15,5473124702.0,28252000.0,193.72521244513663
2010-07-16,5444815436.3,28252000.0,192.7231854842135
2010-07-19,5425942592.5,28252000.0,192.05516751026477
2010-07-20,5435379014.400001,28252000.0,192.38917649723916
2010-07-21,5384422336.14,28252000.0,190.58552796757752
2010-07-22,5433491730.0199995,28252000.0,192.32237469984423
2010-07-23,5558052499.099999,28252000.0,196.73129332790597
2010-07-26,5658078571.24,28252000.0,200.27178858983433
2010-07-27,5586361764.8,28252000.0,197.7333202888291
2010-07-28,5495772114.56,28252000.0,194.52683401387515
2010-07-29,5499546683.32,28252000.0,194.66043760866486
2010-07-30,5603347324.22,28252000.0,198.334536465383
2010-08-02,5546728792.82,28252000.0,196.33048254353673
2010-08-03,5439153583.16,28252000.0,192.52278009202888
2010-08-04,5554277930.34,53575000.0,103.67294317013533
2010-08-05,5397633326.8,53575000.0,100.74910549323378
2010-08-06,5378760483.0,53575000.0,100.39683589360709
2010-08-09,5373098629.86,53575000.0,100.29115501371908
2010-08-10,5363662207.96,53575000.0,100.11502021390574
2010-08-11,5354225786.06,53575000.0,99.9388854140924
2010-08-12,5348563932.92,53575000.0,99.83320453420438
2010-08-13,5342902079.78,53575000.0,99.72752365431637
2010-08-16,5322141951.599999,53575000.0,99.340027094727
2010-08-17,5359887639.2,53575000.0,100.0445662939804
2010-08-18,5320254667.22,53575000.0,99.30480013476435
2010-08-19,5344789364.16,53575000.0,99.76275061427904
2010-08-20,5373098629.86,53575000.0,100.29115501371908
2010-08-23,5276847126.4800005,53575000.0,98.49458005562296
2010-08-24,5284396264.0,53575000.0,98.63548789547363
2010-08-25,5240988723.26,53575000.0,97.82526781633224
2010-08-26,5208904888.8,53575000.0,97.22640949696687
2010-08-27,5269297988.96,53575000.0,98.35367221577228
2010-08-30,5237214154.5,53575000.0,97.7548138964069
2010-08-31,5250425145.16,53575000.0,98.00140261614558
2010-09-01,5310818245.32,53575000.0,99.128665334951
2010-09-02,5354225786.06,53575000.0,99.9388854140924
2010-09-03,5312705529.7,53575000.0,99.16389229491367
2010-09-07,5257974282.68,53575000.0,98.14231045599627
2010-09-08,5201355751.28,53575000.0,97.08550165711618
2010-09-09,5246650576.400001,53575000.0,97.93094869622027
2010-09-10,5256086998.3,53575000.0,98.1070834960336
2010-09-13,5284396264.0,53575000.0,98.63548789547363
2010-09-14,5252312429.54,53575000.0,98.03662957610825
2010-09-15,5363662207.96,53575000.0,100.11502021390574
2010-09-16,5254199713.92,53575000.0,98.07185653607092
2010-09-17,5284396264.0,53575000.0,98.63548789547363
2010-09-20,5320254667.22,53575000.0,99.30480013476435
2010-09-21,5286283548.38,53575000.0,98.6707148554363
2010-09-22,5373098629.86,53575000.0,100.29115501371908
2010-09-23,5342902079.78,53575000.0,99.72752365431637
2010-09-24,5358000354.82,53575000.0,100.00933933401772
2010-09-27,5197581182.5199995,53575000.0,97.01504773719084
2010-09-28,5142849935.5,53575000.0,95.99346589827344
2010-09-29,5259861567.06,53575000.0,98.17753741595894
2010-09-30,5286283548.38,53575000.0,98.6707148554363
2010-10-01,5278705323.84,53575000.0,98.52926409407372
2010-10-04,5233970532.96,53575000.0,97.69427033056463
2010-10-05,5163140447.4,53575000.0,96.37219687167521
2010-10-06,5204147339.04,53575000.0,97.13760782155856
2010-10-07,5151956749.68,53575000.0,96.16344843079796
2010-10-08,5219058936.0,53575000.0,97.41593907606159
2010-10-11,5256337928.4,53575000.0,98.11176721231917
2010-10-12,5336487762.059999,53575000.0,99.60779770527297
2010-10-13,5293616920.8,53575000.0,98.80759534857677
2010-10-14,5334623812.440001,53575000.0,99.57300629846011
2010-10-15,5383086502.559999,53575000.0,100.47758287559495
2010-10-18,5504243227.860001,53575000.0,102.73902431843212
2010-10-19,5496787429.38,53575000.0,102.59985869118059
2010-10-20,5530338522.54,53575000.0,103.22610401381242
2010-10-21,5465100285.84,53575000.0,102.00840477536164
2010-10-22,5556433817.219999,53575000.0,103.7131837091927
2010-10-25,5548978018.74,53575000.0,103.5740180819412
2010-10-26,5591848860.0,53575000.0,104.37422043863742
2010-10-27,5571345414.18,53575000.0,103.99151496369576
2010-10-28,5515426925.58,53575000.0,102.94777275930937
2010-10-29,5556433817.219999,53575000.0,103.7131837091927
2010-11-01,5535930371.4,53575000.0,103.33047823425105
2010-11-02,5468828185.08,53575000.0,102.0779875889874
2010-11-03,5478147933.18,62144000.0,88.15248347676365
2010-11-04,5686910290.62,62144000.0,91.51181595359165
2010-11-05,5642175499.74,62144000.0,90.79195899427137
2010-11-08,5610488356.2,62144000.0,90.28206031475283
2010-11-09,5589984910.38,62144000.0,89.95212587506437
2010-11-10,5690638189.860001,62144000.0,91.57180403353503
2010-11-11,5608624406.58,62144000.0,90.25206627478116
2010-11-12,5588120960.76,62144000.0,89.92213183509269
2010-11-15,5612352305.82,62144000.0,90.31205435472451
2010-11-16,5666406844.8,62144000.0,91.18188151390319
2010-11-17,5694366089.1,62144000.0,91.63179211347838
2010-11-18,5778243822.0,62144000.0,92.98152391220391
2010-11-19,5727917182.26,62144000.0,92.1716848329686
2010-11-22,5757740376.18,62144000.0,92.65158947251545
2010-11-23,5675726592.9,62144000.0,91.33185171376158
2010-11-24,5701821887.58,62144000.0,91.75176827336509
2010-11-26,5677590542.52,62144000.0,91.36184575373328
2010-11-29,5606760456.96,62144000.0,90.22207223480947
2010-11-30,5642175499.74,62144000.0,90.79195899427137
2010-12-01,5757740376.18,62144000.0,92.65158947251545
2010-12-02,5772651973.139999,62144000.0,92.89154179228886
2010-12-03,5884488950.34,62144000.0,94.6911841905896
2010-12-06,5949727187.04,62144000.0,95.74097558959835
2010-12-07,6059700214.62,62144000.0,97.5106239479274
2010-12-08,6206952234.599999,62144000.0,99.88015310569
2010-12-09,6227455680.419999,62144000.0,100.21008754537846
2010-12-10,6151033746.0,62144000.0,98.98033190653965
2010-12-13,6145441897.139999,62144000.0,98.8903497866246
2010-12-14,6186448788.78,62144000.0,99.55021866600154
