date,close price,DOW_SHE,DOW_TA,DOW_TL,market cap,PB Ratio
,,32483000000.0,83699000000.0,51216000000.0,,
2018-08-03,,26865000000.0,80221000000.0,53356000000.0,,
2018-11-02,,27157000000.0,79051000000.0,51894000000.0,,
2019-03-20,49.8,27157000000.0,79051000000.0,51894000000.0,,
2019-03-21,48.98,27157000000.0,79051000000.0,51894000000.0,,
2019-03-22,48.6,27157000000.0,79051000000.0,51894000000.0,,
2019-03-25,49.15,27157000000.0,79051000000.0,51894000000.0,,
2019-03-26,48.85,27157000000.0,79051000000.0,51894000000.0,,
2019-03-27,50.1,27157000000.0,79051000000.0,51894000000.0,,
2019-03-28,50.85,27157000000.0,79051000000.0,51894000000.0,,
2019-03-29,51.63,27157000000.0,79051000000.0,51894000000.0,,
2019-04-01,53.5,27157000000.0,79051000000.0,51894000000.0,39996600000.0,1.472791545457893
2019-04-02,56.25,27157000000.0,79051000000.0,51894000000.0,42052500000.0,1.548495783775822
2019-04-03,56.88,27157000000.0,79051000000.0,51894000000.0,42523488000.0,1.5658389365541112
2019-04-04,59.71,27157000000.0,79051000000.0,51894000000.0,44639196000.0,1.6437454799867437
2019-04-05,57.24,27157000000.0,79051000000.0,51894000000.0,42792624000.0,1.5757493095702766
2019-04-08,57.15,27157000000.0,79051000000.0,51894000000.0,42725340000.0,1.5732717163162353
2019-04-09,56.27,27157000000.0,79051000000.0,51894000000.0,42067452000.0,1.549046360054498
2019-04-10,55.71,27157000000.0,79051000000.0,51894000000.0,41648796000.0,1.5336302242515742
2019-04-11,54.89,27157000000.0,79051000000.0,51894000000.0,41035764000.0,1.5110565968258645
2019-04-12,58.3,27157000000.0,79051000000.0,51894000000.0,43585080000.0,1.6049298523400966
2019-04-15,57.78,27157000000.0,79051000000.0,51894000000.0,43196328000.0,1.5906148690945245
2019-04-16,58.5,27157000000.0,79051000000.0,51894000000.0,43734600000.0,1.6104356151268548
2019-04-17,58.32,27157000000.0,79051000000.0,51894000000.0,43600032000.0,1.6054804286187723
2019-04-18,57.77,27157000000.0,79051000000.0,51894000000.0,43188852000.0,1.5903395809551866
2019-04-22,57.89,27157000000.0,79051000000.0,51894000000.0,43278564000.0,1.5936430386272415
2019-04-23,57.64,27157000000.0,79051000000.0,51894000000.0,43091664000.0,1.5867608351437934
2019-04-24,55.98,27157000000.0,79051000000.0,51894000000.0,41850648000.0,1.5410630040136981
2019-04-25,55.33,27157000000.0,79051000000.0,51894000000.0,41364708000.0,1.5231692749567332
