date,VTR,VTR_SHE,PB Ratio
2002-07-25,,-95375000.0,
2002-09-30,1061534160.0,-95375000.0,-11.130109148099606
2002-10-01,1084415040.0,-95375000.0,-11.370013525557011
2002-10-02,1063614240.0,-95375000.0,-11.15191863695937
2002-10-03,1049053680.0,-95375000.0,-10.999252214941022
2002-10-04,1037959920.0,-95375000.0,-10.882934941022281
2002-10-07,1029639600.0,-95375000.0,-10.795696985583223
2002-10-08,1028252880.0,-95375000.0,-10.781157326343381
2002-10-09,1005372000.0,-95375000.0,-10.541252948885976
2002-10-10,1013692320.0,-95375000.0,-10.628490904325032
2002-10-11,866700000.0,-95375000.0,-9.087287024901704
2002-10-14,801524160.0,-95375000.0,-8.403923040629095
2002-10-15,835498800.0,-95375000.0,-8.760144692005243
2002-10-16,851446080.0,-95375000.0,-8.927350773263434
2002-10-17,859073040.0,-95375000.0,-9.007318899082568
2002-10-18,838965600.0,-95375000.0,-8.79649384010485
2002-10-21,831338640.0,-95375000.0,-8.716525714285714
2002-10-22,835498800.0,-95375000.0,-8.760144692005243
2002-10-23,859766400.0,-95375000.0,-9.01458872870249
2002-10-24,862539840.0,-95375000.0,-9.043668047182175
2002-10-25,868780080.0,-95375000.0,-9.109096513761468
2002-10-28,859073040.0,-95375000.0,-9.007318899082568
2002-10-29,870860160.0,-125625000.0,-6.932220179104478
2002-10-30,881953920.0,-125625000.0,-7.02052871641791
2002-10-31,902754720.0,-125625000.0,-7.186107223880597
2002-11-01,886114080.0,-125625000.0,-7.053644417910448
2002-11-04,926328960.0,-125625000.0,-7.373762865671642
2002-11-05,936036000.0,-125625000.0,-7.451032835820896
2002-11-06,959610240.0,-125625000.0,-7.63868847761194
2002-11-07,965850480.0,-125625000.0,-7.6883620298507465
2002-11-08,938116080.0,-125625000.0,-7.467590686567164
2002-11-11,927715680.0,-125625000.0,-7.384801432835821
2002-11-12,946436400.0,-125625000.0,-7.533822089552239
2002-11-13,957530160.0,-125625000.0,-7.622130626865672
2002-11-14,988731360.0,-125625000.0,-7.870498388059701
2002-11-15,982491120.0,-125625000.0,-7.820824835820895
2002-11-18,965157120.0,-125625000.0,-7.682842746268657
2002-11-19,961690320.0,-125625000.0,-7.655246328358209
2002-11-20,989424720.0,-125625000.0,-7.876017671641791
2002-11-21,997745040.0,-125625000.0,-7.942249074626866
2002-11-22,985957920.0,-125625000.0,-7.848421253731344
2002-11-25,994278240.0,-125625000.0,-7.9146526567164175
2002-11-26,988038000.0,-125625000.0,-7.864979104477612
2002-11-27,989424720.0,-125625000.0,-7.876017671641791
2002-11-29,989424720.0,-125625000.0,-7.876017671641791
2002-12-02,993584880.0,-125625000.0,-7.9091333731343285
2002-12-03,949903200.0,-125625000.0,-7.561418507462687
2002-12-04,961690320.0,-125625000.0,-7.655246328358209
2002-12-05,954756720.0,-125625000.0,-7.600053492537313
2002-12-06,958223520.0,-125625000.0,-7.6276499104477615
2002-12-09,940889520.0,-125625000.0,-7.489667820895522
2002-12-10,932569200.0,-125625000.0,-7.423436417910448
2002-12-11,933955920.0,-125625000.0,-7.434474985074627
2002-12-12,933955920.0,-125625000.0,-7.434474985074627
2002-12-13,905528160.0,-125625000.0,-7.208184358208955
2002-12-16,886807440.0,-125625000.0,-7.059163701492538
