date,close price,PFG_SHE,PFG_TA,PFG_TL,market cap,PB Ratio
2001-10-23,21.0,,,,,
2001-10-24,22.15,,,,,
2001-10-25,21.95,,,,,
2001-10-26,21.5,,,,,
2001-10-29,21.2,,,,,
2001-10-30,22.04,,,,,
2001-10-31,22.5,,,,,
2001-11-01,21.95,,,,,
2001-11-02,22.18,,,,,
2001-11-05,22.0,,,,,
2001-11-06,22.6,,,,,
2001-11-07,21.85,,,,,
2001-11-08,21.82,,,,,
2001-11-09,21.6,,,,,
2001-11-12,21.98,,,,,
2001-11-13,21.85,,,,,
2001-11-14,21.75,,,,,
2001-11-15,21.93,,,,,
2001-11-16,22.25,,,,,
2001-11-19,22.33,,,,,
2001-11-20,22.72,,,,,
2001-11-21,22.87,,,,,
2001-11-23,22.38,,,,,
2001-11-26,22.33,,,,,
2001-11-27,22.4,,,,,
2001-11-28,22.8,,,,,
2001-11-29,22.88,,,,,
2001-11-30,22.95,,,,,
2001-12-03,22.95,,,,,
2001-12-04,22.95,,,,,
2001-12-05,23.2,,,,,
2001-12-06,23.45,,,,,
2001-12-07,23.45,,,,,
2001-12-10,23.35,,,,,
2001-12-11,23.49,,,,,
2001-12-12,23.65,,,,,
2001-12-13,23.48,,,,,
2001-12-14,24.08,,,,,
2001-12-17,23.69,,,,,
2001-12-18,23.69,,,,,
2001-12-19,23.51,,,,,
2001-12-20,23.58,,,,,
2001-12-21,23.37,,,,,
2001-12-24,23.4,,,,,
2001-12-26,23.3,,,,,
2001-12-27,23.55,,,,,
2001-12-28,23.52,,,,,
2001-12-31,24.0,,,,,
2002-01-02,23.83,,,,,
2002-01-03,23.75,,,,,
2002-01-04,23.95,,,,,
2002-01-07,23.85,,,,,
2002-01-08,24.08,,,,,
2002-01-09,23.9,,,,,
2002-01-10,24.2,,,,,
2002-01-11,24.0,,,,,
2002-01-14,23.98,,,,,
2002-01-15,23.8,,,,,
2002-01-16,23.7,,,,,
2002-01-17,24.18,,,,,
2002-01-18,24.2,,,,,
2002-01-22,24.48,,,,,
2002-01-23,23.8,,,,,
2002-01-24,24.15,,,,,
2002-01-25,25.64,,,,,
2002-01-28,26.0,,,,,
2002-01-29,25.97,,,,,
2002-01-30,25.5,,,,,
2002-01-31,25.45,,,,,
2002-02-01,24.4,,,,,
2002-02-04,23.75,,,,,
2002-02-05,23.25,,,,,
2002-02-06,23.92,,,,,
2002-02-07,24.0,,,,,
2002-02-08,24.79,,,,,
2002-02-11,24.36,,,,,
2002-02-12,24.8,,,,,
2002-02-13,24.75,,,,,
2002-02-14,24.36,,,,,
2002-02-15,24.05,,,,,
2002-02-19,23.58,,,,,
2002-02-20,23.55,,,,,
2002-02-21,23.2,,,,,
2002-02-22,22.5,,,,,
2002-02-25,23.19,,,,,
2002-02-26,23.7,,,,,
2002-02-27,24.44,,,,,
2002-02-28,24.36,,,,,
2002-03-01,24.8,,,,,
2002-03-04,25.27,,,,,
2002-03-05,25.05,,,,,
2002-03-06,25.0,,,,,
2002-03-07,25.2,,,,,
2002-03-08,25.05,,,,,
2002-03-11,24.95,,,,,
2002-03-12,25.0,,,,,
2002-03-13,25.02,,,,,
2002-03-14,25.42,,,,,
2002-03-15,25.5,,,,,
2002-03-18,25.5,,,,,
2002-03-19,25.52,,,,,
2002-03-20,25.8,,,,,
2002-03-21,25.78,,,,,
2002-03-22,25.8,,,,,
2002-03-25,25.45,,,,,
2002-03-26,25.5,,,,,
2002-03-27,25.67,,,,,
2002-03-28,25.3,,,,,
2002-04-01,25.33,,,,,
2002-04-02,25.52,,,,,
2002-04-03,25.45,,,,,
2002-04-04,26.1,,,,,
2002-04-05,27.02,,,,,
2002-04-08,27.44,,,,,
2002-04-09,27.62,,,,,
2002-04-10,27.78,,,,,
2002-04-11,27.0,,,,,
2002-04-12,27.3,,,,,
2002-04-15,26.7,,,,,
2002-04-16,28.0,,,,,
2002-04-17,28.25,,,,,
2002-04-18,28.38,,,,,
2002-04-19,28.16,,,,,
2002-04-22,28.49,,,,,
2002-04-23,27.75,,,,,
2002-04-24,27.8,,,,,
2002-04-25,27.1,,,,,
2002-04-26,27.3,,,,,
2002-04-29,27.48,,,,,
2002-04-30,27.8,,,,,
2002-05-01,27.72,,,,,
2002-05-02,27.9,,,,,
2002-05-03,27.04,,,,,
2002-05-06,27.25,,,,,
2002-05-07,26.73,,,,,
2002-05-08,27.7,,,,,
2002-05-09,27.97,,,,,
2002-05-10,27.86,,,,,
2002-05-13,28.1,,,,,
2002-05-14,28.3,,,,,
2002-05-15,28.42,,,,,
