date,close price,D_SHE,D_TA,D_TL,market cap,PB Ratio
,,4382000000.0,10991000000.0,6609000000.0,,
1980-03-17,3.17,4382000000.0,10991000000.0,6609000000.0,958608000.0,0.21876038338658146
1980-03-18,3.25,4382000000.0,10991000000.0,6609000000.0,982800000.0,0.2242811501597444
1980-03-19,3.25,4382000000.0,10991000000.0,6609000000.0,982800000.0,0.2242811501597444
1980-03-20,3.29,4382000000.0,10991000000.0,6609000000.0,994896000.0,0.2270415335463259
1980-03-21,3.29,4382000000.0,10991000000.0,6609000000.0,994896000.0,0.2270415335463259
1980-03-24,3.21,4382000000.0,10991000000.0,6609000000.0,970704000.0,0.22152076677316293
1980-03-25,3.21,4382000000.0,10991000000.0,6609000000.0,970704000.0,0.22152076677316293
1980-03-26,3.25,4382000000.0,10991000000.0,6609000000.0,982800000.0,0.2242811501597444
1980-03-27,3.13,4382000000.0,10991000000.0,6609000000.0,946512000.0,0.216
1980-03-28,3.17,4382000000.0,10991000000.0,6609000000.0,958608000.0,0.21876038338658146
1980-03-31,3.25,4382000000.0,10991000000.0,6609000000.0,982800000.0,0.2242811501597444
1980-04-01,3.42,4382000000.0,10991000000.0,6609000000.0,1034208000.0,0.23601277955271566
1980-04-02,3.42,4382000000.0,10991000000.0,6609000000.0,1034208000.0,0.23601277955271566
1980-04-03,3.5,4382000000.0,10991000000.0,6609000000.0,1058400000.0,0.2415335463258786
1980-04-07,3.42,4382000000.0,10991000000.0,6609000000.0,1034208000.0,0.23601277955271566
1980-04-08,3.38,4382000000.0,10991000000.0,6609000000.0,1022112000.0,0.2332523961661342
1980-04-09,3.5,4382000000.0,10991000000.0,6609000000.0,1058400000.0,0.2415335463258786
1980-04-10,3.63,4382000000.0,10991000000.0,6609000000.0,1097712000.0,0.25050479233226836
1980-04-11,3.67,4382000000.0,10991000000.0,6609000000.0,1109808000.0,0.2532651757188498
1980-04-14,3.63,4382000000.0,10991000000.0,6609000000.0,1097712000.0,0.25050479233226836
