date,close price,HLT_SHE,HLT_TA,HLT_TL,market cap,PB Ratio
,,2301000000.0,27066000000.0,24765000000.0,,
2013-12-12,44.12,2301000000.0,27066000000.0,24765000000.0,10857932000.0,4.718788352890048
2013-12-13,45.35,2301000000.0,27066000000.0,24765000000.0,11160635000.0,4.850341156019122
2013-12-16,44.16,2301000000.0,27066000000.0,24765000000.0,10867776000.0,4.723066492829204
2013-12-17,44.75,2301000000.0,27066000000.0,24765000000.0,11012975000.0,4.786169056931769
2013-12-18,44.8,2301000000.0,27066000000.0,24765000000.0,11025280000.0,4.791516731855715
2013-12-19,45.72,2301000000.0,27066000000.0,24765000000.0,11251692000.0,4.889913950456323
2013-12-20,45.0,2301000000.0,27066000000.0,24765000000.0,11074500000.0,4.8129074315514995
2013-12-23,44.24,2301000000.0,27066000000.0,24765000000.0,10887464000.0,4.731622772707518
2013-12-24,44.14,2301000000.0,27066000000.0,24765000000.0,10862854000.0,4.720927422859626
2013-12-26,44.53,2301000000.0,27066000000.0,24765000000.0,10958833000.0,4.762639287266406
2013-12-27,44.32,2301000000.0,27066000000.0,24765000000.0,10907152000.0,4.740179052585832
2013-12-30,44.92,2301000000.0,27066000000.0,24765000000.0,11054812000.0,4.804351151673186
2013-12-31,45.66,2301000000.0,27066000000.0,24765000000.0,11236926000.0,4.883496740547588
2014-01-02,44.86,2301000000.0,27066000000.0,24765000000.0,11040046000.0,4.79793394176445
2014-01-03,45.16,2301000000.0,27066000000.0,24765000000.0,11113876000.0,4.830019991308127
2014-01-06,45.14,2301000000.0,27066000000.0,24765000000.0,11108954000.0,4.827880921338548
2014-01-07,45.14,2301000000.0,27066000000.0,24765000000.0,11108954000.0,4.827880921338548
2014-01-08,45.21,2301000000.0,27066000000.0,24765000000.0,11126181000.0,4.835367666232073
2014-01-09,44.88,2301000000.0,27066000000.0,24765000000.0,11044968000.0,4.800073011734029
2014-01-10,44.51,2301000000.0,27066000000.0,24765000000.0,10953911000.0,4.760500217296827
