date,WHR,WHR_SHE,PB Ratio
2000-08-14,,1853000000.0,
2002-12-31,3603.18,1853000000.0,1.94451160280626e-06
2003-01-02,3741.87,1853000000.0,2.0193577981651377e-06
2003-01-03,3674.25,1853000000.0,1.9828656233135458e-06
2003-01-06,3789.48,1853000000.0,2.0450512682137076e-06
2003-01-07,3727.38,1853000000.0,2.011538046411225e-06
2003-01-08,3734.2799999999997,1853000000.0,2.015261737722612e-06
2003-01-09,3822.6,1853000000.0,2.0629249865083646e-06
2003-01-10,3798.45,1853000000.0,2.0498920669185105e-06
2003-01-13,3941.9700000000003,1853000000.0,2.127344846195359e-06
2003-01-14,3898.5,1853000000.0,2.1038855909336212e-06
2003-01-15,3895.05,1853000000.0,2.1020237452779276e-06
2003-01-16,3939.9,1853000000.0,2.126227738801943e-06
2003-01-17,3846.75,1853000000.0,2.075957906098219e-06
2003-01-21,3803.9700000000003,1853000000.0,2.0528710199676202e-06
2003-01-22,3692.88,1853000000.0,1.9929195898542906e-06
2003-01-23,3684.6,1853000000.0,1.988451160280626e-06
2003-01-24,3590.7599999999998,1853000000.0,1.9378089584457634e-06
2003-01-27,3520.38,1853000000.0,1.8998273070696169e-06
2003-01-28,3556.95,1853000000.0,1.9195628710199674e-06
2003-01-29,3592.83,1853000000.0,1.93892606583918e-06
2003-01-30,3506.58,1853000000.0,1.892379924446843e-06
2003-01-31,3585.93,1853000000.0,1.9352023745277926e-06
2003-02-03,3530.04,1853000000.0,1.9050404749055585e-06
2003-02-04,3463.1099999999997,1853000000.0,1.868920669185105e-06
2003-02-05,3594.9,1853000000.0,1.940043173232596e-06
2003-02-06,3576.96,1853000000.0,1.9303615758229897e-06
2003-02-07,3490.71,1853000000.0,1.883815434430653e-06
2003-02-10,3541.77,1853000000.0,1.9113707501349163e-06
2003-02-11,3527.9700000000003,1853000000.0,1.9039233675121426e-06
2003-02-12,3447.2400000000002,1853000000.0,1.8603561791689155e-06
2003-02-13,3403.77,1853000000.0,1.8368969239071775e-06
2003-02-14,3478.98,1853000000.0,1.8774851592012951e-06
2003-02-18,3558.33,1853000000.0,1.920307609282245e-06
2003-02-19,3514.8599999999997,1853000000.0,1.8968483540205072e-06
2003-02-20,3482.43,1853000000.0,1.8793470048569885e-06
2003-02-21,3523.1400000000003,1853000000.0,1.9013167835941717e-06
2003-02-24,3412.7400000000002,1853000000.0,1.8417377226119808e-06
2003-02-25,3422.4,1853000000.0,1.8469508904479222e-06
2003-02-26,3373.41,1853000000.0,1.820512682137075e-06
2003-02-27,3387.9,1853000000.0,1.8283324338909876e-06
2003-02-28,3398.94,1853000000.0,1.8342903399892067e-06
2003-03-03,3356.16,1853000000.0,1.8112034538586075e-06
2003-03-04,3204.3599999999997,1853000000.0,1.7292822450080949e-06
2003-03-05,3240.93,1853000000.0,1.7490178089584456e-06
2003-03-06,3212.6400000000003,1853000000.0,1.7337506745817594e-06
2003-03-07,3240.93,1853000000.0,1.7490178089584456e-06
2003-03-10,3134.67,1853000000.0,1.691672962763087e-06
2003-03-11,2960.79,1853000000.0,1.5978359417161359e-06
2003-03-12,3152.6099999999997,1853000000.0,1.7013545601726927e-06
2003-03-13,3334.08,1853000000.0,1.7992876416621695e-06
2003-03-14,3319.59,739000000.0,4.4920027063599465e-06
2003-03-17,3441.0299999999997,739000000.0,4.656332882273342e-06
2003-03-18,3438.96,739000000.0,4.653531799729364e-06
2003-03-19,3492.09,739000000.0,4.7254262516914755e-06
2003-03-20,3550.7400000000002,739000000.0,4.804790257104195e-06
2003-03-21,3677.0099999999998,739000000.0,4.975656292286874e-06
