date,close price,T_SHE,T_TA,T_TL,market cap,PB Ratio
,,8169000000.0,20734000000.0,12565000000.0,,
1983-11-21,5.14,8169000000.0,20734000000.0,12565000000.0,,
1983-11-22,5.09,8169000000.0,20734000000.0,12565000000.0,,
1983-11-23,5.07,8169000000.0,20734000000.0,12565000000.0,,
1983-11-25,5.08,8169000000.0,20734000000.0,12565000000.0,,
1983-11-28,5.03,8169000000.0,20734000000.0,12565000000.0,,
1983-11-29,4.95,8169000000.0,20734000000.0,12565000000.0,,
1983-11-30,4.92,8169000000.0,20734000000.0,12565000000.0,,
1983-12-01,4.97,8169000000.0,20734000000.0,12565000000.0,,
1983-12-02,4.95,8169000000.0,20734000000.0,12565000000.0,,
1983-12-05,4.93,8169000000.0,20734000000.0,12565000000.0,,
1983-12-06,4.91,8169000000.0,20734000000.0,12565000000.0,,
1983-12-07,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-08,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-09,4.85,8169000000.0,20734000000.0,12565000000.0,,
1983-12-12,4.86,8169000000.0,20734000000.0,12565000000.0,,
1983-12-13,4.91,8169000000.0,20734000000.0,12565000000.0,,
1983-12-14,4.92,8169000000.0,20734000000.0,12565000000.0,,
1983-12-15,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-16,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-19,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-20,4.91,8169000000.0,20734000000.0,12565000000.0,,
1983-12-21,4.92,8169000000.0,20734000000.0,12565000000.0,,
1983-12-22,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-23,4.9,8169000000.0,20734000000.0,12565000000.0,,
1983-12-27,4.89,8169000000.0,20734000000.0,12565000000.0,,
1983-12-28,4.94,8169000000.0,20734000000.0,12565000000.0,,
1983-12-29,4.93,8169000000.0,20734000000.0,12565000000.0,,
1983-12-30,4.91,8169000000.0,20734000000.0,12565000000.0,,
1984-01-03,5.08,8169000000.0,20734000000.0,12565000000.0,,
1984-01-04,5.33,8169000000.0,20734000000.0,12565000000.0,,
1984-01-05,5.31,8169000000.0,20734000000.0,12565000000.0,,
1984-01-06,5.19,8169000000.0,20734000000.0,12565000000.0,,
1984-01-09,5.17,8169000000.0,20734000000.0,12565000000.0,,
1984-01-10,5.17,8169000000.0,20734000000.0,12565000000.0,,
1984-01-11,5.2,8169000000.0,20734000000.0,12565000000.0,,
1984-01-12,5.21,8169000000.0,20734000000.0,12565000000.0,,
1984-01-13,5.29,8169000000.0,20734000000.0,12565000000.0,,
1984-01-16,5.4,8169000000.0,20734000000.0,12565000000.0,,
1984-01-17,5.42,8169000000.0,20734000000.0,12565000000.0,,
1984-01-18,5.49,8169000000.0,20734000000.0,12565000000.0,,
1984-01-19,5.43,8169000000.0,20734000000.0,12565000000.0,,
1984-01-20,5.43,8169000000.0,20734000000.0,12565000000.0,,
1984-01-23,5.42,8169000000.0,20734000000.0,12565000000.0,,
1984-01-24,5.4,8169000000.0,20734000000.0,12565000000.0,,
1984-01-25,5.31,8169000000.0,20734000000.0,12565000000.0,,
1984-01-26,5.21,8169000000.0,20734000000.0,12565000000.0,,
1984-01-27,5.2,8169000000.0,20734000000.0,12565000000.0,,
1984-01-30,5.28,8169000000.0,20734000000.0,12565000000.0,,
1984-01-31,5.24,8169000000.0,20734000000.0,12565000000.0,,
1984-02-01,5.21,8169000000.0,20734000000.0,12565000000.0,,
1984-02-02,5.18,8169000000.0,20734000000.0,12565000000.0,,
1984-02-03,5.19,8169000000.0,20734000000.0,12565000000.0,,
1984-02-06,5.14,8169000000.0,20734000000.0,12565000000.0,,
1984-02-07,5.11,8169000000.0,20734000000.0,12565000000.0,,
1984-02-08,5.09,8169000000.0,20734000000.0,12565000000.0,,
