date,WFC,WFC_SHE,PB Ratio
2002-12-04,38021632508.01,30074000000.0,1.2642692195255039
2002-12-05,37432403592.69,30074000000.0,1.2446765841820178
2002-12-06,37694283110.61,30074000000.0,1.253384422112456
2002-12-09,37514240942.04,30074000000.0,1.2473977835352796
2002-12-10,38332614435.54,30074000000.0,1.2746097770678992
2002-12-11,38218042146.450005,30074000000.0,1.2708000979733327
2002-12-12,37923427688.79,30074000000.0,1.2610037803015894
2002-12-13,37645180701.0,30074000000.0,1.2517517025004987
2002-12-16,38463554194.5,30074000000.0,1.2789636960331183
2002-12-17,38316246965.67,30074000000.0,1.2740655371972467
2002-12-18,37874325279.18,30074000000.0,1.2593710606896322
2002-12-19,37776120459.96,30074000000.0,1.2561056214657178
2002-12-20,38529024073.979996,30074000000.0,1.2811406555157276
2002-12-23,38512656604.11,30074000000.0,1.2805964156450755
2002-12-24,38398084315.020004,30074000000.0,1.2767867365505088
2002-12-26,38332614435.54,30074000000.0,1.2746097770678992
2002-12-27,37890692749.049995,30074000000.0,1.2599153005602846
2002-12-30,38529024073.979996,30074000000.0,1.2811406555157276
2002-12-31,39724499989.35,30074000000.0,1.3208917998719825
2003-01-02,41182590898.049995,30074000000.0,1.3693752376820507
2003-01-03,40606136352.75,30074000000.0,1.3502073669199308
2003-01-06,41402999988.9,30074000000.0,1.376704129444038
2003-01-07,41148681807.15,30074000000.0,1.3682477158725146
2003-01-08,40555272716.4,30074000000.0,1.348516084205626
2003-01-09,40945227261.75,30074000000.0,1.3614825850152956
2003-01-10,40758727261.799995,30074000000.0,1.3552812150628448
2003-01-13,40979136352.65,30074000000.0,1.3626101068248322
2003-01-14,41216499988.95,30074000000.0,1.3705027594915873
2003-01-15,40419636352.8,30074000000.0,1.3440059969674802
2003-01-16,39843181807.5,30074000000.0,1.3248381262053601
2003-01-17,40080545443.8,30074000000.0,1.3327307788721154
2003-01-21,39944909080.2,30074000000.0,1.3282206916339694
2003-01-22,39860136352.950005,30074000000.0,1.3254018871101285
2003-01-23,40470499989.15,30074000000.0,1.345697279681785
2003-01-24,39894045443.85,30074000000.0,1.3265294089196649
2003-01-27,39639727262.1,30074000000.0,1.3180729953481412
2003-01-28,39504090898.5,30074000000.0,1.3135629081099953
2003-01-29,39724499989.35,30074000000.0,1.3208917998719825
2003-01-30,39283681807.65,30074000000.0,1.3062340163480084
2003-01-31,40148363625.6,30074000000.0,1.3349858224911884
2003-02-03,40470499989.15,30074000000.0,1.345697279681785
2003-02-04,39860136352.950005,30074000000.0,1.3254018871101285
2003-02-05,38418999989.7,30074000000.0,1.277482210204828
2003-02-06,38876772716.85,30074000000.0,1.2927037546335705
2003-02-07,38537681807.85,30074000000.0,1.2814285365382057
2003-02-10,38842863625.95,30074000000.0,1.2915762328240339
2003-02-11,38656363626.0,30074000000.0,1.2853748628715835
2003-02-12,38435954535.15,30074000000.0,1.2780459711095964
2003-02-13,38656363626.0,30074000000.0,1.2853748628715835
2003-02-14,39283681807.65,30074000000.0,1.3062340163480084
2003-02-18,39605818171.2,30074000000.0,1.3169454735386046
2003-02-19,39351499989.450005,30074000000.0,1.3084890599670813
2003-02-20,39063272716.799995,30074000000.0,1.298905124586021
2003-02-21,39351499989.450005,30074000000.0,1.3084890599670813
2003-02-24,38351181807.9,30074000000.0,1.275227166585755
2003-02-25,38656363626.0,30074000000.0,1.2853748628715835
2003-02-26,38215545444.299995,30074000000.0,1.270717079347609
2003-02-27,38554636353.299995,30074000000.0,1.2819922974429738
2003-02-28,38435954535.15,30074000000.0,1.2780459711095964
2003-03-03,38435954535.15,30074000000.0,1.2780459711095964
2003-03-04,38147727262.5,30074000000.0,1.2684620357285363
2003-03-05,38690272716.9,30074000000.0,1.2865023846811199
2003-03-06,38164681807.950005,30074000000.0,1.2690257966333047
2003-03-07,38622454535.1,30074000000.0,1.284247341062047
2003-03-10,37537363626.3,30074000000.0,1.2481666431568799
2003-03-11,37588227262.65,30074000000.0,1.2498579258711844
2003-03-12,37435636353.6,30074000000.0,1.2447840777282702
2003-03-13,38791999989.6,30074000000.0,1.2898849501097294
2003-03-14,38791999989.6,57794000000.0,0.6712115442710316
2003-03-17,39707545443.9,57794000000.0,0.6870530754732326
2003-03-18,39571909080.3,57794000000.0,0.6847061819617954
2003-03-19,39910999989.299995,57794000000.0,0.6905734157403882
2003-03-20,39707545443.9,57794000000.0,0.6870530754732326
2003-03-21,40063590898.35,57794000000.0,0.693213670940755
2003-03-24,38791999989.6,57794000000.0,0.6712115442710316
2003-03-25,39385409080.35,57794000000.0,0.6814792033835692
2003-03-26,38910681807.75,57794000000.0,0.6732650760935391
2003-03-27,38639409080.549995,57794000000.0,0.6685712890706647
2003-03-28,38707227262.35,57794000000.0,0.6697447358263834
2003-03-31,38147727262.5,57794000000.0,0.6600638000917051
2003-04-01,39237949433.0,57794000000.0,0.6789277335536561
2003-04-02,40119320219.4,57794000000.0,0.6941779461431983
2003-04-03,39661685388.0,57794000000.0,0.6862595665293976
2003-04-04,39898977522.799995,57794000000.0,0.6903653929958127
2003-04-07,39695584264.4,57794000000.0,0.6868461131674568
2003-04-08,40221016848.6,57794000000.0,0.6959375860573762
2003-04-09,39305747185.8,57794000000.0,0.6801008268297748
2003-04-10,39763382017.200005,57794000000.0,0.6880192064435755
2003-04-11,39187101118.4,57794000000.0,0.6780479135965671
2003-04-14,39661685388.0,57794000000.0,0.6862595665293976
2003-04-15,40221016848.6,57794000000.0,0.6959375860573762
2003-04-16,39610837073.4,57794000000.0,0.6853797465723086
2003-04-17,40254915725.0,57794000000.0,0.6965241326954356
2003-04-21,39797280893.6,57794000000.0,0.6886057530816347
2003-04-22,40543056174.4,57794000000.0,0.7015097791189397
2003-04-23,40814247185.6,57794000000.0,0.7062021522234142
2003-04-24,40322713477.799995,57794000000.0,0.697697225971554
2003-04-25,40187117972.200005,57794000000.0,0.695351039419317
2003-04-28,40627803365.4,57794000000.0,0.702976145714088
2003-04-29,40797297747.4,57794000000.0,0.7059088789043846
2003-04-30,40898994376.6,57794000000.0,0.7076685188185624
