date,close price,AON_SHE,AON_TA,AON_TL,market cap,PB Ratio
,,1372000000.0,8575000000.0,7203000000.0,,
1989-09-19,10.19,1372000000.0,8575000000.0,7203000000.0,,
1989-09-20,10.33,1372000000.0,8575000000.0,7203000000.0,,
1989-09-21,10.52,1372000000.0,8575000000.0,7203000000.0,,
1989-09-22,10.37,1372000000.0,8575000000.0,7203000000.0,,
1989-09-25,10.22,1372000000.0,8575000000.0,7203000000.0,,
1989-09-26,10.19,1372000000.0,8575000000.0,7203000000.0,,
1989-09-27,10.04,1372000000.0,8575000000.0,7203000000.0,,
1989-09-28,10.04,1372000000.0,8575000000.0,7203000000.0,,
1989-09-29,10.15,1372000000.0,8575000000.0,7203000000.0,,
1989-10-02,10.26,1372000000.0,8575000000.0,7203000000.0,,
1989-10-03,10.63,1372000000.0,8575000000.0,7203000000.0,,
1989-10-04,10.56,1372000000.0,8575000000.0,7203000000.0,,
1989-10-05,10.59,1372000000.0,8575000000.0,7203000000.0,,
1989-10-06,10.74,1372000000.0,8575000000.0,7203000000.0,,
1989-10-09,10.63,1372000000.0,8575000000.0,7203000000.0,,
1989-10-10,10.67,1372000000.0,8575000000.0,7203000000.0,,
1989-10-11,10.67,1372000000.0,8575000000.0,7203000000.0,,
1989-10-12,10.56,1372000000.0,8575000000.0,7203000000.0,,
1989-10-13,10.3,1372000000.0,8575000000.0,7203000000.0,,
1989-10-16,10.07,1372000000.0,8575000000.0,7203000000.0,,
1989-10-17,10.0,1372000000.0,8575000000.0,7203000000.0,,
1989-10-18,10.26,1372000000.0,8575000000.0,7203000000.0,,
1989-10-19,10.67,1372000000.0,8575000000.0,7203000000.0,,
1989-10-20,10.85,1372000000.0,8575000000.0,7203000000.0,,
1989-10-23,10.93,1372000000.0,8575000000.0,7203000000.0,,
1989-10-24,10.78,1372000000.0,8575000000.0,7203000000.0,,
1989-10-25,10.96,1372000000.0,8575000000.0,7203000000.0,,
1989-10-26,10.89,1372000000.0,8575000000.0,7203000000.0,,
1989-10-27,10.74,1372000000.0,8575000000.0,7203000000.0,,
1989-10-30,10.63,1372000000.0,8575000000.0,7203000000.0,,
1989-10-31,10.59,1372000000.0,8575000000.0,7203000000.0,,
1989-11-01,10.67,1372000000.0,8575000000.0,7203000000.0,,
1989-11-02,10.67,1372000000.0,8575000000.0,7203000000.0,,
1989-11-03,10.7,1372000000.0,8575000000.0,7203000000.0,,
1989-11-06,10.81,1372000000.0,8575000000.0,7203000000.0,,
1989-11-07,10.85,1372000000.0,8575000000.0,7203000000.0,,
1989-11-08,10.96,1372000000.0,8575000000.0,7203000000.0,,
1989-11-09,10.96,1372000000.0,8575000000.0,7203000000.0,,
1989-11-10,11.07,1372000000.0,8575000000.0,7203000000.0,,
1989-11-13,11.26,1372000000.0,8575000000.0,7203000000.0,,
1989-11-14,11.3,1372000000.0,8575000000.0,7203000000.0,,
1989-11-15,11.41,1372000000.0,8575000000.0,7203000000.0,,
1989-11-16,11.59,1372000000.0,8575000000.0,7203000000.0,,
1989-11-17,11.56,1372000000.0,8575000000.0,7203000000.0,,
1989-11-20,11.41,1372000000.0,8575000000.0,7203000000.0,,
