date,LLY,LLY_SHE,PB Ratio
2002-04-10,80491125000.0,0.0,inf
2002-04-11,79804725000.0,0.0,inf
2002-04-12,78742950000.0,0.0,inf
2002-04-15,80652000000.0,0.0,inf
2002-04-16,79482975000.0,0.0,inf
2002-04-17,78603525000.0,0.0,inf
2002-04-18,79536600000.0,0.0,inf
2002-04-19,79193400000.0,0.0,inf
2002-04-22,78732225000.0,0.0,inf
2002-04-23,77112750000.0,0.0,inf
2002-04-24,74957025000.0,0.0,inf
2002-04-25,75504000000.0,0.0,inf
2002-04-26,75096450000.0,0.0,inf
2002-04-29,73251750000.0,0.0,inf
2002-04-30,70838625000.0,0.0,inf
2002-05-01,72072000000.0,0.0,inf
2002-05-02,72930000000.0,0.0,inf
2002-05-03,71750250000.0,0.0,inf
2002-05-06,70323825000.0,0.0,inf
2002-05-07,69551625000.0,0.0,inf
2002-05-08,72254325000.0,0.0,inf
2002-05-09,69723225000.0,0.0,inf
2002-05-10,69401475000.0,0.0,inf
2002-05-13,69262050000.0,0.0,inf
2002-05-14,70463250000.0,0.0,inf
2002-05-15,68114475000.0,0.0,inf
2002-05-16,68007225000.0,0.0,inf
2002-05-17,69712500000.0,0.0,inf
2002-05-20,68640000000.0,0.0,inf
2002-05-21,68640000000.0,0.0,inf
2002-05-22,68811600000.0,0.0,inf
2002-05-23,69551625000.0,0.0,inf
2002-05-24,68436225000.0,0.0,inf
2002-05-28,68607825000.0,0.0,inf
2002-05-29,68961750000.0,0.0,inf
2002-05-30,69015375000.0,0.0,inf
2002-05-31,69390750000.0,0.0,inf
2002-06-03,68586375000.0,0.0,inf
2002-06-04,66559350000.0,0.0,inf
2002-06-05,67202850000.0,0.0,inf
2002-06-06,65830050000.0,0.0,inf
2002-06-07,65744250000.0,0.0,inf
2002-06-10,65754975000.0,0.0,inf
2002-06-11,64081875000.0,0.0,inf
2002-06-12,62741250000.0,0.0,inf
2002-06-13,64210575000.0,0.0,inf
2002-06-14,64832625000.0,0.0,inf
2002-06-17,66924000000.0,0.0,inf
2002-06-18,67181400000.0,0.0,inf
2002-06-19,65079300000.0,0.0,inf
2002-06-20,64510875000.0,0.0,inf
2002-06-21,62623275000.0,0.0,inf
2002-06-24,62129925000.0,0.0,inf
2002-06-25,61379175000.0,0.0,inf
2002-06-26,62322975000.0,0.0,inf
2002-06-27,64167675000.0,0.0,inf
2002-06-28,60489000000.0,0.0,inf
2002-07-01,57902163916.799995,0.0,inf
2002-07-02,56135803261.6,0.0,inf
2002-07-03,54380213098.200005,0.0,inf
2002-07-05,56275819655.0,0.0,inf
2002-07-08,56103491786.200005,0.0,inf
2002-07-09,53830918016.399994,0.0,inf
2002-07-10,51892229492.4,0.0,inf
2002-07-11,53529344246.0,0.0,inf
2002-07-12,54132491786.799995,0.0,inf
2002-07-15,55586508179.8,0.0,inf
2002-07-16,56383524573.0,0.0,inf
2002-07-17,54821803262.0,0.0,inf
2002-07-18,52279967197.2,0.0,inf
2002-07-19,51859918017.0,0.0,inf
2002-07-22,52430754082.4,0.0,inf
2002-07-23,52430754082.4,0.0,inf
2002-07-24,53260081951.0,0.0,inf
2002-07-25,55801918015.8,0.0,inf
2002-07-26,57837540966.0,0.0,inf
2002-07-29,61553360637.0,0.0,inf
2002-07-30,62738114735.0,0.0,inf
2002-07-31,62921213095.6,0.0,inf
2002-08-01,59237704900.0,0.0,inf
2002-08-02,58042180310.2,0.0,inf
2002-08-05,55791147524.0,0.0,inf
2002-08-06,56695868835.2,0.0,inf
2002-08-07,59797770473.600006,0.0,inf
2002-08-08,61187163915.8,0.0,inf
2002-08-09,61628754079.6,0.0,inf
2002-08-12,62468852440.0,0.0,inf
2002-08-13,60314754080.0,0.0,inf
2002-08-14,62727344243.200005,0.0,inf
2002-08-15,62285754079.4,0.0,inf
2002-08-16,61499508178.0,0.0,inf
2002-08-19,62231901620.4,0.0,inf
2002-08-20,61434885227.2,0.0,inf
2002-08-21,62598098341.6,0.0,inf
2002-08-22,66938606537.0,0.0,inf
2002-08-23,64159819652.6,0.0,inf
2002-08-26,64245983587.0,0.0,inf
2002-08-27,62996606538.200005,0.0,inf
2002-08-28,62468852440.0,0.0,inf
2002-08-29,61402573751.799995,0.0,inf
2002-08-30,62522704899.0,0.0,inf
2002-09-03,60120885227.6,0.0,inf
2002-09-04,62059573751.6,0.0,inf
2002-09-05,60530163916.0,0.0,inf
2002-09-06,60336295063.600006,0.0,inf
