date,MHK,MHK_SHE,PB Ratio
2002-08-27,3273543000.0,1868342000.0,1.7521112301709216
2002-08-28,3290912820.0,1868342000.0,1.7614081469024407
2002-08-29,3314295270.0,1868342000.0,1.7739232271179473
2002-08-30,3306946500.0,1868342000.0,1.7699899161930739
2002-09-03,3242143710.0,1868342000.0,1.7353052653100984
2002-09-04,3306946500.0,1868342000.0,1.7699899161930739
2002-09-05,3262853880.0,1868342000.0,1.7463900506438328
2002-09-06,3417178050.0,1868342000.0,1.8289895800661764
2002-09-09,3461938740.0,1868342000.0,1.8529470193358604
2002-09-10,3556136610.0,1868342000.0,1.9033649139183297
2002-09-11,3606241860.0,1868342000.0,1.930182942951558
2002-09-12,3425194890.0,1868342000.0,1.8332804647114929
2002-09-13,3407157000.0,1868342000.0,1.8236259742595307
2002-09-16,3461938740.0,1868342000.0,1.8529470193358604
2002-09-17,3353043330.0,1868342000.0,1.794662502903644
2002-09-18,3306946500.0,1868342000.0,1.7699899161930739
2002-09-19,3273543000.0,1868342000.0,1.7521112301709216
2002-09-20,3323648250.0,1868342000.0,1.77892925920415
2002-09-23,3189366180.0,1868342000.0,1.707056941395098
2002-09-24,3089823750.0,1868342000.0,1.653778457049084
2002-09-25,3202727580.0,1868342000.0,1.7142084158039588
2002-09-26,3216757050.0,1868342000.0,1.7217174639332629
2002-09-27,3343690350.0,1868342000.0,1.7896564708174414
2002-09-30,3317960550.0,1868342000.0,1.7758850092756038
2002-10-01,3336672110.0,1868342000.0,1.7859000707579233
2002-10-02,3284547050.0,1868342000.0,1.7580009709143187
2002-10-03,3211705620.0,1868342000.0,1.7190137672867174
2002-10-04,3106118960.0,1868342000.0,1.6625002060650567
2002-10-07,2981152470.0,1868342000.0,1.5956139025938505
2002-10-08,3084066050.0,1868342000.0,1.6506967407466084
2002-10-09,2982489010.0,1868342000.0,1.596329264128302
2002-10-10,3090748750.0,1868342000.0,1.6542735484188655
2002-10-11,3246455660.0,1868342000.0,1.7376131671824537
2002-10-14,3215715240.0,1868342000.0,1.7211598518900715
2002-10-15,3456960710.0,1868342000.0,1.8502826088585496
2002-10-16,3460302060.0,1868342000.0,1.852071012694678
2002-10-17,3577249310.0,1868342000.0,1.9146651469591756
2002-10-18,3646749390.0,1868342000.0,1.9518639467506484
2002-10-21,3722263900.0,1868342000.0,1.9922818734471526
2002-10-22,3589278170.0,1868342000.0,1.9211034007692382
2002-10-23,3506412690.0,1868342000.0,1.8767509856332514
2002-10-24,3499061720.0,1868342000.0,1.8728164971937686
2002-10-25,3541831000.0,1868342000.0,1.8957080662962134
2002-10-28,3509085770.0,1868342000.0,1.8781817087021542
2002-10-29,3511758850.0,1868342000.0,1.879612431771057
2002-10-30,3555196400.0,1868342000.0,1.9028616816407276
2002-10-31,3578585850.0,1868342000.0,1.915380508493627
2002-11-01,3541831000.0,1868342000.0,1.8957080662962134
2002-11-04,3602643570.0,1868342000.0,1.9282570161137522
2002-11-05,3621355130.0,1868342000.0,1.9382720775960718
2002-11-06,3629374370.0,1868342000.0,1.9425642468027802
2002-11-07,3587273360.0,1868342000.0,1.920030358467561
2002-11-08,3531806950.0,1897494000.0,1.8613007208454941
2002-11-11,3501066530.0,1897494000.0,1.8451001847700177
2002-11-12,3598633950.0,1897494000.0,1.8965192775313124
2002-11-13,3620686860.0,1897494000.0,1.9081414012376323
2002-11-14,3742980270.0,1897494000.0,1.9725913599726796
2002-11-15,3909379500.0,1897494000.0,2.0602855661203674
2002-11-18,3892672750.0,1897494000.0,2.0514809269489125
2002-11-19,3795773600.0,1897494000.0,2.000414019754476
2002-11-20,3875297730.0,1897494000.0,2.0423241022106
2002-11-21,3942124730.0,1897494000.0,2.077542658896418
2002-11-22,3900023720.0,1897494000.0,2.0553549681843526
2002-11-25,4039692150.0,1897494000.0,2.128961751657713
2002-11-26,3962172830.0,1897494000.0,2.0881082259021637
2002-11-27,4109860500.0,1897494000.0,2.165941236177822
2002-11-29,4117211470.0,1897494000.0,2.169815277413262
2002-12-02,4198740410.0,1897494000.0,2.21278191656996
2002-12-03,4026995020.0,1897494000.0,2.1222702258874073
2002-12-04,3984225740.0,1897494000.0,2.0997303496084836
2002-12-05,4069764300.0,1897494000.0,2.144810102166331
2002-12-06,3958831480.0,1897494000.0,2.0863472980678726
2002-12-09,3835869800.0,1897494000.0,2.021545153765967
2002-12-10,3811812080.0,1897494000.0,2.0088664733590726
2002-12-11,3875966000.0,1897494000.0,2.042676287777458
2002-12-12,3985562280.0,1897494000.0,2.1004347207422
2002-12-13,3889331400.0,1897494000.0,2.0497199991146218
2002-12-16,4090480670.0,1897494000.0,2.1557278547389345
2002-12-17,4104514340.0,1897494000.0,2.1631237516429564
2002-12-18,4018975780.0,1897494000.0,2.118043999085109
2002-12-19,3971528610.0,1897494000.0,2.093038823838178
2002-12-20,4028331560.0,1897494000.0,2.122974597021124
2002-12-23,3922744900.0,1897494000.0,2.0673292774575307
2002-12-24,3885990050.0,1897494000.0,2.0479590712803306
2002-12-26,3920071820.0,1897494000.0,2.065920535190098
2002-12-27,3825845750.0,1897494000.0,2.016262370263094
2002-12-30,3809139000.0,1897494000.0,2.0074577310916397
