date,close price,KMI_SHE,KMI_TA,KMI_TL,market cap,PB Ratio
,,0.0,0.0,0.0,,
2011-02-11,31.05,0.0,0.0,0.0,,
2011-02-14,30.7,0.0,0.0,0.0,,
2011-02-15,30.94,0.0,0.0,0.0,,
2011-02-16,30.72,0.0,0.0,0.0,,
2011-02-17,30.55,0.0,0.0,0.0,,
2011-02-18,31.37,0.0,0.0,0.0,,
2011-02-22,30.72,0.0,0.0,0.0,,
2011-02-23,30.42,0.0,0.0,0.0,,
2011-02-24,30.46,0.0,0.0,0.0,,
2011-02-25,30.5,0.0,0.0,0.0,,
2011-02-28,30.5,0.0,0.0,0.0,,
2011-03-01,30.45,0.0,0.0,0.0,,
2011-03-02,30.57,0.0,28908000000.0,16725000000.0,,
2011-03-03,30.77,0.0,28908000000.0,16725000000.0,,
2011-03-04,30.85,0.0,28908000000.0,16725000000.0,,
2011-03-07,30.9,0.0,28908000000.0,16725000000.0,,
2011-03-08,30.97,0.0,28908000000.0,16725000000.0,,
2011-03-09,30.75,0.0,28908000000.0,16725000000.0,,
2011-03-10,30.1,0.0,28908000000.0,16725000000.0,,
2011-03-11,30.1,0.0,28908000000.0,16725000000.0,,
2011-03-14,29.99,0.0,28908000000.0,16725000000.0,,
2011-03-15,29.88,0.0,28908000000.0,16725000000.0,,
2011-03-16,30.05,0.0,28908000000.0,16725000000.0,,
2011-03-17,30.15,0.0,28908000000.0,16725000000.0,,
2011-03-18,30.5,0.0,28908000000.0,16725000000.0,,
2011-03-21,30.82,0.0,28908000000.0,16725000000.0,,
2011-03-22,30.7,0.0,28908000000.0,16725000000.0,,
2011-03-23,30.02,0.0,28908000000.0,16725000000.0,,
2011-03-24,30.05,0.0,28908000000.0,16725000000.0,,
2011-03-25,29.52,0.0,28908000000.0,16725000000.0,,
2011-03-28,29.62,0.0,28908000000.0,16725000000.0,,
2011-03-29,29.79,0.0,28908000000.0,16725000000.0,,
2011-03-30,29.69,0.0,28908000000.0,16725000000.0,,
2011-03-31,29.64,0.0,28908000000.0,16725000000.0,26962838699.16,inf
2011-04-01,29.5,0.0,28908000000.0,16725000000.0,26835483860.5,inf
2011-04-04,29.44,0.0,28908000000.0,16725000000.0,26780903215.36,inf
2011-04-05,29.44,0.0,28908000000.0,16725000000.0,26780903215.36,inf
2011-04-06,29.46,0.0,28908000000.0,16725000000.0,26799096763.74,inf
2011-04-07,29.22,0.0,28908000000.0,16725000000.0,26580774183.18,inf
2011-04-08,29.33,0.0,28908000000.0,16725000000.0,26680838699.269997,inf
2011-04-11,29.25,0.0,28908000000.0,16725000000.0,26608064505.75,inf
2011-04-12,28.73,0.0,28908000000.0,16725000000.0,26135032247.87,inf
2011-04-13,28.83,0.0,28908000000.0,16725000000.0,26225999989.769997,inf
2011-04-14,29.12,0.0,28908000000.0,16725000000.0,26489806441.280003,inf
2011-04-15,28.88,0.0,28908000000.0,16725000000.0,26271483860.719997,inf
2011-04-18,28.52,0.0,28908000000.0,16725000000.0,25943999989.88,inf
2011-04-19,28.78,0.0,28908000000.0,16725000000.0,26180516118.82,inf
2011-04-20,29.45,0.0,28908000000.0,16725000000.0,26789999989.55,inf
2011-04-21,29.63,0.0,28908000000.0,16725000000.0,26953741924.969997,inf
2011-04-25,29.36,0.0,28908000000.0,16725000000.0,26708129021.84,inf
2011-04-26,29.12,0.0,28908000000.0,16725000000.0,26489806441.280003,inf
2011-04-27,28.86,0.0,28908000000.0,16725000000.0,26253290312.34,inf
2011-04-28,28.83,0.0,28908000000.0,16725000000.0,26225999989.769997,inf
2011-04-29,28.58,0.0,28908000000.0,16725000000.0,25998580635.019997,inf
2011-05-02,28.82,0.0,28908000000.0,16725000000.0,26216903215.58,inf
2011-05-03,28.19,0.0,28908000000.0,16725000000.0,25643806441.61,inf
2011-05-04,27.96,0.0,28908000000.0,16725000000.0,25434580635.24,inf
2011-05-05,27.98,0.0,28908000000.0,16725000000.0,25452774183.62,inf
2011-05-06,28.0,3298000000.0,28406000000.0,16795000000.0,25470967732.0,7.7231557707701635
2011-05-09,28.29,3298000000.0,28406000000.0,16795000000.0,25734774183.51,7.803145598395997
2011-05-10,28.52,3298000000.0,28406000000.0,16795000000.0,25943999989.88,7.866585806513038
