date,close price,MTB_SHE,MTB_TA,MTB_TL,market cap,PB Ratio
,,15945105000.0,139536969000.0,123591864000.0,,
1980-03-17,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-03-18,0.53,15945105000.0,139536969000.0,123591864000.0,,
1980-03-19,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-03-20,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-03-21,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-03-24,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-03-25,0.53,15945105000.0,139536969000.0,123591864000.0,,
1980-03-26,0.53,15945105000.0,139536969000.0,123591864000.0,,
1980-03-27,0.48,15945105000.0,139536969000.0,123591864000.0,,
1980-03-28,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-03-31,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-01,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-02,0.5,15945105000.0,139536969000.0,123591864000.0,,
1980-04-03,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-07,0.48,15945105000.0,139536969000.0,123591864000.0,,
1980-04-08,0.48,15945105000.0,139536969000.0,123591864000.0,,
1980-04-09,0.48,15945105000.0,139536969000.0,123591864000.0,,
1980-04-10,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-11,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-14,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-15,0.47,15945105000.0,139536969000.0,123591864000.0,,
1980-04-16,0.48,15945105000.0,139536969000.0,123591864000.0,,
1980-04-17,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-18,0.5,15945105000.0,139536969000.0,123591864000.0,,
1980-04-21,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-22,0.49,15945105000.0,139536969000.0,123591864000.0,,
1980-04-23,0.51,15945105000.0,139536969000.0,123591864000.0,,
1980-04-24,0.52,15945105000.0,139536969000.0,123591864000.0,,
1980-04-25,0.52,15945105000.0,139536969000.0,123591864000.0,,
1980-04-28,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-04-29,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-04-30,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-05-01,0.54,15945105000.0,139536969000.0,123591864000.0,,
1980-05-02,0.55,15945105000.0,139536969000.0,123591864000.0,,
1980-05-05,0.6,15945105000.0,139536969000.0,123591864000.0,,
1980-05-06,0.59,15945105000.0,139536969000.0,123591864000.0,,
1980-05-07,0.6,15945105000.0,139536969000.0,123591864000.0,,
1980-05-08,0.6,15945105000.0,139536969000.0,123591864000.0,,
1980-05-09,0.6,15945105000.0,139536969000.0,123591864000.0,,
1980-05-12,0.61,15945105000.0,139536969000.0,123591864000.0,,
1980-05-13,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-14,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-15,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-16,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-19,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-20,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-21,0.63,15945105000.0,139536969000.0,123591864000.0,,
1980-05-22,0.63,15945105000.0,139536969000.0,123591864000.0,,
1980-05-23,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-27,0.64,15945105000.0,139536969000.0,123591864000.0,,
1980-05-28,0.63,15945105000.0,139536969000.0,123591864000.0,,
1980-05-29,0.61,15945105000.0,139536969000.0,123591864000.0,,
1980-05-30,0.62,15945105000.0,139536969000.0,123591864000.0,,
1980-06-02,0.62,15945105000.0,139536969000.0,123591864000.0,,
