date,EA,EA_SHE,PB Ratio
2002-08-13,,1286113000.0,
2002-09-30,0.0,1286113000.0,0.0
2002-10-01,0.0,1286113000.0,0.0
2002-10-02,0.0,1286113000.0,0.0
2002-10-03,0.0,1286113000.0,0.0
2002-10-04,0.0,1286113000.0,0.0
2002-10-07,0.0,1286113000.0,0.0
2002-10-08,0.0,1286113000.0,0.0
2002-10-09,0.0,1286113000.0,0.0
2002-10-10,0.0,1286113000.0,0.0
2002-10-11,0.0,1286113000.0,0.0
2002-10-14,0.0,1286113000.0,0.0
2002-10-15,0.0,1286113000.0,0.0
2002-10-16,0.0,1286113000.0,0.0
2002-10-17,0.0,1286113000.0,0.0
2002-10-18,0.0,1286113000.0,0.0
2002-10-21,0.0,1286113000.0,0.0
2002-10-22,0.0,1286113000.0,0.0
2002-10-23,0.0,1286113000.0,0.0
2002-10-24,0.0,1286113000.0,0.0
2002-10-25,0.0,1286113000.0,0.0
2002-10-28,0.0,1286113000.0,0.0
2002-10-29,0.0,1286113000.0,0.0
2002-10-30,0.0,1286113000.0,0.0
2002-10-31,0.0,1286113000.0,0.0
2002-11-01,0.0,1286113000.0,0.0
2002-11-04,0.0,1286113000.0,0.0
2002-11-05,0.0,1286113000.0,0.0
2002-11-06,0.0,1286113000.0,0.0
2002-11-07,0.0,1286113000.0,0.0
2002-11-08,0.0,1391787000.0,0.0
2002-11-11,0.0,1391787000.0,0.0
2002-11-12,0.0,1391787000.0,0.0
2002-11-13,0.0,1391787000.0,0.0
2002-11-14,0.0,1391787000.0,0.0
2002-11-15,0.0,1391787000.0,0.0
2002-11-18,0.0,1391787000.0,0.0
2002-11-19,0.0,1391787000.0,0.0
2002-11-20,0.0,1391787000.0,0.0
2002-11-21,0.0,1391787000.0,0.0
2002-11-22,0.0,1391787000.0,0.0
2002-11-25,0.0,1391787000.0,0.0
2002-11-26,0.0,1391787000.0,0.0
2002-11-27,0.0,1391787000.0,0.0
2002-11-29,0.0,1391787000.0,0.0
2002-12-02,0.0,1391787000.0,0.0
2002-12-03,0.0,1391787000.0,0.0
