date,close price,GM_SHE,GM_TA,GM_TL,market cap,PB Ratio
,,40113000000.0,246624000000.0,206511000000.0,,
2010-04-07,,21249000000.0,136295000000.0,107340000000.0,,
2010-05-17,,22239000000.0,136021000000.0,105970000000.0,,
2010-08-16,,23015000000.0,131899000000.0,101000000000.0,,
2010-11-10,,22747000000.0,137238000000.0,106522000000.0,,
2010-11-18,34.19,22747000000.0,137238000000.0,106522000000.0,51285000000.0,2.2545830219369587
2010-11-19,34.26,22747000000.0,137238000000.0,106522000000.0,51390000000.0,2.259199015254759
2010-11-22,34.08,22747000000.0,137238000000.0,106522000000.0,51120000000.0,2.247329318151844
2010-11-23,33.25,22747000000.0,137238000000.0,106522000000.0,49875000000.0,2.192596825955071
2010-11-24,33.48,22747000000.0,137238000000.0,106522000000.0,50219999999.99999,2.207763661142128
2010-11-26,33.8,22747000000.0,137238000000.0,106522000000.0,50699999999.99999,2.2288653448806435
2010-11-29,33.8,22747000000.0,137238000000.0,106522000000.0,50699999999.99999,2.2288653448806435
2010-11-30,34.2,22747000000.0,137238000000.0,106522000000.0,51300000000.00001,2.2552424495537875
2010-12-01,34.78,22747000000.0,137238000000.0,106522000000.0,52170000000.0,2.2934892513298455
2010-12-02,34.68,22747000000.0,137238000000.0,106522000000.0,52020000000.0,2.2868949751615597
2010-12-03,34.55,22747000000.0,137238000000.0,106522000000.0,51824999999.99999,2.2783224161427875
2010-12-06,34.48,22747000000.0,137238000000.0,106522000000.0,51719999999.99999,2.2737064228249877
2010-12-07,34.68,22747000000.0,137238000000.0,106522000000.0,52020000000.0,2.2868949751615597
2010-12-08,34.45,22747000000.0,137238000000.0,106522000000.0,51675000000.00001,2.2717281399745026
2010-12-09,33.74,22747000000.0,137238000000.0,106522000000.0,50610000000.0,2.224908779179672
2010-12-10,33.81,22747000000.0,137238000000.0,106522000000.0,50715000000.0,2.2295247724974723
2010-12-13,33.8,22747000000.0,137238000000.0,106522000000.0,50699999999.99999,2.2288653448806435
2010-12-14,33.89,22747000000.0,137238000000.0,106522000000.0,50835000000.0,2.234800193432101
2010-12-15,33.61,22747000000.0,137238000000.0,106522000000.0,50415000000.0,2.2163362201609003
2010-12-16,33.61,22747000000.0,137238000000.0,106522000000.0,50415000000.0,2.2163362201609003
2010-12-17,34.0,22747000000.0,137238000000.0,106522000000.0,51000000000.0,2.2420538972172155
2010-12-20,33.76,22747000000.0,137238000000.0,106522000000.0,50640000000.0,2.226227634413329
2010-12-21,33.85,22747000000.0,137238000000.0,106522000000.0,50775000000.0,2.2321624829647866
2010-12-22,34.92,22747000000.0,137238000000.0,106522000000.0,52380000000.0,2.302721237965446
2010-12-23,34.81,22747000000.0,137238000000.0,106522000000.0,52215000000.0,2.2954675341803314
2010-12-27,34.6,22747000000.0,137238000000.0,106522000000.0,51900000000.0,2.281619554226931
2010-12-28,35.32,22747000000.0,137238000000.0,106522000000.0,52980000000.0,2.3290983426385896
2010-12-29,36.02,22747000000.0,137238000000.0,106522000000.0,54030000000.00001,2.3752582758165914
2010-12-30,36.82,22747000000.0,137238000000.0,106522000000.0,55230000000.0,2.4280124851628786
2010-12-31,36.86,22747000000.0,137238000000.0,106522000000.0,55290000000.0,2.430650195630193
2011-01-03,37.06,22747000000.0,137238000000.0,106522000000.0,55738240000.0,2.450355651294676
2011-01-04,37.9,22747000000.0,137238000000.0,106522000000.0,57001600000.0,2.5058952828944476
2011-01-05,38.07,22747000000.0,137238000000.0,106522000000.0,57257280000.0,2.5171354464324964
2011-01-06,38.9,22747000000.0,137238000000.0,106522000000.0,58505600000.0,2.5720138919417943
2011-01-07,38.98,22747000000.0,137238000000.0,106522000000.0,58625919999.99999,2.577303380665582
2011-01-10,38.56,22747000000.0,137238000000.0,106522000000.0,57994240000.0,2.5495335648656967
2011-01-11,38.75,22747000000.0,137238000000.0,106522000000.0,58280000000.0,2.5620961005846925
2011-01-12,38.62,22747000000.0,137238000000.0,106522000000.0,58084479999.99999,2.5535006814085373
2011-01-13,38.27,22747000000.0,137238000000.0,106522000000.0,57558080000.00001,2.5303591682419664
