date,PLD,PLD_SHE,PB Ratio
2001-11-13,,1767388000.0,
2001-12-31,2204328672000.0,1767388000.0,1247.2239666671946
2002-01-02,2208567765600.0,1767388000.0,1249.622474295401
2002-01-03,2229763233600.0,1767388000.0,1261.6150124364317
2002-01-04,2227219777440.0,1767388000.0,1260.175907859508
2002-01-07,2220437227680.0,1767388000.0,1256.338295654378
2002-01-08,2205176490720.0,1767388000.0,1247.703668192836
2002-01-09,2210263403040.0,1767388000.0,1250.5818773466833
2002-01-10,2191611391200.0,1767388000.0,1240.0284437825762
2002-01-11,2208567765600.0,1767388000.0,1249.622474295401
2002-01-14,2229763233600.0,1767388000.0,1261.6150124364317
2002-01-15,2225524140000.0,1767388000.0,1259.2165048082254
2002-01-16,2226371958720.0,1767388000.0,1259.6962063338667
2002-01-17,2225524140000.0,1767388000.0,1259.2165048082254
2002-01-18,2212806859200.0,1767388000.0,1252.020981923607
2002-01-22,2203480853280.0,1767388000.0,1246.7442651415536
2002-01-23,2191611391200.0,1767388000.0,1240.0284437825762
2002-01-24,2182285385279.9998,1767388000.0,1234.7517270005226
2002-01-25,2187372297600.0,1767388000.0,1237.6299361543702
2002-01-28,2164481192160.0,1767388000.0,1224.677994962057
2002-01-29,2141590086720.0002,1767388000.0,1211.7260537697439
2002-01-30,2146676999040.0,1767388000.0,1214.6042629235913
2002-01-31,2171263741920.0,1767388000.0,1228.5156071671868
2002-02-01,2159394279840.0,1767388000.0,1221.7997858082097
2002-02-04,2174655016800.0,1767388000.0,1230.4344132697518
2002-02-05,2205176490720.0,1767388000.0,1247.703668192836
2002-02-06,2206872128160.0,1767388000.0,1248.6630712441183
2002-02-07,2200089578400.0,1767388000.0,1244.8254590389886
2002-02-08,2183133204000.0,1767388000.0,1235.231428526164
2002-02-11,2204328672000.0,1767388000.0,1247.2239666671946
2002-02-12,2205176490720.0,1767388000.0,1247.703668192836
2002-02-13,2206872128160.0,1767388000.0,1248.6630712441183
2002-02-14,2230611052320.0,1767388000.0,1262.0947139620728
2002-02-15,2208567765600.0,1767388000.0,1249.622474295401
2002-02-19,2208567765600.0,1767388000.0,1249.622474295401
2002-02-20,2225524140000.0,1767388000.0,1259.2165048082254
2002-02-21,2204328672000.0,1767388000.0,1247.2239666671946
2002-02-22,2212806859200.0,1767388000.0,1252.020981923607
2002-02-25,2217045952800.0,1767388000.0,1254.4194895518133
