date,close price,CFG_SHE,CFG_TA,CFG_TL,market cap,PB Ratio
2014-09-24,23.08,,,,,
2014-09-25,23.05,,,,,
2014-09-26,23.25,,,,,
2014-09-29,23.23,,,,,
2014-09-30,23.42,,,,13061918001.12,
2014-10-01,23.44,,,,13073072499.84,
2014-10-02,23.34,,,,13017300006.24,
2014-10-03,23.23,,,,12955950263.28,
2014-10-06,22.64,,,,12626892551.04,
2014-10-07,22.52,,,,12559965558.72,
2014-10-08,22.75,,,,12688242294.0,
2014-10-09,22.48,,,,12537656561.28,
2014-10-10,22.28,,,,12426111574.08,
2014-10-13,22.45,,,,12520924813.199999,
2014-10-14,22.45,,,,12520924813.199999,
2014-10-15,21.85,,,,12186289851.6,
2014-10-16,21.8,,,,12158403604.800001,
2014-10-17,21.92,,,,12225330597.12,
2014-10-20,22.38,,,,12481884067.68,
2014-10-21,22.82,,,,12727283039.52,
2014-10-22,22.6,,,,12604583553.6,
2014-10-23,23.03,,,,12844405276.08,
2014-10-24,23.18,,,,12928064016.48,
2014-10-27,22.85,,,,12744014787.6,
2014-10-28,23.28,,,,12983836510.08,
2014-10-29,23.48,,,,13095381497.28,
2014-10-30,23.44,,,,13073072499.84,
2014-10-31,23.62,,,,13173462988.32,
2014-11-03,24.0,,,,13385398464.0,
2014-11-04,23.6,,,,13162308489.6,
2014-11-05,23.9,,,,13329625970.4,
2014-11-06,24.3,,,,13552715944.800001,
2014-11-07,23.97,,,,13368666715.92,
2014-11-10,23.95,,,,13357512217.199999,
2014-11-11,23.94,,,,13351934967.84,
2014-11-12,23.86,,,,13307316972.96,
2014-11-13,23.82,,,,13285007975.52,
2014-11-14,23.96,19383000000.0,131341000000.0,111958000000.0,13363089466.560001,0.6894231783810556
2014-11-17,24.0,19383000000.0,131341000000.0,111958000000.0,13385398464.0,0.6905741352731776
2014-11-18,23.73,19383000000.0,131341000000.0,111958000000.0,13234812731.28,0.6828051762513543
2014-11-19,23.72,19383000000.0,131341000000.0,111958000000.0,13229235481.92,0.6825174370283238
2014-11-20,23.71,19383000000.0,131341000000.0,111958000000.0,13223658232.560001,0.6822296978052934
2014-11-21,23.77,19383000000.0,131341000000.0,111958000000.0,13257121728.72,0.6839561331434763
2014-11-24,24.25,19383000000.0,131341000000.0,111958000000.0,13524829698.0,0.6977676158489398
2014-11-25,24.03,19383000000.0,131341000000.0,111958000000.0,13402130212.08,0.691437352942269
2014-11-26,24.23,19383000000.0,131341000000.0,111958000000.0,13513675199.28,0.6971921374028789
2014-11-28,24.63,19383000000.0,131341000000.0,111958000000.0,13736765173.68,0.7087017063240985
2014-12-01,23.98,19383000000.0,131341000000.0,111958000000.0,13374243965.28,0.6899986568271166
2014-12-02,24.2,19383000000.0,131341000000.0,111958000000.0,13496943451.199999,0.6963289197337873
2014-12-03,24.23,19383000000.0,131341000000.0,111958000000.0,13513675199.28,0.6971921374028789
2014-12-04,24.4,19383000000.0,131341000000.0,111958000000.0,13608488438.4,0.7020837041943971
2014-12-05,25.15,19383000000.0,131341000000.0,111958000000.0,14026782140.4,0.7236641459216839
2014-12-08,25.04,19383000000.0,131341000000.0,111958000000.0,13965432397.439999,0.7204990144683485
2014-12-09,25.16,19383000000.0,131341000000.0,111958000000.0,14032359389.76,0.7239518851447144
2014-12-10,24.65,19383000000.0,131341000000.0,111958000000.0,13747919672.4,0.7092771847701594
2014-12-11,24.69,19383000000.0,131341000000.0,111958000000.0,13770228669.84,0.7104281416622814
2014-12-12,24.46,19383000000.0,131341000000.0,111958000000.0,13641951934.560001,0.7038101395325802
2014-12-15,24.49,19383000000.0,131341000000.0,111958000000.0,13658683682.64,0.7046733572016716
