date,NI,NI_SHE,PB Ratio
2005-03-09,,0.0,
2005-03-31,2740937500.0,0.0,inf
2005-04-01,2753187500.0,0.0,inf
2005-04-04,2768499999.9999995,0.0,inf
2005-04-05,2780750000.0,0.0,inf
2005-04-06,2765437500.0,0.0,inf
2005-04-07,2753187500.0,0.0,inf
2005-04-08,2759312500.0,0.0,inf
2005-04-11,2768499999.9999995,0.0,inf
2005-04-12,2765437500.0,0.0,inf
2005-04-13,2780750000.0,0.0,inf
2005-04-14,2753187500.0,0.0,inf
2005-04-15,2682750000.0,0.0,inf
2005-04-18,2722562500.0,0.0,inf
2005-04-19,2725625000.0,0.0,inf
2005-04-20,2701125000.0,0.0,inf
2005-04-21,2719500000.0000005,0.0,inf
2005-04-22,2759312500.0,0.0,inf
2005-04-25,2799125000.0,0.0,inf
2005-04-26,2792999999.9999995,0.0,inf
2005-04-27,2768499999.9999995,0.0,inf
2005-04-28,2744000000.0000005,0.0,inf
2005-04-29,2796062500.0000005,0.0,inf
2005-05-02,2814437500.0,0.0,inf
2005-05-03,2796062500.0000005,0.0,inf
2005-05-04,2820562500.0000005,0.0,inf
2005-05-05,2842000000.0,0.0,inf
2005-05-06,2832812500.0,0.0,inf
2005-05-09,2869562499.9999995,0.0,inf
2005-05-10,2851187500.0,0.0,inf
2005-05-11,2866500000.0,0.0,inf
2005-05-12,2848125000.0,0.0,inf
2005-05-13,2838937500.0,0.0,inf
2005-05-16,2872625000.0000005,0.0,inf
2005-05-17,2915500000.0,0.0,inf
2005-05-18,2900187500.0,0.0,inf
2005-05-19,2869562499.9999995,0.0,inf
2005-05-20,2851187500.0,0.0,inf
2005-05-23,2826687500.0,0.0,inf
2005-05-24,2848125000.0,0.0,inf
2005-05-25,2860375000.0,0.0,inf
2005-05-26,2887937500.0,0.0,inf
2005-05-27,2891000000.0,0.0,inf
2005-05-31,2900187500.0,0.0,inf
2005-06-01,2915500000.0,0.0,inf
2005-06-02,2887937500.0,0.0,inf
2005-06-03,2884875000.0,0.0,inf
2005-06-06,2887937500.0,0.0,inf
2005-06-07,2891000000.0,0.0,inf
2005-06-08,2894062500.0,0.0,inf
2005-06-09,2887937500.0,0.0,inf
