date,close price,IP_SHE,IP_TA,IP_TL,market cap,PB Ratio
,,5296000000.0,12404000000.0,7107000000.0,,
1962-01-02,8.85,5296000000.0,12404000000.0,7107000000.0,,
1962-01-03,8.73,5296000000.0,12404000000.0,7107000000.0,,
1962-01-04,8.7,5296000000.0,12404000000.0,7107000000.0,,
1962-01-05,8.79,5296000000.0,12404000000.0,7107000000.0,,
1962-01-08,8.61,5296000000.0,12404000000.0,7107000000.0,,
1962-01-09,8.49,5296000000.0,12404000000.0,7107000000.0,,
1962-01-10,8.43,5296000000.0,12404000000.0,7107000000.0,,
1962-01-11,8.43,5296000000.0,12404000000.0,7107000000.0,,
1962-01-12,8.4,5296000000.0,12404000000.0,7107000000.0,,
1962-01-15,8.25,5296000000.0,12404000000.0,7107000000.0,,
1962-01-16,8.22,5296000000.0,12404000000.0,7107000000.0,,
1962-01-17,8.16,5296000000.0,12404000000.0,7107000000.0,,
1962-01-18,8.19,5296000000.0,12404000000.0,7107000000.0,,
1962-01-19,8.16,5296000000.0,12404000000.0,7107000000.0,,
1962-01-22,8.19,5296000000.0,12404000000.0,7107000000.0,,
1962-01-23,8.16,5296000000.0,12404000000.0,7107000000.0,,
1962-01-24,8.1,5296000000.0,12404000000.0,7107000000.0,,
1962-01-25,8.1,5296000000.0,12404000000.0,7107000000.0,,
1962-01-26,8.01,5296000000.0,12404000000.0,7107000000.0,,
1962-01-29,8.04,5296000000.0,12404000000.0,7107000000.0,,
1962-01-30,8.13,5296000000.0,12404000000.0,7107000000.0,,
1962-01-31,8.19,5296000000.0,12404000000.0,7107000000.0,,
1962-02-01,8.13,5296000000.0,12404000000.0,7107000000.0,,
1962-02-02,8.22,5296000000.0,12404000000.0,7107000000.0,,
1962-02-05,8.19,5296000000.0,12404000000.0,7107000000.0,,
1962-02-06,8.28,5296000000.0,12404000000.0,7107000000.0,,
1962-02-07,8.49,5296000000.0,12404000000.0,7107000000.0,,
1962-02-08,8.46,5296000000.0,12404000000.0,7107000000.0,,
1962-02-09,8.55,5296000000.0,12404000000.0,7107000000.0,,
1962-02-12,8.58,5296000000.0,12404000000.0,7107000000.0,,
1962-02-13,8.76,5296000000.0,12404000000.0,7107000000.0,,
1962-02-14,8.7,5296000000.0,12404000000.0,7107000000.0,,
1962-02-15,8.79,5296000000.0,12404000000.0,7107000000.0,,
1962-02-16,8.82,5296000000.0,12404000000.0,7107000000.0,,
1962-02-19,8.88,5296000000.0,12404000000.0,7107000000.0,,
1962-02-20,9.0,5296000000.0,12404000000.0,7107000000.0,,
1962-02-21,8.85,5296000000.0,12404000000.0,7107000000.0,,
1962-02-23,8.82,5296000000.0,12404000000.0,7107000000.0,,
1962-02-26,8.76,5296000000.0,12404000000.0,7107000000.0,,
1962-02-27,8.82,5296000000.0,12404000000.0,7107000000.0,,
1962-02-28,8.88,5296000000.0,12404000000.0,7107000000.0,,
1962-03-01,8.91,5296000000.0,12404000000.0,7107000000.0,,
1962-03-02,8.88,5296000000.0,12404000000.0,7107000000.0,,
1962-03-05,8.79,5296000000.0,12404000000.0,7107000000.0,,
1962-03-06,8.85,5296000000.0,12404000000.0,7107000000.0,,
1962-03-07,8.85,5296000000.0,12404000000.0,7107000000.0,,
1962-03-08,9.03,5296000000.0,12404000000.0,7107000000.0,,
1962-03-09,9.03,5296000000.0,12404000000.0,7107000000.0,,
1962-03-12,9.03,5296000000.0,12404000000.0,7107000000.0,,
1962-03-13,9.09,5296000000.0,12404000000.0,7107000000.0,,
1962-03-14,9.19,5296000000.0,12404000000.0,7107000000.0,,
1962-03-15,9.19,5296000000.0,12404000000.0,7107000000.0,,
