date,SLG,dcf,Deviation
1997-08-15,25.0,,
1997-08-18,24.88,,
1997-08-19,24.38,,
1997-08-20,23.75,,
1997-08-21,23.06,,
1997-08-22,23.5,,
1997-08-25,23.5,,
1997-08-26,23.63,,
1997-08-27,23.5,,
1997-08-28,23.69,,
1997-08-29,23.88,,
1997-09-02,24.38,,
1997-09-03,24.31,,
1997-09-04,24.5,,
1997-09-05,24.38,,
1997-09-08,24.25,,
1997-09-09,24.5,,
1997-09-10,24.69,,
1997-09-11,24.31,,
1997-09-12,24.31,,
1997-09-15,24.0,,
1997-09-16,25.25,,
1997-09-17,24.75,,
1997-09-18,25.13,,
1997-09-19,25.06,,
1997-09-22,25.25,,
1997-09-23,24.94,,
1997-09-24,24.81,,
1997-09-25,25.25,,
1997-09-26,25.5,,
1997-09-29,25.69,,
1997-09-30,25.88,,
1997-10-01,25.88,,
1997-10-02,26.38,,
1997-10-03,26.94,,
1997-10-06,26.38,,
1997-10-07,26.13,,
1997-10-08,26.25,,
1997-10-09,26.0,,
1997-10-10,25.81,,
1997-10-13,25.88,,
1997-10-14,26.06,,
1997-10-15,25.94,,
1997-10-16,25.75,,
1997-10-17,25.5,,
1997-10-20,25.38,,
1997-10-21,26.38,,
1997-10-22,26.0,,
1997-10-23,25.63,,
1997-10-24,25.63,,
1997-10-27,23.69,,
1997-10-28,25.69,,
1997-10-29,25.19,,
1997-10-30,25.0,,
1997-10-31,25.06,,
1997-11-03,24.88,,
1997-11-04,24.44,,
1997-11-05,24.69,,
1997-11-06,24.38,,
1997-11-07,24.25,,
1997-11-10,24.88,,
1997-11-11,25.13,,
1997-11-12,25.63,,
1997-11-13,25.19,,
1997-11-14,25.31,,
1997-11-17,25.25,,
1997-11-18,25.75,,
1997-11-19,25.81,,
1997-11-20,26.0,,
1997-11-21,26.0,,
1997-11-24,25.5,,
1997-11-25,25.69,,
1997-11-26,25.75,,
1997-11-28,26.0,,
1997-12-01,26.0,,
1997-12-02,26.13,,
1997-12-03,25.69,,
1997-12-04,25.75,,
1997-12-05,26.0,,
1997-12-08,25.75,,
1997-12-09,26.0,,
1997-12-10,25.88,,
1997-12-11,25.88,,
1997-12-12,25.69,,
1997-12-15,26.0,,
1997-12-16,26.5,,
1997-12-17,26.63,,
1997-12-18,26.5,,
1997-12-19,26.19,,
1997-12-22,26.13,,
1997-12-23,26.19,,
1997-12-24,26.25,,
1997-12-26,26.13,,
1997-12-29,26.13,,
1997-12-30,26.25,,
1997-12-31,25.94,,
1998-01-02,25.94,,
1998-01-05,25.88,,
1998-01-06,25.75,,
1998-01-07,25.63,,
1998-01-08,25.5,,
1998-01-09,25.5,,
1998-01-12,25.0,,
1998-01-13,25.13,,
1998-01-14,25.56,,
1998-01-15,25.25,,
1998-01-16,25.5,,
1998-01-20,26.0,,
1998-01-21,26.13,,
1998-01-22,26.5,,
1998-01-23,26.5,,
