date,SPG,dcf,Deviation
1993-12-14,20.88,,
1993-12-15,20.88,,
1993-12-16,20.88,,
1993-12-17,20.77,,
1993-12-20,20.88,,
1993-12-21,20.77,,
1993-12-22,20.88,,
1993-12-23,20.88,,
1993-12-27,20.77,,
1993-12-28,20.88,,
1993-12-29,20.88,,
1993-12-30,20.88,,
1993-12-31,21.0,,
1994-01-03,20.88,,
1994-01-04,21.0,,
1994-01-05,20.88,,
1994-01-06,20.88,,
1994-01-07,21.12,,
1994-01-10,21.35,,
1994-01-11,21.58,,
1994-01-12,21.58,,
1994-01-13,21.93,,
1994-01-14,21.81,,
1994-01-17,21.81,,
1994-01-18,21.93,,
1994-01-19,21.81,,
1994-01-20,21.93,,
1994-01-21,21.93,,
1994-01-24,21.7,,
1994-01-25,21.93,,
1994-01-26,22.28,,
1994-01-27,22.74,,
1994-01-28,22.86,,
1994-01-31,22.74,,
1994-02-01,23.2,,
1994-02-02,23.09,,
1994-02-03,23.09,,
1994-02-04,22.62,,
1994-02-07,22.74,,
1994-02-08,23.2,,
1994-02-09,22.97,,
1994-02-10,22.86,,
1994-02-11,23.44,,
1994-02-14,23.78,,
1994-02-15,23.55,,
1994-02-16,23.78,,
1994-02-17,24.02,,
1994-02-18,24.02,,
1994-02-22,24.13,,
1994-02-23,24.48,,
1994-02-24,24.71,,
1994-02-25,24.6,,
1994-02-28,23.9,,
1994-03-01,24.25,,
1994-03-02,24.36,,
1994-03-03,24.13,,
1994-03-04,24.13,,
1994-03-07,24.6,,
1994-03-08,24.48,,
1994-03-09,24.6,,
1994-03-10,24.6,,
1994-03-11,25.06,,
1994-03-14,25.18,,
1994-03-15,25.29,,
1994-03-16,25.52,,
1994-03-17,24.83,,
1994-03-18,25.64,,
1994-03-21,25.52,,
1994-03-22,25.52,,
1994-03-23,25.99,,
1994-03-24,25.76,,
1994-03-25,25.76,,
1994-03-28,24.71,,
1994-03-29,24.02,,
1994-03-30,24.02,,
1994-03-31,23.78,,
1994-04-04,23.2,,
1994-04-05,23.78,,
1994-04-06,24.13,,
1994-04-07,24.02,,
1994-04-08,24.02,,
1994-04-11,24.02,,
1994-04-12,24.02,,
1994-04-13,23.9,,
1994-04-14,24.36,,
1994-04-15,23.9,,
1994-04-18,24.13,,
1994-04-19,24.02,,
1994-04-20,23.9,,
1994-04-21,23.9,,
1994-04-22,23.67,,
1994-04-25,23.78,,
1994-04-26,23.78,,
1994-04-28,24.02,,
1994-04-29,24.83,,
1994-05-02,25.29,,
1994-05-03,24.83,,
1994-05-04,24.6,,
1994-05-05,25.29,,
1994-05-06,25.52,,
1994-05-09,25.52,,
1994-05-10,25.76,,
1994-05-11,25.06,,
1994-05-12,25.52,,
1994-05-13,25.29,,
1994-05-16,25.41,,
1994-05-17,25.52,,
1994-05-18,25.52,,
1994-05-19,25.64,,
1994-05-20,25.52,,
1994-05-23,25.76,,
1994-05-24,25.76,,
1994-05-25,25.87,,
1994-05-26,25.64,,
1994-05-27,25.76,,
1994-05-31,25.41,,
1994-06-01,25.29,,
1994-06-02,25.29,,
1994-06-03,25.52,,
1994-06-06,25.87,,
1994-06-07,25.99,,
1994-06-08,25.87,,
1994-06-09,25.52,,
1994-06-10,25.64,,
1994-06-13,25.99,,
1994-06-14,25.87,,
1994-06-15,25.64,,
1994-06-16,25.87,,
1994-06-17,25.99,,
1994-06-20,25.87,,
1994-06-21,25.99,,
1994-06-22,25.87,,
1994-06-23,25.52,,
1994-06-24,25.18,,
1994-06-27,25.18,,
1994-06-28,24.94,,
1994-06-29,24.48,,
1994-06-30,24.71,,
1994-07-01,24.36,,
1994-07-05,24.25,,
1994-07-06,23.9,,
1994-07-07,24.02,,
1994-07-08,24.13,,
1994-07-11,24.25,,
1994-07-12,24.36,,
1994-07-13,24.94,,
1994-07-14,24.83,,
1994-07-15,25.18,,
1994-07-18,25.76,,
1994-07-19,25.52,,
1994-07-20,25.64,,
1994-07-21,25.29,,
1994-07-22,24.71,,
1994-07-25,24.94,,
1994-07-26,24.71,,
1994-07-27,24.48,,
1994-07-28,24.6,,
1994-07-29,24.71,,
1994-08-01,24.71,,
1994-08-02,24.36,,
1994-08-03,24.36,,
1994-08-04,24.48,,
1994-08-05,24.48,,
1994-08-08,24.71,,
1994-08-09,24.6,,
1994-08-10,24.48,,
1994-08-11,24.36,,
1994-08-12,24.25,,
1994-08-15,24.02,,
1994-08-16,23.67,,
1994-08-17,23.9,,
1994-08-18,24.02,,
1994-08-19,24.02,,
1994-08-22,24.02,,
1994-08-23,24.02,,
1994-08-24,24.25,,
1994-08-25,24.13,,
1994-08-26,24.02,,
1994-08-29,24.25,,
1994-08-30,24.36,,
1994-08-31,24.48,,
1994-09-01,24.25,,
1994-09-02,24.25,,
1994-09-06,24.13,,
1994-09-07,24.13,,
1994-09-08,24.36,,
1994-09-09,24.13,,
1994-09-12,23.67,,
1994-09-13,23.9,,
1994-09-14,23.67,,
1994-09-15,23.78,,
1994-09-16,23.67,,
1994-09-19,23.55,,
1994-09-20,23.32,,
1994-09-21,23.44,,
1994-09-22,23.55,,
1994-09-23,23.9,,
1994-09-26,23.9,,
1994-09-27,24.13,,
1994-09-28,24.13,,
1994-09-29,23.78,,
1994-09-30,23.78,,
1994-10-03,23.67,,
1994-10-04,23.44,,
1994-10-05,23.32,,
1994-10-06,22.86,,
1994-10-07,22.97,,
1994-10-10,23.2,,
1994-10-11,23.2,,
1994-10-12,23.2,,
1994-10-13,23.32,,
1994-10-14,23.44,,
1994-10-17,23.44,,
1994-10-18,23.32,,
1994-10-19,23.32,,
1994-10-20,23.09,,
1994-10-21,22.97,,
1994-10-24,22.51,,
1994-10-25,22.74,,
1994-10-26,22.51,,
1994-10-27,22.04,,
1994-10-28,22.28,,
1994-10-31,22.16,,
1994-11-01,22.16,,
1994-11-02,21.93,,
1994-11-03,21.81,,
1994-11-04,21.7,,
1994-11-07,21.81,,
1994-11-08,21.58,,
1994-11-09,21.7,,
1994-11-10,21.46,,
1994-11-11,21.46,,
1994-11-14,21.35,,
1994-11-15,21.35,,
1994-11-16,21.46,,
1994-11-17,21.46,,
1994-11-18,21.58,,
1994-11-21,21.46,,
1994-11-22,21.46,,
1994-11-23,21.46,,
1994-11-25,21.93,,
1994-11-28,21.93,,
1994-11-29,21.93,,
1994-11-30,21.93,,
1994-12-01,21.93,,
1994-12-02,21.81,,
1994-12-05,21.81,,
1994-12-06,21.93,,
1994-12-07,21.7,,
1994-12-08,21.35,,
1994-12-09,21.23,,
1994-12-12,21.7,,
1994-12-13,21.93,,
1994-12-14,22.39,,
1994-12-15,22.62,,
1994-12-16,23.09,,
1994-12-19,23.32,,
1994-12-20,23.2,,
1994-12-21,23.2,,
1994-12-22,23.2,,
1994-12-23,22.51,,
1994-12-27,22.74,,
1994-12-28,22.51,,
1994-12-29,22.51,,
1994-12-30,22.51,,
1995-01-03,23.09,,
1995-01-04,23.09,,
1995-01-05,23.32,,
1995-01-06,22.86,,
1995-01-09,22.97,,
1995-01-10,22.51,,
1995-01-11,21.81,,
1995-01-12,22.16,,
1995-01-13,22.28,,
1995-01-16,22.28,,
1995-01-17,22.16,,
1995-01-18,22.16,,
1995-01-19,22.28,,
1995-01-20,22.16,,
1995-01-23,21.81,,
1995-01-24,22.04,,
1995-01-25,21.81,,
1995-01-26,21.93,,
1995-01-27,21.93,,
1995-01-30,21.7,,
1995-01-31,21.7,,
1995-02-01,21.23,,
1995-02-02,21.23,,
1995-02-03,21.23,,
1995-02-06,21.23,,
1995-02-07,21.46,,
1995-02-08,21.7,,
1995-02-09,21.81,,
1995-02-10,21.81,,
1995-02-13,21.7,,
1995-02-14,21.81,,
1995-02-15,21.7,,
1995-02-16,21.81,,
1995-02-17,21.81,,
1995-02-21,22.04,,
1995-02-22,22.28,,
1995-02-23,22.28,,
1995-02-24,22.74,,
1995-02-27,22.62,,
1995-02-28,22.62,,
1995-03-01,22.97,,
1995-03-02,22.74,,
1995-03-03,22.62,,
1995-03-06,22.86,,
1995-03-07,22.97,,
1995-03-08,22.97,,
1995-03-09,23.09,,
1995-03-10,22.74,,
1995-03-13,22.74,,
1995-03-14,23.2,,
1995-03-15,23.78,,
1995-03-16,23.55,,
1995-03-17,23.55,,
1995-03-20,23.67,,
1995-03-21,23.44,,
1995-03-22,23.2,,
1995-03-23,23.44,,
1995-03-24,23.44,,
1995-03-27,23.2,,
1995-03-28,23.09,,
1995-03-29,23.2,,
1995-03-30,22.97,,
1995-03-31,22.62,,
1995-04-03,22.39,,
1995-04-04,22.28,,
1995-04-05,22.39,,
1995-04-06,22.28,,
1995-04-07,22.28,,
1995-04-10,22.28,,
1995-04-11,22.39,,
1995-04-12,22.39,,
1995-04-13,22.39,,
1995-04-17,22.28,,
1995-04-18,22.16,,
1995-04-19,21.93,,
1995-04-20,21.93,,
1995-04-21,21.93,,
1995-04-24,21.93,,
1995-04-25,22.04,,
1995-04-26,21.81,,
1995-04-27,21.93,,
1995-04-28,22.04,,
1995-05-01,22.04,,
1995-05-02,22.16,,
1995-05-03,22.04,,
1995-05-04,22.04,,
1995-05-05,22.39,,
1995-05-08,22.51,,
1995-05-09,23.09,,
1995-05-10,23.09,,
1995-05-11,23.09,,
1995-05-12,23.09,,
1995-05-15,22.86,,
1995-05-16,23.09,,
1995-05-17,22.97,,
1995-05-18,22.86,,
1995-05-19,23.09,,
1995-05-22,22.97,,
1995-05-23,22.62,,
1995-05-24,22.74,,
1995-05-25,22.97,,
1995-05-26,22.28,,
1995-05-30,22.97,,
1995-05-31,23.09,,
1995-06-01,23.09,,
1995-06-02,23.2,,
1995-06-05,23.32,,
1995-06-06,23.32,,
1995-06-07,23.2,,
1995-06-08,22.97,,
1995-06-09,22.74,,
1995-06-12,22.39,,
1995-06-13,22.39,,
1995-06-14,22.74,,
1995-06-15,23.09,,
1995-06-16,23.09,,
1995-06-19,23.09,,
1995-06-20,22.97,,
1995-06-21,22.97,,
1995-06-22,23.09,,
1995-06-23,23.32,,
1995-06-26,23.09,,
1995-06-27,23.09,,
1995-06-28,23.32,,
1995-06-29,23.09,,
1995-06-30,23.32,,
1995-07-03,23.32,,
1995-07-05,23.32,,
1995-07-06,23.55,,
1995-07-07,23.78,,
1995-07-10,23.44,,
1995-07-11,23.44,,
1995-07-12,23.32,,
1995-07-13,23.09,,
1995-07-14,23.2,,
1995-07-17,23.09,,
1995-07-18,22.97,,
1995-07-19,22.62,,
1995-07-20,22.86,,
1995-07-21,23.2,,
1995-07-24,23.09,,
1995-07-25,22.97,,
1995-07-26,22.86,,
1995-07-27,23.09,,
1995-07-28,22.97,,
1995-07-31,22.74,,
1995-08-01,22.74,,
1995-08-02,22.74,,
1995-08-03,22.74,,
1995-08-04,22.62,,
1995-08-07,22.97,,
1995-08-08,22.74,,
1995-08-09,22.97,,
1995-08-10,22.86,,
1995-08-11,22.97,,
1995-08-14,22.97,,
1995-08-15,22.86,,
1995-08-16,22.62,,
1995-08-17,22.39,,
1995-08-18,22.39,,
1995-08-21,22.62,,
1995-08-22,22.74,,
1995-08-23,22.86,,
1995-08-24,22.97,,
1995-08-25,22.86,,
1995-08-28,22.97,,
1995-08-29,22.86,,
1995-08-30,22.74,,
1995-08-31,22.86,,
1995-09-01,23.2,,
1995-09-05,23.09,,
1995-09-06,23.09,,
1995-09-07,23.09,,
1995-09-08,23.44,,
1995-09-11,23.32,,
1995-09-12,23.55,,
1995-09-13,23.9,,
1995-09-14,23.78,,
1995-09-15,23.9,,
1995-09-18,23.55,,
1995-09-19,23.55,,
1995-09-20,23.67,,
1995-09-21,23.9,,
1995-09-22,23.9,,
1995-09-25,23.9,,
1995-09-26,24.02,,
1995-09-27,23.9,,
1995-09-28,23.67,,
1995-09-29,23.55,,
1995-10-02,23.55,,
1995-10-03,23.67,,
1995-10-04,23.55,,
1995-10-05,23.55,,
1995-10-06,23.09,,
1995-10-09,22.74,,
1995-10-10,22.86,,
1995-10-11,22.97,,
1995-10-12,22.86,,
1995-10-13,22.86,,
1995-10-16,22.62,,
1995-10-17,22.51,,
1995-10-18,22.16,,
1995-10-19,22.16,,
1995-10-20,21.93,,
1995-10-23,22.16,,
1995-10-24,22.04,,
1995-10-25,21.93,,
1995-10-26,21.81,,
1995-10-27,21.81,,
1995-10-30,21.93,,
1995-10-31,21.58,,
1995-11-01,21.23,,
1995-11-02,21.46,,
1995-11-03,21.46,,
1995-11-06,21.46,,
1995-11-07,21.58,,
1995-11-08,21.81,,
1995-11-09,22.28,,
1995-11-10,22.97,,
1995-11-13,22.62,,
1995-11-14,21.93,,
1995-11-15,22.16,,
1995-11-16,22.04,,
1995-11-17,22.04,,
1995-11-20,21.81,,
1995-11-21,21.93,,
1995-11-22,21.81,,
1995-11-24,21.7,,
1995-11-27,21.81,,
1995-11-28,21.93,,
1995-11-29,21.58,,
1995-11-30,21.46,,
1995-12-01,21.58,,
1995-12-04,21.35,,
1995-12-05,21.58,,
1995-12-06,22.74,,
1995-12-07,22.28,,
1995-12-08,22.04,,
1995-12-11,22.04,,
1995-12-12,22.51,,
1995-12-13,23.44,,
1995-12-14,22.86,,
1995-12-15,23.32,,
1995-12-18,22.74,,
1995-12-19,22.97,,
1995-12-20,22.86,,
1995-12-21,22.74,,
1995-12-22,22.86,,
1995-12-26,23.09,,
1995-12-27,23.09,,
1995-12-28,22.74,,
1995-12-29,22.62,,
1996-01-02,22.62,,
1996-01-03,22.62,,
1996-01-04,22.51,,
1996-01-05,22.39,,
1996-01-08,22.39,,
1996-01-09,22.51,,
1996-01-10,21.7,,
1996-01-11,21.7,,
1996-01-12,21.46,,
1996-01-15,21.81,,
1996-01-16,21.93,,
1996-01-17,22.16,,
1996-01-18,22.28,,
1996-01-19,22.16,,
1996-01-22,22.16,,
1996-01-23,21.7,,
1996-01-24,21.35,,
1996-01-25,21.23,,
1996-01-26,21.35,,
1996-01-29,21.46,,
1996-01-30,21.0,,
1996-01-31,20.77,,
1996-02-01,20.88,,
1996-02-02,20.42,,
1996-02-05,20.19,,
1996-02-06,20.42,,
1996-02-07,21.12,,
1996-02-08,21.0,,
1996-02-09,20.77,,
1996-02-12,20.42,,
1996-02-13,20.65,,
1996-02-14,21.0,,
1996-02-15,21.0,,
1996-02-16,21.23,,
1996-02-20,20.65,,
1996-02-21,21.0,,
1996-02-22,21.35,,
1996-02-23,21.58,,
1996-02-26,21.46,,
1996-02-27,21.58,,
1996-02-28,21.58,,
1996-02-29,21.7,,
1996-03-01,21.7,,
1996-03-04,21.81,,
1996-03-05,22.39,,
1996-03-06,22.28,,
1996-03-07,22.39,,
1996-03-08,21.93,,
1996-03-11,22.04,,
1996-03-12,21.81,,
1996-03-13,21.81,,
1996-03-14,21.58,,
1996-03-15,21.46,,
1996-03-18,21.93,,
1996-03-19,21.81,,
1996-03-20,22.28,,
1996-03-21,22.28,,
1996-03-22,22.04,,
1996-03-25,22.28,,
1996-03-26,21.93,,
1996-03-27,21.81,,
1996-03-28,21.46,,
1996-03-29,21.46,,
1996-04-01,21.46,,
1996-04-02,21.35,,
1996-04-03,21.41,,
1996-04-04,21.12,,
1996-04-08,20.88,,
1996-04-09,21.46,,
1996-04-10,20.65,,
1996-04-11,20.65,,
1996-04-12,21.0,,
1996-04-15,20.88,,
1996-04-16,21.12,,
1996-04-17,20.88,,
1996-04-18,21.12,,
1996-04-19,21.23,,
1996-04-22,21.23,,
1996-04-23,21.12,,
1996-04-24,21.23,,
1996-04-25,21.46,,
1996-04-26,21.46,,
1996-04-29,21.52,,
1996-04-30,21.35,,
1996-05-01,21.23,,
1996-05-02,21.23,,
1996-05-03,21.7,,
1996-05-06,21.7,,
1996-05-07,21.58,,
1996-05-08,21.58,,
1996-05-09,21.58,,
1996-05-10,21.7,,
1996-05-13,22.39,,
1996-05-14,22.28,,
1996-05-15,22.04,,
1996-05-16,22.16,,
1996-05-17,22.16,,
1996-05-20,22.39,,
1996-05-21,22.39,,
1996-05-22,22.16,,
