date,DOW,dcf,Deviation
2019-03-20,49.8,,
2019-03-21,48.98,,
2019-03-22,48.6,,
2019-03-25,49.15,,
2019-03-26,48.85,,
2019-03-27,50.1,,
2019-03-28,50.85,,
2019-03-29,51.63,,
2019-04-01,53.5,,
2019-04-02,56.25,,
2019-04-03,56.88,,
2019-04-04,59.71,,
2019-04-05,57.24,,
2019-04-08,57.15,,
2019-04-09,56.27,,
2019-04-10,55.71,,
2019-04-11,54.89,,
2019-04-12,58.3,,
2019-04-15,57.78,,
2019-04-16,58.5,,
2019-04-17,58.32,,
2019-04-18,57.77,,
2019-04-22,57.89,,
2019-04-23,57.64,,
2019-04-24,55.98,,
2019-04-25,55.33,,
2019-04-26,55.25,,
2019-04-29,55.5,,
2019-04-30,56.73,,
2019-05-01,56.13,,
2019-05-02,52.7,,
2019-05-03,53.3,,
2019-05-06,53.46,,
2019-05-07,52.95,,
2019-05-08,52.48,,
2019-05-09,52.93,,
2019-05-10,53.07,,
2019-05-13,50.95,,
2019-05-14,52.48,,
2019-05-15,52.95,,
2019-05-16,52.98,,
2019-05-17,50.8,,
2019-05-20,50.08,,
2019-05-21,50.63,,
2019-05-22,50.21,,
2019-05-23,48.71,,
2019-05-24,49.2,,
2019-05-28,48.56,,
2019-05-29,48.71,,
2019-05-30,48.47,,
2019-05-31,46.76,,
2019-06-03,47.96,,
2019-06-04,49.93,,
2019-06-05,50.34,,
2019-06-06,51.06,,
2019-06-07,51.3,,
2019-06-10,51.62,,
2019-06-11,52.04,,
2019-06-12,52.49,,
2019-06-13,52.88,,
2019-06-14,51.15,,
2019-06-17,49.35,,
2019-06-18,49.61,,
2019-06-19,48.5,,
2019-06-20,48.93,,
2019-06-21,48.36,,
2019-06-24,49.58,,
2019-06-25,49.69,,
2019-06-26,50.45,,
2019-06-27,50.91,,
2019-06-28,49.31,,
2019-07-01,50.16,,
2019-07-02,49.4,,
2019-07-03,49.33,,
2019-07-05,49.31,,
2019-07-08,48.52,,
2019-07-09,47.87,,
2019-07-10,47.55,,
2019-07-11,47.78,,
2019-07-12,49.71,,
2019-07-15,50.93,,
2019-07-16,52.32,,
2019-07-17,51.6,,
2019-07-18,51.75,,
2019-07-19,51.52,,
2019-07-22,50.88,,
2019-07-23,52.62,,
2019-07-24,52.79,,
2019-07-25,50.77,,
2019-07-26,49.11,,
2019-07-29,48.05,,
2019-07-30,48.4,,
2019-07-31,48.44,,
2019-08-01,46.85,,
2019-08-02,45.6,,
2019-08-05,44.77,,
2019-08-06,44.43,,
2019-08-07,44.89,,
2019-08-08,46.79,,
2019-08-09,46.64,,
2019-08-12,45.69,,
2019-08-13,46.85,,
2019-08-14,44.08,,
2019-08-15,43.38,,
2019-08-16,44.51,,
2019-08-19,45.6,,
2019-08-20,43.16,,
2019-08-21,43.28,,
2019-08-22,42.05,,
2019-08-23,40.71,,
2019-08-26,40.82,,
2019-08-27,41.17,,
2019-08-28,42.52,,
2019-08-29,42.37,,
2019-08-30,42.63,,
2019-09-03,41.8,,
2019-09-04,42.54,,
2019-09-05,43.36,,
2019-09-06,43.24,,
2019-09-09,44.45,,
2019-09-10,46.32,,
2019-09-11,46.88,,
2019-09-12,46.97,,
2019-09-13,48.2,,
2019-09-16,49.01,,
2019-09-17,48.0,,
2019-09-18,47.51,,
2019-09-19,47.64,,
2019-09-20,48.21,,
2019-09-23,47.91,,
2019-09-24,46.6,,
2019-09-25,47.68,,
2019-09-26,47.23,,
2019-09-27,47.07,,
2019-09-30,47.65,,
2019-10-01,45.97,,
2019-10-02,44.93,,
2019-10-03,45.31,,
2019-10-04,45.34,,
2019-10-07,45.17,,
2019-10-08,43.85,,
2019-10-09,44.01,,
2019-10-10,44.92,,
2019-10-11,47.13,,
2019-10-14,46.82,,
2019-10-15,47.2,,
2019-10-16,47.12,,
2019-10-17,47.81,,
2019-10-18,47.96,,
2019-10-21,47.12,,
2019-10-22,46.82,,
2019-10-23,47.23,,
2019-10-24,49.47,,
2019-10-25,50.48,,
2019-10-28,51.21,,
2019-10-29,51.49,,
2019-10-30,51.03,,
2019-10-31,50.49,,
2019-11-01,52.31,,
2019-11-04,54.17,,
2019-11-05,54.2,,
2019-11-06,54.28,,
2019-11-07,55.8,,
2019-11-08,55.99,,
2019-11-11,55.81,,
2019-11-12,55.16,,
2019-11-13,53.66,,
2019-11-14,53.95,,
2019-11-15,54.86,,
2019-11-18,54.32,,
2019-11-19,53.39,,
2019-11-20,52.67,,
2019-11-21,53.88,,
2019-11-22,54.2,,
2019-11-25,55.2,,
2019-11-26,55.37,,
2019-11-27,54.28,,
2019-11-29,53.37,,
2019-12-02,53.16,,
2019-12-03,51.82,,
2019-12-04,52.28,,
2019-12-05,52.0,,
2019-12-06,53.22,,
2019-12-09,53.27,,
2019-12-10,53.13,,
2019-12-11,53.1,,
2019-12-12,54.45,,
2019-12-13,53.28,,
2019-12-16,54.17,,
2019-12-17,54.66,,
2019-12-18,54.25,,
2019-12-19,54.52,,
2019-12-20,54.61,,
2019-12-23,54.93,,
2019-12-24,54.9,,
2019-12-26,55.22,,
2019-12-27,54.83,,
2019-12-30,54.34,,
2019-12-31,54.73,56.93787878787879,-0.03877697650283407
2020-01-02,53.75,55.60787878787879,-0.03341035170512141
2020-01-03,52.42,55.39787878787879,-0.05375438289399548
2020-01-06,52.21,55.377878787878785,-0.057204769435339475
2020-01-07,52.19,55.917878787878784,-0.06666702794682677
2020-01-08,52.73,55.377878787878785,-0.04781473840883843
2020-01-09,52.19,54.68787878787879,-0.045675181470604564
2020-01-10,51.5,55.53787878787879,-0.07270495157550128
2020-01-13,52.35,55.42787878787879,-0.05552943491952411
2020-01-14,52.24,55.45787878787879,-0.05802383463289096
2020-01-15,52.27,55.667878787878784,-0.06103840961546825
2020-01-16,52.48,56.52787878787879,-0.07160853855968108
2020-01-17,53.34,55.78787878787879,-0.04387832699619765
2020-01-21,52.6,54.057878787878785,-0.026968849325358257
2020-01-22,50.87,53.43787878787879,-0.04805353142986768
2020-01-23,50.25,51.67787878787879,-0.02763036760351134
2020-01-24,48.49,50.36787878787879,-0.03728326133779336
2020-01-27,47.18,50.34787878787879,-0.06291980643763395
2020-01-28,47.16,52.85787878787879,-0.10779620594963057
2020-01-29,49.67,51.657878787878786,-0.03848161857442023
2020-01-30,48.47,49.25787878787879,-0.01599498003703459
2020-01-31,46.07,49.92787878787879,-0.07726903048032918
2020-02-03,46.74,51.237878787878785,-0.08778425052488381
2020-02-04,48.05,52.79787878787879,-0.0899255594519982
2020-02-05,49.61,52.38787878787879,-0.05302521980564556
2020-02-06,49.2,51.21787878787879,-0.03939793750998399
