date,ABC,dcf,Deviation
1995-04-04,2.95,,
1995-04-05,2.84,,
1995-04-06,2.89,,
1995-04-07,2.84,,
1995-04-10,2.88,,
1995-04-11,2.86,,
1995-04-12,2.86,,
1995-04-13,2.88,,
1995-04-17,2.95,,
1995-04-18,2.94,,
1995-04-19,2.84,,
1995-04-20,2.73,,
1995-04-21,2.8,,
1995-04-24,2.75,,
1995-04-25,2.81,,
1995-04-26,2.75,,
1995-04-27,2.78,,
1995-04-28,2.77,,
1995-05-01,2.77,,
1995-05-02,2.84,,
1995-05-03,2.86,,
1995-05-04,2.81,,
1995-05-05,2.81,,
1995-05-08,2.81,,
1995-05-09,2.75,,
1995-05-10,2.75,,
1995-05-11,2.75,,
1995-05-12,2.75,,
1995-05-15,2.7,,
1995-05-16,2.72,,
1995-05-17,2.71,,
1995-05-18,2.64,,
1995-05-19,2.61,,
1995-05-22,2.66,,
1995-05-23,2.75,,
1995-05-24,2.81,,
1995-05-25,2.81,,
1995-05-26,2.81,,
1995-05-30,2.78,,
1995-05-31,2.84,,
1995-06-01,2.88,,
1995-06-02,3.0,,
1995-06-05,3.02,,
1995-06-06,3.0,,
1995-06-07,3.03,,
1995-06-08,2.94,,
1995-06-09,2.97,,
1995-06-12,3.0,,
1995-06-13,2.94,,
1995-06-14,2.94,,
1995-06-15,2.89,,
1995-06-16,2.91,,
1995-06-19,3.0,,
1995-06-20,2.94,,
1995-06-21,3.0,,
1995-06-22,2.98,,
1995-06-23,3.03,,
1995-06-26,2.98,,
1995-06-27,2.97,,
1995-06-28,2.94,,
1995-06-29,2.88,,
1995-06-30,2.85,,
1995-07-03,2.81,,
1995-07-05,2.81,,
1995-07-06,2.81,,
1995-07-07,2.88,,
1995-07-10,2.81,,
1995-07-11,2.81,,
1995-07-12,2.88,,
1995-07-13,2.86,,
1995-07-14,2.8,,
1995-07-17,2.84,,
1995-07-18,2.78,,
1995-07-19,2.72,,
1995-07-20,2.69,,
1995-07-21,2.67,,
1995-07-24,2.84,,
1995-07-25,2.83,,
1995-07-26,2.78,,
1995-07-27,2.88,,
1995-07-28,2.78,,
1995-07-31,2.78,,
1995-08-01,2.78,,
1995-08-02,2.63,,
1995-08-03,2.66,,
1995-08-04,2.66,,
1995-08-07,2.61,,
1995-08-08,2.53,,
1995-08-09,2.56,,
1995-08-10,2.5,,
1995-08-11,2.52,,
1995-08-14,2.56,,
1995-08-15,2.56,,
1995-08-16,2.72,,
1995-08-17,2.86,,
1995-08-18,2.91,,
1995-08-21,2.88,,
1995-08-22,2.84,,
1995-08-23,2.75,,
1995-08-24,2.81,,
1995-08-25,2.81,,
1995-08-28,2.75,,
1995-08-29,2.8,,
1995-08-30,2.84,,
1995-08-31,2.84,,
1995-09-01,2.83,,
1995-09-05,2.83,,
1995-09-06,2.86,,
1995-09-07,2.75,,
1995-09-08,2.75,,
1995-09-11,2.75,,
1995-09-12,2.8,,
1995-09-13,2.84,,
1995-09-14,3.22,,
1995-09-15,3.22,,
1995-09-18,3.19,,
1995-09-19,3.28,,
1995-09-20,3.38,,
1995-09-21,3.47,,
1995-09-22,3.38,,
1995-09-25,3.41,,
1995-09-26,3.41,,
1995-09-27,3.36,,
1995-09-28,3.38,,
1995-09-29,3.38,,
1995-10-02,3.2,,
1995-10-03,3.28,,
1995-10-04,3.19,,
1995-10-05,3.25,,
1995-10-06,3.28,,
1995-10-09,3.22,,
1995-10-10,3.16,,
1995-10-11,3.16,,
1995-10-12,3.25,,
1995-10-13,3.2,,
1995-10-16,3.25,,
1995-10-17,3.19,,
1995-10-18,3.19,,
1995-10-19,3.19,,
1995-10-20,3.25,,
1995-10-23,3.25,,
1995-10-24,3.28,,
1995-10-25,3.28,,
1995-10-26,3.38,,
1995-10-27,3.44,,
1995-10-30,3.42,,
1995-10-31,3.41,,
1995-11-01,3.56,,
1995-11-02,3.63,,
1995-11-03,3.72,,
1995-11-06,3.63,,
1995-11-07,3.63,,
1995-11-08,3.63,,
1995-11-09,3.67,,
1995-11-10,3.75,,
1995-11-13,3.69,,
1995-11-14,3.78,,
1995-11-15,3.72,,
1995-11-16,3.69,,
1995-11-17,3.72,,
1995-11-20,3.66,,
1995-11-21,3.72,,
1995-11-22,3.68,,
1995-11-24,3.66,,
1995-11-27,3.56,,
1995-11-28,3.63,,
1995-11-29,3.63,,
1995-11-30,3.63,,
1995-12-01,3.69,,
1995-12-04,3.69,,
1995-12-05,3.66,,
1995-12-06,3.78,,
1995-12-07,3.81,,
1995-12-08,3.94,,
1995-12-11,4.09,,
1995-12-12,4.19,,
1995-12-13,4.09,,
1995-12-14,3.97,,
1995-12-15,4.05,,
1995-12-18,4.0,,
1995-12-19,4.03,,
1995-12-20,3.97,,
1995-12-21,3.94,,
1995-12-22,3.94,,
1995-12-26,3.97,,
1995-12-27,4.03,,
1995-12-28,4.02,,
1995-12-29,4.13,,
1996-01-02,4.13,,
1996-01-03,4.03,,
1996-01-04,4.03,,
1996-01-05,4.06,,
1996-01-08,4.0,,
1996-01-09,4.06,,
1996-01-10,4.0,,
1996-01-11,4.0,,
1996-01-12,4.0,,
1996-01-15,4.0,,
1996-01-16,4.09,,
1996-01-17,3.97,,
1996-01-18,4.06,,
1996-01-19,4.09,,
1996-01-22,4.09,,
1996-01-23,4.09,,
1996-01-24,3.97,,
1996-01-25,4.06,,
1996-01-26,4.02,,
1996-01-29,3.98,,
1996-01-30,3.97,,
1996-01-31,3.91,,
1996-02-01,3.88,,
1996-02-02,3.75,,
1996-02-05,3.69,,
1996-02-06,3.66,,
1996-02-07,3.78,,
1996-02-08,3.77,,
1996-02-09,3.66,,
1996-02-12,3.66,,
1996-02-13,3.72,,
1996-02-14,3.72,,
1996-02-15,3.66,,
1996-02-16,3.78,,
1996-02-20,3.75,,
1996-02-21,3.67,,
1996-02-22,3.66,,
1996-02-23,3.63,,
1996-02-26,3.59,,
