COP,dcf,Deviation
4.64,,
4.65,,
4.59,,
4.62,,
4.53,,
4.51,,
4.42,,
4.46,,
4.38,,
4.34,,
4.27,,
4.21,,
4.16,,
4.29,,
4.24,,
4.51,,
4.38,,
4.42,,
4.3,,
4.29,,
4.3,,
4.27,,
4.22,,
4.3,,
4.29,,
4.32,,
4.42,,
4.42,,
4.29,,
4.3,,
4.32,,
4.34,,
4.38,,
4.42,,
4.35,,
4.3,,
4.35,,
4.3,,
4.24,,
4.29,,
4.26,,
4.24,,
4.24,,
4.13,,
4.0,,
3.99,,
4.19,,
4.27,,
4.24,,
4.24,,
4.3,,
4.24,,
4.26,,
4.21,,
4.27,,
4.18,,
4.19,,
4.15,,
4.15,,
4.15,,
4.15,,
4.16,,
4.15,,
4.15,,
4.18,,
4.15,,
4.27,,
4.26,,
4.21,,
4.29,,
4.42,,
4.38,,
4.38,,
4.26,,
4.35,,
4.42,,
4.45,,
4.56,,
4.7,,
4.78,,
4.72,,
4.76,,
4.73,,
4.67,,
4.69,,
4.76,,
4.78,,
4.76,,
4.86,,
4.91,,
4.92,,
4.97,,
4.96,,
4.97,,
4.91,,
4.86,,
4.8,,
4.73,,
4.69,,
4.62,,
4.73,,
4.84,,
4.81,,
5.13,,
5.32,,
5.16,,
5.38,,
5.35,,
5.3,,
5.29,,
5.42,,
5.43,,
5.51,,
5.51,,
5.53,,
5.46,,
5.19,,
4.92,,
4.94,,
4.99,,
4.92,,
4.94,,
4.78,,
4.75,,
4.78,,
4.86,,
4.84,,
4.92,,
4.96,,
4.91,,
4.91,,
4.97,,
5.08,,
5.21,,
5.24,,
5.24,,
5.24,,
5.23,,
5.18,,
5.03,,
4.97,,
5.07,,
5.08,,
5.05,,
5.21,,
5.27,,
5.34,,
5.4,,
5.32,,
5.29,,
5.26,,
5.35,,
5.46,,
5.42,,
5.42,,
5.3,,
5.24,,
5.27,,
5.21,,
5.15,,
5.21,,
5.43,,
5.45,,
5.38,,
5.27,,
5.26,,
5.19,,
5.34,,
5.27,,
5.29,,
5.3,,
5.26,,
5.1,,
4.97,,
5.07,,
5.0,,
4.92,,
4.89,,
5.0,,
4.99,,
4.92,,
5.03,,
4.96,,
4.92,,
4.89,,
4.78,,
4.73,,
4.59,,
4.43,,
4.46,,
4.42,,
4.46,,
4.51,,
4.51,,
4.51,,
4.53,,
4.54,,
4.48,,
4.51,,
4.56,,
4.7,,
4.69,,
4.65,,
4.65,,
4.54,,
4.46,,
4.54,,
4.73,,
4.72,,
4.8,,
4.78,,
4.65,,
4.62,,
4.57,,
4.57,,
4.57,,
4.57,,
4.43,,
4.34,,
4.27,,
4.35,,
4.45,,
4.48,,
4.42,,
4.49,,
4.72,,
4.84,,
4.8,,
4.83,,
4.86,,
4.78,,
4.67,,
4.72,,
4.72,,
4.84,,
4.8,,
4.73,,
4.7,,
4.8,,
4.89,,
5.03,,
5.11,,
5.02,,
4.97,,
4.96,,
5.0,,
4.99,,
4.97,,
4.96,,
5.07,,
5.45,,
5.3,,
5.32,,
5.21,,
5.3,,
4.96,,
4.86,,
4.84,,
4.88,,
4.99,,
5.05,,
5.11,,
5.11,,
5.11,,
5.27,,
5.19,,
5.19,,
5.19,,
5.18,,
5.16,,
5.23,,
5.26,,
5.18,,
5.08,,
4.86,,
4.78,,
4.86,,
4.89,,
5.05,,
5.08,,
4.99,,
5.16,,
5.02,,
5.1,,
5.24,,
5.32,,
5.34,,
5.42,,
5.51,,
5.5,,
5.54,,
5.56,,
5.45,,
5.42,,
5.46,,
5.65,,
5.57,,
5.46,,
5.46,,
5.4,,
5.38,,
5.24,,
5.35,,
5.54,,
5.53,,
5.56,,
5.67,,
6.1,,
6.8,,
6.7,,
6.8,,
6.69,,
6.4,,
6.61,,
6.83,,
6.86,,
6.88,,
6.69,,
6.61,,
6.99,,
6.97,,
5.75,,
5.86,,
5.75,,
5.83,,
5.69,,
5.53,,
5.45,,
5.65,,
5.72,,
5.59,,
5.62,,
5.67,,
5.62,,
5.59,,
5.59,,
5.54,,
5.51,,
5.5,,
5.62,,
5.84,,
6.04,,
6.1,,
6.19,,
6.0,,
6.0,,
5.99,,
6.1,,
6.07,,
5.99,,
6.38,,
6.32,,
6.35,,
6.37,,
6.35,,
6.35,,
6.32,,
6.23,,
6.11,,
5.97,,
6.16,,
6.08,,
6.19,,
6.26,,
6.15,,
6.08,,
6.26,,
6.27,,
6.37,,
6.26,,
6.34,,
6.34,,
6.27,,
6.11,,
6.15,,
6.23,,
6.24,,
6.24,,
5.65,,
5.23,,
4.97,,
4.96,,
4.97,,
4.88,,
4.91,,
4.92,,
4.86,,
4.83,,
4.84,,
4.83,,
4.76,,
4.78,,
4.78,,
4.88,,
4.97,,
4.91,,
4.99,,
5.03,,
5.07,,
5.13,,
5.15,,
5.11,,
5.1,,
5.13,,
5.13,,
5.13,,
5.08,,
4.97,,
4.92,,
4.96,,
4.96,,
4.86,,
4.99,,
4.99,,
4.96,,
4.99,,
4.99,,
4.96,,
4.94,,
4.91,,
4.88,,
4.84,,
4.86,,
4.86,,
4.84,,
4.89,,
4.97,,
4.92,,
4.89,,
4.89,,
4.94,,
4.83,,
4.8,,
4.88,,
4.92,,
4.96,,
4.94,,
4.97,,
4.97,,
4.81,,
4.86,,
4.75,,
4.76,,
4.76,,
4.76,,
4.76,,
4.76,,
4.83,,
4.84,,
4.86,,
4.84,,
4.92,,
4.94,,
4.92,,
4.48,,
4.53,,
4.48,,
4.57,,
4.53,,
4.48,,
4.43,,
4.43,,
4.34,,
4.48,,
4.57,,
4.67,,
4.72,,
4.91,,
4.96,,
5.0,,
4.86,,
4.81,,
4.72,,
4.67,,
4.76,,
4.76,,
4.57,,
4.76,,
4.76,,
4.62,,
4.57,,
4.57,,
4.53,,
4.48,,
4.57,,
4.62,,
4.76,,
4.76,,
4.62,,
4.62,,
4.72,,
4.57,,
4.67,,
4.67,,
4.72,,
4.67,,
4.57,,
4.67,,
4.67,,
4.57,,
4.53,,
4.43,,
4.53,,
4.43,,
4.43,,
4.38,,
4.34,,
4.43,,
4.43,,
4.43,,
4.43,,
4.43,,
4.62,,
4.62,,
4.67,,
4.72,,
4.76,,
4.81,,
4.72,,
4.76,,
4.76,,
4.76,,
4.72,,
4.72,,
4.81,,
4.81,,
4.81,,
4.76,,
4.81,,
4.81,,
4.91,,
5.0,,
4.96,,
4.96,,
5.0,,
4.91,,
4.86,,
4.86,,
4.91,,
5.0,,
5.0,,
4.96,,
5.0,,
5.0,,
5.0,,
4.96,,
5.1,,
5.0,,
5.0,,
4.96,,
5.0,,
5.05,,
5.0,,
5.05,,
5.0,,
4.96,,
5.0,,
4.91,,
4.91,,
4.86,,
4.76,,
4.86,,
4.62,,
4.29,,
4.38,,
4.48,,
4.57,,
4.62,,
4.53,,
4.57,,
4.57,,
4.57,,
4.53,,
4.53,,
4.53,,
4.48,,
4.53,,
4.62,,
4.62,,
4.62,,
4.62,,
4.76,,
4.57,,
4.72,,
4.76,,
4.81,,
4.62,,
4.67,,
4.57,,
4.57,,
4.53,,
4.38,,
4.34,,
4.24,,
4.29,,
4.0,,
4.15,,
3.95,,
4.0,,
4.15,,
4.05,,
3.86,,
3.81,,
3.76,,
3.81,,
3.76,,
3.67,,
3.67,,
3.62,,
3.62,,
3.67,,
3.72,,
3.81,,
3.86,,
4.1,,
4.05,,
3.76,,
4.1,,
4.1,,
4.0,,
3.91,,
3.86,,
3.76,,
3.62,,
3.67,,
3.86,,
4.0,,
3.86,,
3.86,,
3.91,,
3.95,,
3.91,,
3.95,,
3.81,,
3.76,,
3.81,,
3.81,,
3.86,,
3.76,,
3.76,,
3.86,,
3.76,,
3.91,,
4.0,,
4.0,,
4.0,,
4.05,,
4.05,,
4.15,,
4.24,,
4.15,,
4.1,,
4.15,,
4.1,,
4.1,,
4.1,,
4.05,,
4.0,,
4.0,,
4.0,,
3.72,,
3.67,,
3.76,,
3.86,,
3.76,,
3.86,,
4.0,,
4.0,,
4.0,,
3.86,,
3.81,,
3.86,,
3.86,,
3.91,,
4.0,,
3.91,,
4.0,,
4.05,,
4.05,,
4.05,,
4.05,,
4.05,,
3.95,,
3.86,,
3.86,,
3.91,,
3.91,,
3.76,,
3.81,,
3.81,,
3.76,,
3.76,,
3.72,,
3.67,,
3.76,,
3.72,,
3.81,,
3.67,,
3.72,,
3.76,,
3.72,,
3.76,,
3.67,,
3.67,,
3.72,,
3.67,,
3.67,,
3.67,,
3.67,,
3.62,,
3.53,,
3.43,,
3.43,,
3.43,,
3.53,,
3.43,,
3.43,,
3.48,,
3.43,,
3.34,,
3.38,,
3.24,,
3.29,,
3.29,,
3.24,,
3.24,,
3.43,,
3.72,,
3.72,,
3.72,,
3.72,,
3.76,,
3.81,,
3.86,,
3.76,,
3.91,,
3.86,,
3.76,,
3.81,,
3.76,,
3.76,,
3.76,,
3.91,,
3.91,,
3.91,,
3.91,,
4.0,,
4.05,,
4.24,,
4.24,,
4.19,,
4.1,,
4.1,,
4.05,,
4.0,,
3.95,,
3.91,,
3.95,,
3.91,,
3.91,,
3.86,,
3.86,,
3.86,,
3.81,,
3.86,,
3.76,,
3.86,,
4.0,,
3.95,,
4.0,,
4.05,,
4.05,,
4.15,,
4.1,,
4.1,,
4.1,,
3.86,,
4.0,,
4.05,,
4.05,,
4.05,,
4.05,,
4.0,,
4.0,,
3.81,,
3.81,,
3.76,,
3.76,,
3.91,,
4.0,,
3.95,,
4.0,,
4.0,,
3.95,,
3.95,,
3.95,,
4.05,,
4.1,,
4.1,,
4.19,,
4.19,,
4.0,,
4.1,,
4.1,,
4.1,,
4.19,,
4.19,,
4.15,,
4.19,,
4.19,,
4.24,,
4.24,,
4.24,,
4.19,,
4.15,,
4.1,,
4.15,,
4.1,,
4.24,,
4.19,,
4.24,,
4.15,,
4.19,,
4.34,,
4.48,,
4.53,,
4.48,,
4.53,,
4.57,,
4.48,,
4.48,,
4.62,,
4.67,,
4.53,,
4.53,,
4.48,,
4.72,,
4.96,,
4.86,,
5.0,,
4.96,,
4.91,,
4.86,,
4.81,,
4.86,,
4.96,,
4.86,,
4.81,,
4.86,,
4.81,,
4.81,,
4.76,,
4.81,,
4.81,,
5.24,,
5.29,,
5.34,,
5.1,,
5.19,,
5.29,,
5.15,,
5.24,,
5.19,,
4.96,,
4.86,,
4.91,,
4.91,,
4.76,,
4.72,,
4.76,,
5.0,,
4.96,,
5.05,,
5.19,,
5.1,,
5.24,,
5.24,,
5.24,,
5.34,,
5.43,,
5.38,,
5.38,,
5.62,,
5.86,,
5.77,,
5.81,,
5.81,,
5.81,,
5.77,,
6.0,,
6.1,,
6.05,,
6.05,,
6.15,,
6.1,,
6.34,,
6.48,,
6.29,,
6.05,,
5.91,,
5.96,,
5.81,,
5.48,,
5.81,,
5.91,,
5.91,,
6.0,,
5.91,,
5.86,,
5.72,,
5.53,,
5.57,,
5.67,,
5.34,,
5.67,,
5.62,,
5.86,,
6.0,,
6.38,,
6.48,,
6.1,,
6.15,,
6.1,,
6.1,,
6.05,,
6.15,,
5.81,,
5.72,,
5.91,,
6.05,,
6.05,,
6.05,,
6.05,,
5.96,,
6.19,,
6.0,,
6.05,,
6.05,,
5.86,,
6.05,,
6.15,,
6.19,,
6.19,,
6.29,,
6.34,,
6.29,,
