date,UNM,dcf,Deviation
1986-11-06,7.0,,
1986-11-07,6.97,,
1986-11-10,6.78,,
1986-11-11,6.88,,
1986-11-12,6.88,,
1986-11-13,6.81,,
1986-11-14,6.88,,
1986-11-17,6.75,,
1986-11-18,6.63,,
1986-11-19,6.53,,
1986-11-20,6.63,,
1986-11-21,6.72,,
1986-11-24,6.66,,
1986-11-25,6.69,,
1986-11-26,6.69,,
1986-11-28,6.72,,
1986-12-01,6.75,,
1986-12-02,6.88,,
1986-12-03,6.97,,
1986-12-04,6.91,,
1986-12-05,6.84,,
1986-12-08,6.75,,
1986-12-09,6.75,,
1986-12-10,6.72,,
1986-12-11,6.69,,
1986-12-12,6.75,,
1986-12-15,6.72,,
1986-12-16,6.66,,
1986-12-17,6.63,,
1986-12-18,6.59,,
1986-12-19,6.63,,
1986-12-22,6.56,,
1986-12-23,6.56,,
1986-12-24,6.53,,
1986-12-26,6.56,,
1986-12-29,6.53,,
1986-12-30,6.56,,
1986-12-31,6.72,,
1987-01-02,6.81,,
1987-01-05,6.94,,
1987-01-06,6.97,,
1987-01-07,7.16,,
1987-01-08,7.56,,
1987-01-09,7.63,,
1987-01-12,7.63,,
1987-01-13,7.41,,
1987-01-14,7.5,,
1987-01-15,7.5,,
1987-01-16,7.63,,
1987-01-19,7.56,,
1987-01-20,7.59,,
1987-01-21,7.53,,
1987-01-22,7.44,,
1987-01-23,7.63,,
1987-01-26,7.38,,
1987-01-27,7.47,,
1987-01-28,7.44,,
1987-01-29,7.38,,
1987-01-30,7.38,,
1987-02-02,7.53,,
1987-02-03,7.53,,
1987-02-04,7.47,,
1987-02-05,7.41,,
1987-02-06,7.53,,
1987-02-09,7.5,,
1987-02-10,7.47,,
1987-02-11,7.5,,
1987-02-12,7.53,,
1987-02-13,7.75,,
1987-02-17,7.5,,
1987-02-18,7.38,,
1987-02-19,7.75,,
1987-02-20,7.25,,
1987-02-23,7.0,,
1987-02-24,6.97,,
1987-02-25,7.0,,
1987-02-26,6.94,,
1987-02-27,6.91,,
1987-03-02,6.94,,
1987-03-03,6.88,,
1987-03-04,6.88,,
1987-03-05,6.88,,
1987-03-06,6.97,,
1987-03-09,6.88,,
1987-03-10,6.88,,
1987-03-11,6.75,,
1987-03-12,6.75,,
1987-03-13,6.56,,
1987-03-16,6.44,,
1987-03-17,6.25,,
1987-03-18,6.25,,
1987-03-19,6.22,,
1987-03-20,6.19,,
1987-03-23,6.34,,
1987-03-24,6.16,,
1987-03-25,6.0,,
1987-03-26,6.31,,
1987-03-27,6.31,,
1987-03-30,6.16,,
1987-03-31,6.19,,
1987-04-01,6.06,,
1987-04-02,6.25,,
1987-04-03,6.38,,
1987-04-06,6.22,,
1987-04-07,6.19,,
1987-04-08,6.13,,
1987-04-09,6.19,,
1987-04-10,6.16,,
1987-04-13,5.94,,
1987-04-14,5.75,,
1987-04-15,5.84,,
1987-04-16,5.84,,
1987-04-20,5.88,,
1987-04-21,5.78,,
1987-04-22,5.5,,
1987-04-23,5.44,,
1987-04-24,5.41,,
1987-04-27,5.47,,
1987-04-28,5.34,,
1987-04-29,5.44,,
1987-04-30,5.34,,
1987-05-01,5.25,,
1987-05-04,5.09,,
1987-05-05,5.34,,
1987-05-06,5.28,,
1987-05-07,5.31,,
1987-05-08,5.66,,
1987-05-11,5.69,,
1987-05-12,5.69,,
1987-05-13,5.69,,
1987-05-14,5.75,,
1987-05-15,5.69,,
1987-05-18,5.63,,
1987-05-19,5.63,,
1987-05-20,5.41,,
1987-05-21,5.53,,
1987-05-22,5.53,,
1987-05-26,5.75,,
1987-05-27,5.78,,
