date,WEC,dcf,Deviation
1980-03-17,2.21,,
1980-03-18,2.24,,
1980-03-19,2.28,,
1980-03-20,2.33,,
1980-03-21,2.36,,
1980-03-24,2.28,,
1980-03-25,2.25,,
1980-03-26,2.28,,
1980-03-27,2.26,,
1980-03-28,2.25,,
1980-03-31,2.26,,
1980-04-01,2.33,,
1980-04-02,2.43,,
1980-04-03,2.54,,
1980-04-07,2.53,,
1980-04-08,2.54,,
1980-04-09,2.61,,
1980-04-10,2.68,,
1980-04-11,2.67,,
1980-04-14,2.67,,
1980-04-15,2.58,,
1980-04-16,2.72,,
1980-04-17,2.72,,
1980-04-18,2.71,,
1980-04-21,2.67,,
1980-04-22,2.68,,
1980-04-23,2.69,,
1980-04-24,2.67,,
1980-04-25,2.68,,
1980-04-28,2.69,,
1980-04-29,2.71,,
1980-04-30,2.72,,
1980-05-01,2.72,,
1980-05-02,2.64,,
1980-05-05,2.65,,
1980-05-06,2.71,,
1980-05-07,2.76,,
1980-05-08,2.71,,
1980-05-09,2.71,,
1980-05-12,2.69,,
1980-05-13,2.65,,
1980-05-14,2.67,,
1980-05-15,2.67,,
1980-05-16,2.65,,
1980-05-19,2.65,,
1980-05-20,2.69,,
1980-05-21,2.68,,
1980-05-22,2.69,,
1980-05-23,2.72,,
1980-05-27,2.71,,
1980-05-28,2.72,,
1980-05-29,2.75,,
1980-05-30,2.78,,
1980-06-02,2.76,,
1980-06-03,2.75,,
1980-06-04,2.76,,
1980-06-05,2.79,,
1980-06-06,2.81,,
1980-06-09,2.81,,
1980-06-10,2.78,,
1980-06-11,2.82,,
1980-06-12,2.83,,
1980-06-13,2.86,,
1980-06-16,2.86,,
1980-06-17,2.89,,
1980-06-18,2.92,,
1980-06-19,2.9,,
1980-06-20,2.9,,
1980-06-23,2.9,,
1980-06-24,2.89,,
1980-06-25,2.89,,
1980-06-26,2.89,,
1980-06-27,2.89,,
1980-06-30,2.83,,
1980-07-01,2.83,,
1980-07-02,2.79,,
1980-07-03,2.79,,
1980-07-07,2.78,,
1980-07-08,2.81,,
1980-07-09,2.81,,
1980-07-10,2.81,,
1980-07-11,2.78,,
1980-07-14,2.81,,
1980-07-15,2.78,,
1980-07-16,2.81,,
1980-07-17,2.79,,
1980-07-18,2.81,,
1980-07-21,2.83,,
1980-07-22,2.79,,
1980-07-23,2.79,,
1980-07-24,2.79,,
1980-07-25,2.82,,
1980-07-28,2.81,,
1980-07-29,2.81,,
1980-07-30,2.78,,
1980-07-31,2.71,,
1980-08-01,2.69,,
1980-08-04,2.64,,
1980-08-05,2.61,,
1980-08-06,2.6,,
1980-08-07,2.58,,
1980-08-08,2.57,,
1980-08-11,2.57,,
1980-08-12,2.58,,
1980-08-13,2.6,,
1980-08-14,2.61,,
1980-08-15,2.61,,
1980-08-18,2.58,,
1980-08-19,2.58,,
1980-08-20,2.6,,
1980-08-21,2.61,,
1980-08-22,2.69,,
1980-08-25,2.71,,
1980-08-26,2.75,,
1980-08-27,2.71,,
1980-08-28,2.69,,
1980-08-29,2.68,,
1980-09-02,2.68,,
1980-09-03,2.65,,
1980-09-04,2.67,,
1980-09-05,2.63,,
1980-09-08,2.61,,
1980-09-09,2.64,,
1980-09-10,2.63,,
1980-09-11,2.64,,
1980-09-12,2.61,,
1980-09-15,2.58,,
1980-09-16,2.53,,
1980-09-17,2.58,,
1980-09-18,2.56,,
1980-09-19,2.6,,
1980-09-22,2.56,,
1980-09-23,2.56,,
1980-09-24,2.58,,
1980-09-25,2.57,,
1980-09-26,2.58,,
1980-09-29,2.57,,
1980-09-30,2.57,,
1980-10-01,2.58,,
1980-10-02,2.6,,
1980-10-03,2.6,,
1980-10-06,2.6,,
1980-10-07,2.61,,
1980-10-08,2.6,,
1980-10-09,2.58,,
1980-10-10,2.58,,
1980-10-13,2.58,,
1980-10-14,2.6,,
1980-10-15,2.6,,
1980-10-16,2.57,,
1980-10-17,2.56,,
1980-10-20,2.54,,
1980-10-21,2.53,,
1980-10-22,2.54,,
1980-10-23,2.53,,
1980-10-24,2.53,,
1980-10-27,2.5,,
1980-10-28,2.53,,
1980-10-29,2.51,,
1980-10-30,2.5,,
1980-10-31,2.51,,
1980-11-03,2.39,,
1980-11-05,2.4,,
1980-11-06,2.33,,
1980-11-07,2.33,,
1980-11-10,2.33,,
1980-11-11,2.33,,
1980-11-12,2.42,,
1980-11-13,2.39,,
1980-11-14,2.39,,
1980-11-17,2.33,,
1980-11-18,2.42,,
1980-11-19,2.36,,
1980-11-20,2.38,,
1980-11-21,2.35,,
1980-11-24,2.36,,
1980-11-25,2.35,,
1980-11-26,2.38,,
1980-11-28,2.39,,
1980-12-01,2.35,,
1980-12-02,2.31,,
1980-12-03,2.31,,
1980-12-04,2.28,,
1980-12-05,2.25,,
1980-12-08,2.19,,
1980-12-09,2.28,,
1980-12-10,2.24,,
1980-12-11,2.25,,
1980-12-12,2.25,,
1980-12-15,2.19,,
1980-12-16,2.19,,
1980-12-17,2.29,,
1980-12-18,2.44,,
1980-12-19,2.5,,
1980-12-22,2.53,,
1980-12-23,2.58,,
1980-12-24,2.57,,
1980-12-26,2.53,,
1980-12-29,2.51,,
1980-12-30,2.49,,
1980-12-31,2.47,,
1981-01-02,2.46,,
1981-01-05,2.6,,
1981-01-06,2.58,,
1981-01-07,2.5,,
1981-01-08,2.51,,
1981-01-09,2.53,,
1981-01-12,2.54,,
1981-01-13,2.53,,
1981-01-14,2.56,,
1981-01-15,2.57,,
1981-01-16,2.58,,
1981-01-19,2.58,,
1981-01-20,2.6,,
1981-01-21,2.56,,
1981-01-22,2.53,,
1981-01-23,2.56,,
1981-01-26,2.51,,
1981-01-27,2.47,,
1981-01-28,2.42,,
1981-01-29,2.46,,
1981-01-30,2.44,,
1981-02-02,2.43,,
1981-02-03,2.32,,
1981-02-04,2.33,,
1981-02-05,2.35,,
1981-02-06,2.35,,
1981-02-09,2.31,,
1981-02-10,2.31,,
1981-02-11,2.31,,
1981-02-12,2.31,,
1981-02-13,2.26,,
1981-02-17,2.28,,
1981-02-18,2.28,,
1981-02-19,2.26,,
1981-02-20,2.28,,
1981-02-23,2.26,,
1981-02-24,2.32,,
1981-02-25,2.35,,
1981-02-26,2.33,,
1981-02-27,2.36,,
1981-03-02,2.29,,
1981-03-03,2.28,,
1981-03-04,2.26,,
1981-03-05,2.29,,
1981-03-06,2.31,,
1981-03-09,2.32,,
1981-03-10,2.35,,
1981-03-11,2.39,,
1981-03-12,2.39,,
1981-03-13,2.43,,
1981-03-16,2.46,,
1981-03-17,2.5,,
1981-03-18,2.47,,
1981-03-19,2.49,,
1981-03-20,2.49,,
1981-03-23,2.47,,
1981-03-24,2.44,,
1981-03-25,2.47,,
1981-03-26,2.5,,
1981-03-27,2.47,,
1981-03-30,2.47,,
1981-03-31,2.53,,
1981-04-01,2.53,,
1981-04-02,2.51,,
1981-04-03,2.53,,
1981-04-06,2.51,,
1981-04-07,2.53,,
1981-04-08,2.53,,
1981-04-09,2.49,,
1981-04-10,2.5,,
1981-04-13,2.42,,
1981-04-14,2.42,,
1981-04-15,2.44,,
1981-04-16,2.51,,
1981-04-20,2.5,,
1981-04-21,2.53,,
1981-04-22,2.51,,
1981-04-23,2.54,,
1981-04-24,2.56,,
1981-04-27,2.58,,
1981-04-28,2.57,,
1981-04-29,2.56,,
1981-04-30,2.56,,
1981-05-01,2.5,,
1981-05-04,2.47,,
1981-05-05,2.42,,
1981-05-06,2.42,,
1981-05-07,2.44,,
1981-05-08,2.46,,
1981-05-11,2.42,,
1981-05-12,2.44,,
