date,MA,dcf,Deviation
2006-05-25,4.6,943792000.0,-0.9999999951260448
2006-05-26,4.49,934792000.0,-0.9999999951967924
2006-05-30,4.4,943792000.0,-0.9999999953379558
2006-05-31,4.49,969792000.0,-0.9999999953701413
2006-06-01,4.75,964792000.0,-0.999999995076659
2006-06-02,4.7,986792000.0,-0.9999999952370915
2006-06-05,4.92,977792000.0,-0.999999994968255
2006-06-06,4.83,970792000.0,-0.9999999950246808
2006-06-07,4.76,971792000.0,-0.9999999951018325
2006-06-08,4.77,972792000.0,-0.999999995096588
2006-06-09,4.78,964792000.0,-0.9999999950455642
2006-06-12,4.7,949792000.0,-0.9999999950515481
2006-06-13,4.55,945792000.0,-0.9999999951892171
2006-06-14,4.51,954792000.0,-0.9999999952764581
2006-06-15,4.6,944792000.0,-0.9999999951312035
2006-06-16,4.5,937792000.0,-0.9999999952014946
2006-06-19,4.43,934792000.0,-0.9999999952609778
2006-06-20,4.4,947792000.0,-0.9999999953576312
2006-06-21,4.53,960792000.0,-0.9999999952851397
2006-06-22,4.66,964792000.0,-0.9999999951699433
2006-06-23,4.7,969792000.0,-0.9999999951535999
2006-06-26,4.75,967792000.0,-0.9999999950919206
2006-06-27,4.73,964792000.0,-0.9999999950973889
2006-06-28,4.7,974792000.0,-0.9999999951784586
2006-06-29,4.8,974792000.0,-0.9999999950758726
2006-06-30,4.8,1849006710.0,-0.9999999974040116
2006-07-03,4.73,1853060520.0,-0.999999997447466
2006-07-05,4.76,1842250360.0,-0.9999999974162035
2006-07-06,4.68,1832791470.0,-0.999999997446518
2006-07-07,4.61,1838196550.0,-0.9999999974921071
2006-07-10,4.65,1836845280.0,-0.9999999974684858
2006-07-11,4.64,1826035120.0,-0.9999999974589755
2006-07-12,4.56,1813873690.0,-0.9999999974860433
2006-07-13,4.47,1804414800.0,-0.9999999975227426
2006-07-14,4.4,1804414800.0,-0.9999999975615363
2006-07-17,4.4,1803063530.0,-0.9999999975597088
2006-07-18,4.39,1821981310.0,-0.9999999975905352
2006-07-19,4.53,1826035120.0,-0.9999999975192153
