date,AEE,dcf,Deviation
1998-01-02,42.81,,
1998-01-05,42.5,,
1998-01-06,41.88,,
1998-01-07,41.5,,
1998-01-08,41.0,,
1998-01-09,41.38,,
1998-01-12,41.75,,
1998-01-13,41.44,,
1998-01-14,41.25,,
1998-01-15,40.31,,
1998-01-16,40.5,,
1998-01-20,37.06,,
1998-01-21,36.81,,
1998-01-22,36.38,,
1998-01-23,36.0,,
1998-01-26,36.19,,
1998-01-27,36.25,,
1998-01-28,36.5,,
1998-01-29,36.75,,
1998-01-30,36.63,,
1998-02-02,36.69,,
1998-02-03,36.63,,
1998-02-04,36.5,,
1998-02-05,36.94,,
1998-02-06,37.56,,
1998-02-09,37.88,,
1998-02-10,37.94,,
1998-02-11,37.75,,
1998-02-12,37.81,,
1998-02-13,37.5,,
1998-02-17,38.0,,
1998-02-18,38.0,,
1998-02-19,38.19,,
1998-02-20,38.31,,
1998-02-23,38.63,,
1998-02-24,38.5,,
1998-02-25,38.38,,
1998-02-26,38.19,,
1998-02-27,38.44,,
1998-03-02,38.44,,
1998-03-03,38.44,,
1998-03-04,38.38,,
1998-03-05,38.31,,
1998-03-06,38.13,,
1998-03-09,37.81,,
1998-03-10,38.13,,
1998-03-11,38.75,,
1998-03-12,38.56,,
1998-03-13,38.69,,
1998-03-16,39.5,,
1998-03-17,40.31,,
1998-03-18,40.88,,
1998-03-19,41.5,,
1998-03-20,42.31,,
1998-03-23,42.06,,
1998-03-24,42.06,,
1998-03-25,42.44,,
1998-03-26,41.94,,
1998-03-27,41.38,,
1998-03-30,41.5,,
1998-03-31,42.13,,
1998-04-01,42.0,,
1998-04-02,42.19,,
1998-04-03,42.5,,
1998-04-06,42.19,,
1998-04-07,41.81,,
1998-04-08,41.88,,
1998-04-09,41.88,,
1998-04-13,41.81,,
1998-04-14,42.25,,
1998-04-15,42.31,,
1998-04-16,41.94,,
1998-04-17,42.13,,
1998-04-20,41.69,,
1998-04-21,41.31,,
1998-04-22,41.0,,
1998-04-23,39.75,,
1998-04-24,39.88,,
1998-04-27,39.56,,
1998-04-28,39.25,,
1998-04-29,39.06,,
1998-04-30,39.63,,
1998-05-01,39.31,,
1998-05-04,39.25,,
1998-05-05,38.94,,
1998-05-06,39.0,,
1998-05-07,39.0,,
1998-05-08,38.81,,
1998-05-11,38.88,,
1998-05-12,38.94,,
1998-05-13,38.69,,
1998-05-14,38.69,,
1998-05-15,38.56,,
1998-05-18,38.38,,
1998-05-19,38.31,,
1998-05-20,38.94,,
1998-05-21,39.0,,
1998-05-22,38.56,,
1998-05-26,38.19,,
1998-05-27,38.25,,
1998-05-28,38.69,,
1998-05-29,39.13,,
1998-06-01,40.56,,
1998-06-02,40.38,,
1998-06-03,40.5,,
1998-06-04,40.31,,
1998-06-05,40.88,,
1998-06-08,39.81,,
1998-06-09,39.38,,
1998-06-10,40.13,,
1998-06-11,40.31,,
1998-06-12,40.13,,
1998-06-15,39.81,,
1998-06-16,39.81,,
1998-06-17,39.56,,
1998-06-18,40.19,,
1998-06-19,39.69,,
1998-06-22,39.69,,
1998-06-23,39.75,,
1998-06-24,39.63,,
1998-06-25,39.38,,
1998-06-26,39.44,,
1998-06-29,39.88,,
1998-06-30,39.75,,
1998-07-01,40.31,,
1998-07-02,40.38,,
1998-07-06,40.19,,
1998-07-07,40.25,,
1998-07-08,40.31,,
1998-07-09,40.13,,
1998-07-10,39.88,,
1998-07-13,39.44,,
1998-07-14,39.63,,
1998-07-15,39.5,,
1998-07-16,39.31,,
1998-07-17,39.31,,
1998-07-20,39.06,,
1998-07-21,39.0,,
1998-07-22,39.5,,
1998-07-23,39.0,,
1998-07-24,38.88,,
1998-07-27,38.94,,
1998-07-28,38.5,,
1998-07-29,38.31,,
1998-07-30,38.5,,
1998-07-31,37.81,,
1998-08-03,38.31,,
1998-08-04,37.38,,
1998-08-05,37.75,,
1998-08-06,37.63,,
1998-08-07,38.06,,
1998-08-10,38.13,,
1998-08-11,37.88,,
1998-08-12,39.06,,
1998-08-13,38.56,,
