date,GRMN,dcf,Deviation
2000-12-08,10.0,,
2000-12-11,10.59,,
2000-12-12,9.94,,
2000-12-13,9.94,,
2000-12-14,10.06,,
2000-12-15,10.06,,
2000-12-18,10.03,,
2000-12-19,9.81,,
2000-12-20,9.13,,
2000-12-21,9.09,,
2000-12-22,9.63,,
2000-12-26,9.5,,
2000-12-27,9.28,,
2000-12-28,9.31,,
2000-12-29,9.88,,
2001-01-02,9.63,,
2001-01-03,8.81,,
2001-01-04,9.03,,
2001-01-05,9.06,,
2001-01-08,8.75,,
2001-01-09,8.63,,
2001-01-10,8.5,,
2001-01-11,9.09,,
2001-01-12,9.56,,
2001-01-16,9.5,,
2001-01-17,9.69,,
2001-01-18,9.5,,
2001-01-19,9.19,,
2001-01-22,8.94,,
2001-01-23,8.94,,
2001-01-24,8.5,,
2001-01-25,8.94,,
2001-01-26,9.31,,
2001-01-29,9.97,,
2001-01-30,10.03,,
2001-01-31,9.72,,
2001-02-01,9.94,,
2001-02-02,10.81,,
2001-02-05,11.94,,
2001-02-06,12.38,,
2001-02-07,12.19,,
2001-02-08,12.56,,
2001-02-09,12.0,,
2001-02-12,11.75,,
2001-02-13,12.19,,
2001-02-14,11.13,,
2001-02-15,10.63,,
2001-02-16,10.69,,
2001-02-20,9.81,,
2001-02-21,9.81,,
2001-02-22,9.28,,
2001-02-23,10.25,,
2001-02-26,10.61,,
2001-02-27,11.0,,
2001-02-28,10.94,,
2001-03-01,10.0,,
2001-03-02,10.06,,
2001-03-05,10.44,,
2001-03-06,10.0,,
2001-03-07,10.31,,
2001-03-08,9.94,,
2001-03-09,9.81,,
2001-03-12,9.06,,
2001-03-13,9.44,,
2001-03-14,9.91,,
2001-03-15,10.13,,
2001-03-16,9.84,,
2001-03-19,9.69,,
2001-03-20,9.56,,
2001-03-21,9.97,,
2001-03-22,9.81,,
2001-03-23,10.0,,
2001-03-26,10.13,,
2001-03-27,9.88,,
2001-03-28,9.38,,
2001-03-29,9.53,,
2001-03-30,9.94,,
2001-04-02,9.88,,
2001-04-03,9.25,,
2001-04-04,10.03,,
2001-04-05,10.13,,
2001-04-06,9.56,,
2001-04-09,9.13,,
2001-04-10,9.28,,
2001-04-11,9.16,,
2001-04-12,9.05,,
2001-04-16,9.03,,
2001-04-17,9.2,,
2001-04-18,9.0,,
2001-04-19,9.0,,
2001-04-20,9.28,,
2001-04-23,9.24,,
2001-04-24,9.2,,
2001-04-25,9.1,,
2001-04-26,9.33,,
2001-04-27,10.03,,
2001-04-30,10.5,,
2001-05-01,10.77,,
2001-05-02,10.5,,
2001-05-03,10.53,,
2001-05-04,10.93,,
2001-05-07,10.9,,
2001-05-08,11.51,,
2001-05-09,11.71,,
2001-05-10,12.24,,
2001-05-11,11.95,,
2001-05-14,11.4,,
2001-05-15,11.78,,
2001-05-16,11.54,,
2001-05-17,12.34,,
2001-05-18,12.13,,
2001-05-21,11.83,,
2001-05-22,11.5,,
2001-05-23,11.47,,
2001-05-24,11.65,,
2001-05-25,11.54,,
2001-05-29,11.03,,
2001-05-30,10.15,,
2001-05-31,10.01,,
2001-06-01,10.01,,
2001-06-04,9.94,,
2001-06-05,10.43,,
2001-06-06,10.66,,
2001-06-07,11.05,,
2001-06-08,11.3,,
2001-06-11,10.98,,
2001-06-12,11.08,,
2001-06-13,11.0,,
2001-06-14,11.0,,
2001-06-15,11.28,,
2001-06-18,11.13,,
2001-06-19,11.13,,
2001-06-20,11.23,,
2001-06-21,11.04,,
2001-06-22,11.25,,
2001-06-25,11.21,,
2001-06-26,11.18,,
2001-06-27,11.5,,
2001-06-28,11.5,,
2001-06-29,11.43,,
2001-07-02,11.58,,
2001-07-03,11.58,,
2001-07-05,11.6,,
2001-07-06,11.67,,
2001-07-09,11.65,,
2001-07-10,11.68,,
2001-07-11,11.21,,
2001-07-12,11.38,,
2001-07-13,11.38,,
2001-07-16,11.3,,
2001-07-17,11.32,,
2001-07-18,11.2,,
2001-07-19,11.35,,
2001-07-20,11.43,,
2001-07-23,11.35,,
2001-07-24,10.6,,
2001-07-25,10.41,,
2001-07-26,10.5,,
2001-07-27,11.0,,
2001-07-30,11.0,,
2001-07-31,10.9,,
2001-08-01,10.28,,
2001-08-02,9.86,,
2001-08-03,9.6,,
2001-08-06,9.91,,
2001-08-07,9.9,,
2001-08-08,9.78,,
2001-08-09,9.7,,
2001-08-10,9.75,,
2001-08-13,9.53,,
2001-08-14,9.55,,
2001-08-15,9.65,,
2001-08-16,9.59,,
2001-08-17,9.53,,
2001-08-20,9.48,,
2001-08-21,9.51,,
2001-08-22,9.92,,
2001-08-23,9.85,,
2001-08-24,10.01,,
2001-08-27,9.85,,
2001-08-28,9.82,,
2001-08-29,9.95,,
2001-08-30,9.88,,
2001-08-31,9.93,,
2001-09-04,10.03,,
2001-09-05,10.09,,
2001-09-06,10.1,,
2001-09-07,9.85,,
2001-09-10,10.0,,
2001-09-17,9.5,,
2001-09-18,9.0,,
2001-09-19,8.4,,
2001-09-20,7.2,,
2001-09-21,7.25,,
2001-09-24,7.9,,
2001-09-25,7.7,,
2001-09-26,7.98,,
2001-09-27,7.98,,
2001-09-28,8.06,,
2001-10-01,7.98,,
2001-10-02,7.75,,
2001-10-03,7.78,,
2001-10-04,7.99,,
2001-10-05,8.04,,
2001-10-08,8.0,,
2001-10-09,7.95,,
2001-10-10,8.0,,
2001-10-11,8.61,,
2001-10-12,8.7,,
2001-10-15,8.71,,
2001-10-16,8.6,,
2001-10-17,8.43,,
2001-10-18,8.4,,
2001-10-19,8.28,,
2001-10-22,8.5,,
2001-10-23,8.52,,
2001-10-24,8.53,,
2001-10-25,8.46,,
2001-10-26,8.57,,
2001-10-29,8.5,,
2001-10-30,8.29,,
2001-10-31,8.41,,
2001-11-01,8.45,,
2001-11-02,8.45,,
2001-11-05,8.4,,
2001-11-06,8.43,,
2001-11-07,8.48,,
2001-11-08,8.41,,
2001-11-09,8.48,,
2001-11-12,8.43,,
2001-11-13,8.53,,
2001-11-14,8.29,,
2001-11-15,8.45,,
2001-11-16,8.53,,
2001-11-19,8.52,,
2001-11-20,8.5,,
2001-11-21,8.45,,
2001-11-23,8.47,,
2001-11-26,8.6,,
2001-11-27,8.55,,
2001-11-28,8.53,,
2001-11-29,8.61,,
2001-11-30,8.73,,
2001-12-03,8.97,,
2001-12-04,8.94,,
2001-12-05,9.0,,
2001-12-06,9.0,,
2001-12-07,9.02,,
2001-12-10,9.47,,
2001-12-11,9.55,,
2001-12-12,9.7,,
2001-12-13,9.63,,
2001-12-14,9.75,,
2001-12-17,10.01,,
2001-12-18,10.52,,
2001-12-19,10.01,,
2001-12-20,10.28,,
2001-12-21,10.51,,
2001-12-24,10.55,,
2001-12-26,10.55,,
2001-12-27,10.58,,
2001-12-28,10.66,,
2001-12-31,10.66,,
2002-01-02,10.63,,
2002-01-03,10.65,,
2002-01-04,10.68,,
2002-01-07,10.47,,
2002-01-08,10.13,,
2002-01-09,10.12,,
2002-01-10,10.32,,
2002-01-11,10.15,,
2002-01-14,10.0,,
2002-01-15,10.36,,
2002-01-16,9.94,,
2002-01-17,9.91,,
2002-01-18,9.78,,
2002-01-22,9.7,,
2002-01-23,9.73,,
2002-01-24,9.69,,
2002-01-25,9.65,,
2002-01-28,9.64,,
2002-01-29,9.5,,
2002-01-30,9.53,,
2002-01-31,9.57,,
2002-02-01,9.47,,
2002-02-04,9.48,,
2002-02-05,9.38,,
2002-02-06,9.43,,
2002-02-07,9.43,,
2002-02-08,9.5,,
2002-02-11,9.5,,
2002-02-12,9.74,,
2002-02-13,9.78,,
2002-02-14,10.0,,
2002-02-15,9.97,,
2002-02-19,9.97,,
2002-02-20,9.95,,
2002-02-21,9.86,,
2002-02-22,9.91,,
2002-02-25,10.0,,
2002-02-26,10.04,,
2002-02-27,10.08,,
2002-02-28,10.08,,
2002-03-01,10.08,,
2002-03-04,10.55,,
2002-03-05,10.73,,
2002-03-06,10.74,,
2002-03-07,10.88,,
2002-03-08,11.03,,
2002-03-11,11.06,,
2002-03-12,11.03,,
2002-03-13,10.4,,
2002-03-14,10.72,,
2002-03-15,10.6,,
2002-03-18,10.8,,
2002-03-19,10.87,,
2002-03-20,11.02,,
2002-03-21,11.06,,
2002-03-22,11.22,,
2002-03-25,11.2,,
2002-03-26,11.27,,
2002-03-27,11.3,,
2002-03-28,11.46,,
2002-04-01,11.5,,
2002-04-02,11.58,,
2002-04-03,11.53,,
2002-04-04,11.55,,
2002-04-05,11.61,,
2002-04-08,11.53,,
2002-04-09,11.5,,
2002-04-10,11.53,,
2002-04-11,11.58,,
2002-04-12,11.58,,
2002-04-15,11.51,,
2002-04-16,11.58,,
2002-04-17,11.54,,
2002-04-18,11.49,,
2002-04-19,11.47,,
2002-04-22,11.34,,
2002-04-23,11.28,,
2002-04-24,11.23,,
2002-04-25,11.18,,
2002-04-26,11.25,,
2002-04-29,11.25,,
2002-04-30,11.26,,
2002-05-01,11.4,,
2002-05-02,11.45,,
2002-05-03,11.5,,
2002-05-06,11.49,,
2002-05-07,11.44,,
2002-05-08,11.47,,
2002-05-09,11.47,,
2002-05-10,11.48,,
2002-05-13,11.48,,
2002-05-14,11.5,,
2002-05-15,11.64,,
2002-05-16,11.83,,
2002-05-17,12.1,,
2002-05-20,11.96,,
2002-05-21,12.0,,
2002-05-22,12.0,,
2002-05-23,12.07,,
2002-05-24,12.01,,
2002-05-28,12.1,,
2002-05-29,12.05,,
2002-05-30,12.0,,
2002-05-31,11.99,,
2002-06-03,11.78,,
2002-06-04,11.85,,
2002-06-05,11.99,,
2002-06-06,11.89,,
2002-06-07,11.97,,
2002-06-10,11.97,,
2002-06-11,11.6,,
2002-06-12,10.9,,
2002-06-13,11.07,,
2002-06-14,11.78,,
2002-06-17,12.0,,
2002-06-18,11.88,,
2002-06-19,11.46,,
2002-06-20,11.51,,
2002-06-21,11.54,,
2002-06-24,11.58,,
2002-06-25,11.11,,
2002-06-26,11.03,,
2002-06-27,11.01,,
2002-06-28,11.03,,
2002-07-01,10.95,,
2002-07-02,10.5,,
2002-07-03,10.13,,
2002-07-05,9.95,,
2002-07-08,9.9,,
2002-07-09,9.56,,
2002-07-10,9.5,,
2002-07-11,9.4,,
2002-07-12,9.51,,
2002-07-15,9.67,,
2002-07-16,9.68,,
2002-07-17,9.5,,
2002-07-18,9.6,,
2002-07-19,9.53,,
2002-07-22,9.53,,
2002-07-23,9.58,,
2002-07-24,9.26,,
2002-07-25,9.05,,
2002-07-26,9.07,,
2002-07-29,9.43,,
2002-07-30,9.48,,
2002-07-31,10.17,,
2002-08-01,10.01,,
2002-08-02,10.02,,
2002-08-05,9.95,,
2002-08-06,10.0,,
2002-08-07,10.02,,
2002-08-08,10.02,,
2002-08-09,9.99,,
2002-08-12,10.03,,
2002-08-13,9.72,,
2002-08-14,9.62,,
2002-08-15,9.7,,
2002-08-16,9.79,,
2002-08-19,10.63,,
2002-08-20,10.49,,
2002-08-21,10.69,,
2002-08-22,10.48,,
2002-08-23,10.3,,
2002-08-26,10.27,,
2002-08-27,10.47,,
2002-08-28,10.1,,
2002-08-29,10.1,,
2002-08-30,10.09,,
2002-09-03,9.29,,
2002-09-04,9.88,,
2002-09-05,9.84,,
2002-09-06,10.23,,
2002-09-09,10.15,,
2002-09-10,10.42,,
2002-09-11,10.28,,
2002-09-12,10.33,,
2002-09-13,10.37,,
2002-09-16,10.19,,
2002-09-17,10.1,,
2002-09-18,9.64,,
2002-09-19,9.25,,
2002-09-20,9.41,,
2002-09-23,9.23,,
2002-09-24,9.19,,
2002-09-25,9.28,,
2002-09-26,9.4,,
2002-09-27,9.37,,
2002-09-30,9.28,,
2002-10-01,9.5,,
2002-10-02,9.32,,
2002-10-03,9.34,,
2002-10-04,9.4,,
2002-10-07,9.15,,
2002-10-08,9.08,,
2002-10-09,9.0,,
2002-10-10,9.18,,
2002-10-11,9.28,,
2002-10-14,9.25,,
2002-10-15,9.41,,
2002-10-16,9.3,,
2002-10-17,9.5,,
2002-10-18,9.35,,
2002-10-21,9.35,,
2002-10-22,9.15,,
2002-10-23,9.18,,
2002-10-24,9.12,,
2002-10-25,9.29,,
2002-10-28,10.01,,
2002-10-29,9.76,,
2002-10-30,10.4,,
2002-10-31,10.46,,
2002-11-01,10.5,,
2002-11-04,10.96,,
2002-11-05,11.05,,
2002-11-06,11.0,,
2002-11-07,11.04,,
2002-11-08,11.16,,
2002-11-11,11.2,,
2002-11-12,11.3,,
2002-11-13,11.3,,
2002-11-14,11.5,,
2002-11-15,11.65,,
2002-11-18,11.57,,
2002-11-19,11.55,,
2002-11-20,11.74,,
2002-11-21,11.95,,
2002-11-22,12.0,,
2002-11-25,12.05,,
2002-11-26,11.94,,
2002-11-27,12.02,,
2002-11-29,11.9,,
2002-12-02,12.75,,
2002-12-03,12.33,,
2002-12-04,12.36,,
2002-12-05,12.08,,
2002-12-06,12.28,,
2002-12-09,12.01,,
2002-12-10,12.35,,
2002-12-11,12.5,,
2002-12-12,12.5,,
2002-12-13,12.11,,
2002-12-16,14.21,,
2002-12-17,14.0,,
2002-12-18,13.78,,
2002-12-19,14.08,,
2002-12-20,14.48,,
2002-12-23,15.17,,
2002-12-24,14.93,,
2002-12-26,14.91,,
2002-12-27,14.89,,
2002-12-30,14.46,,
2002-12-31,14.65,,
2003-01-02,14.99,,
2003-01-03,15.41,,
2003-01-06,15.87,,
2003-01-07,15.66,,
2003-01-08,15.23,,
2003-01-09,15.5,,
2003-01-10,15.74,,
2003-01-13,15.35,,
2003-01-14,15.48,,
2003-01-15,15.43,,
2003-01-16,15.42,,
2003-01-17,15.13,,
2003-01-21,14.19,,
2003-01-22,14.24,,
2003-01-23,14.47,,
2003-01-24,14.45,,
2003-01-27,14.04,,
2003-01-28,14.34,,
2003-01-29,14.63,,
2003-01-30,14.54,,
2003-01-31,14.69,,
2003-02-03,14.7,,
2003-02-04,14.71,,
2003-02-05,14.74,,
2003-02-06,14.74,,
2003-02-07,14.33,,
2003-02-10,14.38,,
2003-02-11,14.4,,
2003-02-12,15.13,,
2003-02-13,14.88,,
2003-02-14,15.44,,
2003-02-18,16.51,,
2003-02-19,16.52,,
2003-02-20,16.97,,
2003-02-21,16.95,,
2003-02-24,16.91,,
2003-02-25,16.8,,
2003-02-26,16.7,,
2003-02-27,16.51,,
2003-02-28,16.67,,
2003-03-03,16.8,,
2003-03-04,16.45,,
2003-03-05,16.04,,
2003-03-06,16.17,,
2003-03-07,16.0,,
2003-03-10,15.77,,
2003-03-11,15.98,,
2003-03-12,16.18,,
2003-03-13,16.65,,
2003-03-14,16.86,,
2003-03-17,16.8,,
2003-03-18,17.46,,
2003-03-19,17.14,,
2003-03-20,17.33,,
2003-03-21,17.47,,
2003-03-24,17.23,,
2003-03-25,18.45,,
2003-03-26,18.04,,
2003-03-27,17.8,,
2003-03-28,17.75,,
2003-03-31,17.9,,
2003-04-01,17.73,,
2003-04-02,17.99,,
2003-04-03,18.24,,
2003-04-04,17.74,,
2003-04-07,17.6,,
2003-04-08,17.59,,
2003-04-09,17.53,,
2003-04-10,17.58,,
2003-04-11,17.75,,
2003-04-14,18.4,,
2003-04-15,19.1,,
