date,HLT,dcf,Deviation
2013-12-12,44.12,,
2013-12-13,45.35,,
2013-12-16,44.16,,
2013-12-17,44.75,,
2013-12-18,44.8,,
2013-12-19,45.72,,
2013-12-20,45.0,,
2013-12-23,44.24,,
2013-12-24,44.14,,
2013-12-26,44.53,,
2013-12-27,44.32,,
2013-12-30,44.92,,
2013-12-31,45.66,,
2014-01-02,44.86,,
2014-01-03,45.16,,
2014-01-06,45.14,,
2014-01-07,45.14,,
2014-01-08,45.21,,
2014-01-09,44.88,,
2014-01-10,44.51,,
2014-01-13,44.57,,
2014-01-14,45.35,,
2014-01-15,44.96,,
2014-01-16,45.06,,
2014-01-17,45.66,,
2014-01-21,44.98,,
2014-01-22,46.09,,
2014-01-23,46.5,,
2014-01-24,46.07,,
2014-01-27,45.12,,
2014-01-28,44.94,,
2014-01-29,44.45,,
2014-01-30,44.45,,
2014-01-31,44.43,,
2014-02-03,42.99,,
2014-02-04,43.15,,
2014-02-05,42.68,,
2014-02-06,43.5,,
2014-02-07,44.43,,
2014-02-10,43.93,,
2014-02-11,44.51,,
2014-02-12,44.92,,
2014-02-13,45.04,,
2014-02-14,45.14,,
2014-02-18,44.65,,
2014-02-19,44.18,,
2014-02-20,44.1,,
2014-02-21,45.45,,
2014-02-24,45.68,,
2014-02-25,45.9,,
2014-02-26,46.25,,
2014-02-27,46.15,,
2014-02-28,45.88,,
2014-03-03,46.15,,
2014-03-04,46.29,,
2014-03-05,46.72,,
2014-03-06,46.13,,
2014-03-07,46.6,,
2014-03-10,45.92,,
2014-03-11,45.37,,
2014-03-12,45.86,,
2014-03-13,45.25,,
2014-03-14,45.21,,
2014-03-17,45.39,,
2014-03-18,46.31,,
2014-03-19,45.68,,
2014-03-20,45.49,,
2014-03-21,47.18,,
2014-03-24,46.7,,
2014-03-25,46.13,,
2014-03-26,45.84,,
2014-03-27,45.62,,
2014-03-28,45.66,,
2014-03-31,45.64,46.71162436548224,-0.02294127810879809
2014-04-01,46.27,46.55162436548223,-0.006049721557966792
2014-04-02,46.11,45.63162436548223,0.010483423309375572
2014-04-03,45.19,44.74162436548223,0.010021442915328915
2014-04-04,44.3,44.291624365482235,0.00018910199473931577
2014-04-07,43.85,44.27162436548223,-0.009523580205721194
2014-04-08,43.83,44.581624365482234,-0.01685951053107404
2014-04-09,44.14,43.901624365482235,0.005429767986106393
2014-04-10,43.46,44.05162436548223,-0.013430250847817016
2014-04-11,43.61,44.251624365482236,-0.014499453402725848
2014-04-14,43.81,44.31162436548223,-0.01132037862897628
2014-04-15,43.87,44.761624365482234,-0.019919392518065293
2014-04-16,44.32,45.111624365482236,-0.017548123717929243
2014-04-17,44.67,44.48162436548223,0.004234909070990334
2014-04-21,44.04,44.581624365482234,-0.012149049595904682
2014-04-22,44.14,44.541624365482235,-0.009016832484301518
2014-04-23,44.1,44.56162436548223,-0.010359235599135985
2014-04-24,44.12,44.21162436548224,-0.0020724044139345255
2014-04-25,43.77,44.291624365482235,-0.011777043017838551
2014-04-28,43.85,43.721624365482235,0.0029362045985446006
2014-04-29,43.28,45.24162436548223,-0.043358840293517
2014-04-30,44.8,45.751624365482236,-0.020799794076824085
2014-05-01,45.31,45.691624365482234,-0.008352173309262523
2014-05-02,45.25,45.91162436548223,-0.014410824592380633
2014-05-05,45.47,45.91162436548223,-0.009619009816918211
2014-05-06,45.47,46.941624365482234,-0.03135009462016769
2014-05-07,46.5,46.901624365482235,-0.008563122725826378
2014-05-08,46.46,47.78162436548223,-0.02765967844402084
2014-05-09,47.34,47.59162436548223,-0.005287156486819322
2014-05-12,47.15,47.64162436548224,-0.010319219212819974
2014-05-13,47.2,46.71162436548224,0.010455119922540224
2014-05-14,46.27,45.38162436548223,0.019575668498844623
2014-05-15,44.94,45.321624365482236,-0.008420359394110566
2014-05-16,44.88,45.401624365482235,-0.011489112400101975
2014-05-19,44.96,44.37162436548223,0.013260177938752227
2014-05-20,43.93,45.28162436548223,-0.029849290621132396
2014-05-21,44.84,45.56162436548223,-0.015838424892263836
2014-05-22,45.12,45.691624365482234,-0.012510484654909115
2014-05-23,45.25,46.081624365482234,-0.018046767598434932
2014-05-27,45.64,45.60162436548223,0.0008415409549931141
2014-05-28,45.16,45.95162436548223,-0.017227342371750498
2014-05-29,45.51,46.861624365482236,-0.0288428833567671
2014-05-30,46.42,47.181624365482236,-0.016142393902814245
2014-06-02,46.74,47.041624365482235,-0.0064118611878453136
2014-06-03,46.6,47.16162436548223,-0.011908503429183925
2014-06-04,46.72,47.681624365482236,-0.020167609184438273
2014-06-05,47.24,48.21162436548224,-0.020153321491857557
2014-06-06,47.77,48.23162436548223,-0.009570989398660967
2014-06-09,47.79,48.52162436548223,-0.015078315597420566
2014-06-10,48.08,47.251624365482236,0.0175311567727372
2014-06-11,46.81,46.571624365482236,0.005118473700789439
2014-06-12,46.13,46.181624365482236,-0.0011178551250964341
2014-06-13,45.74,46.011624365482234,-0.005903385703678876
2014-06-16,45.57,46.28162436548223,-0.015375959146606166
2014-06-17,45.84,46.30162436548223,-0.009969938891093655
2014-06-18,45.86,46.261624365482234,-0.008681588054696654
2014-06-19,45.82,46.12162436548223,-0.006539760245477644
2014-06-20,45.68,46.28162436548223,-0.012999205920934176
2014-06-23,45.84,46.611624365482236,-0.01655433330175149
2014-06-24,46.17,47.55162436548223,-0.02905525066532011
2014-06-25,47.11,47.35162436548223,-0.005102768251776579
2014-06-26,46.91,47.251624365482236,-0.007229896751058562
2014-06-27,46.81,48.251624365482236,-0.029877219356650886
2014-06-30,47.81,49.043299492385785,-0.025147155781744646
2014-07-01,48.49,49.513299492385784,-0.020667164234190127
2014-07-02,48.96,51.44329949238578,-0.048272554771750964
2014-07-03,50.89,50.823299492385786,0.001312400184175555
2014-07-07,50.27,50.19329949238578,0.0015281025234425982
2014-07-08,49.64,51.28329949238579,-0.03204356015801546
2014-07-09,50.73,50.87329949238579,-0.002816791790893003
2014-07-10,50.32,50.45329949238579,-0.00264203716559519
2014-07-11,49.9,50.74329949238579,-0.016618932959066468
2014-07-14,50.19,50.973299492385785,-0.01536685873165411
2014-07-15,50.42,50.99329949238579,-0.011242643604016833
2014-07-16,50.44,49.94329949238578,0.009945288210081893
2014-07-17,49.39,50.933299492385785,-0.03030040283599722
2014-07-18,50.38,51.503299492385786,-0.021810243294254406
2014-07-21,50.95,52.12329949238579,-0.02251007714040021
2014-07-22,51.57,52.903299492385784,-0.02520257725281727
2014-07-23,52.35,52.45329949238579,-0.0019693611914877174
2014-07-24,51.9,52.42329949238579,-0.009982192983900129
2014-07-25,51.87,52.34329949238579,-0.009042217379793605
2014-07-28,51.79,51.81329949238579,-0.0004496816958976524
2014-07-29,51.26,51.19329949238578,0.0013029148008742997
2014-07-30,50.64,50.23329949238579,0.008096233210320047
2014-07-31,49.68,50.393299492385786,-0.014154649518306806
