date,SLB,dcf,Deviation
1981-12-31,13.97,,
1982-01-04,13.69,,
1982-01-05,13.0,,
1982-01-06,12.88,,
1982-01-07,12.63,,
1982-01-08,12.78,,
1982-01-11,12.31,,
1982-01-12,12.66,,
1982-01-13,12.38,,
1982-01-14,12.66,,
1982-01-15,12.69,,
1982-01-18,12.78,,
1982-01-19,12.41,,
1982-01-20,12.19,,
1982-01-21,12.06,,
1982-01-22,11.81,,
1982-01-25,12.47,,
1982-01-26,12.19,,
1982-01-27,12.53,,
1982-01-28,13.06,,
1982-01-29,13.5,,
1982-02-01,12.72,,
1982-02-02,12.75,,
1982-02-03,12.22,,
1982-02-04,12.5,,
1982-02-05,12.63,,
1982-02-08,12.03,,
1982-02-09,12.16,,
1982-02-10,12.25,,
1982-02-11,11.94,,
1982-02-12,12.0,,
1982-02-16,12.44,,
1982-02-17,12.25,,
1982-02-18,12.34,,
1982-02-19,12.22,,
1982-02-22,11.69,,
1982-02-23,11.75,,
1982-02-24,12.28,,
1982-02-25,12.09,,
1982-02-26,11.97,,
1982-03-01,11.75,,
1982-03-02,11.06,,
1982-03-03,10.75,,
1982-03-04,10.75,,
1982-03-05,10.78,,
1982-03-08,10.06,,
1982-03-09,10.59,,
1982-03-10,10.88,,
1982-03-11,10.81,,
1982-03-12,10.66,,
1982-03-15,11.0,,
1982-03-16,10.84,,
1982-03-17,10.66,,
1982-03-18,10.88,,
1982-03-19,10.72,,
1982-03-22,11.06,,
1982-03-23,11.06,,
1982-03-24,11.13,,
1982-03-25,11.0,,
1982-03-26,10.63,,
1982-03-29,10.75,,
1982-03-30,10.66,,
1982-03-31,10.66,,
1982-04-01,11.06,,
1982-04-02,11.44,,
1982-04-05,11.19,,
1982-04-06,11.41,,
1982-04-07,11.53,,
1982-04-08,11.69,,
1982-04-12,11.53,,
1982-04-13,11.44,,
1982-04-14,11.41,,
1982-04-15,11.31,,
1982-04-16,11.38,,
1982-04-19,11.22,,
1982-04-20,10.84,,
1982-04-21,10.56,,
1982-04-22,11.22,,
1982-04-23,11.75,,
1982-04-26,12.0,,
1982-04-27,11.63,,
1982-04-28,11.66,,
1982-04-29,11.53,,
1982-04-30,11.5,,
1982-05-03,11.66,,
1982-05-04,11.94,,
1982-05-05,11.84,,
1982-05-06,12.0,,
1982-05-07,12.25,,
1982-05-10,12.03,,
1982-05-11,12.22,,
1982-05-12,12.03,,
1982-05-13,12.19,,
1982-05-14,12.19,,
1982-05-17,11.94,,
1982-05-18,11.81,,
1982-05-19,11.5,,
1982-05-20,11.63,,
1982-05-21,11.72,,
1982-05-24,11.75,,
1982-05-25,11.56,,
1982-05-26,11.25,,
1982-05-27,11.22,,
1982-05-28,10.94,,
1982-06-01,11.19,,
1982-06-02,10.78,,
1982-06-03,10.53,,
1982-06-04,10.25,,
1982-06-07,10.22,,
1982-06-08,9.88,,
1982-06-09,9.59,,
1982-06-10,9.88,,
1982-06-11,10.25,,
1982-06-14,10.03,,
1982-06-15,9.94,,
1982-06-16,9.72,,
1982-06-17,9.53,,
1982-06-18,9.59,,
1982-06-21,9.63,,
1982-06-22,9.97,,
1982-06-23,10.34,,
1982-06-24,9.97,,
1982-06-25,9.72,,
1982-06-28,9.88,,
1982-06-29,9.72,,
1982-06-30,9.56,,
1982-07-01,9.22,,
1982-07-02,8.94,,
1982-07-06,9.22,,
1982-07-07,9.19,,
1982-07-08,9.28,,
1982-07-09,9.69,,
1982-07-12,9.38,,
1982-07-13,9.19,,
1982-07-14,9.38,,
1982-07-15,9.19,,
1982-07-16,9.16,,
1982-07-19,9.16,,
1982-07-20,9.25,,
1982-07-21,9.19,,
1982-07-22,9.44,,
1982-07-23,9.88,,
1982-07-26,9.81,,
1982-07-27,9.59,,
1982-07-28,9.34,,
1982-07-29,9.25,,
1982-07-30,8.94,,
1982-08-02,9.31,,
1982-08-03,9.16,,
1982-08-04,8.97,,
1982-08-05,8.97,,
1982-08-06,8.78,,
1982-08-09,8.97,,
1982-08-10,8.75,,
1982-08-11,8.78,,
1982-08-12,8.5,,
1982-08-13,8.53,,
1982-08-16,7.88,,
1982-08-17,8.25,,
1982-08-18,8.25,,
1982-08-19,8.09,,
1982-08-20,8.5,,
1982-08-23,8.81,,
1982-08-24,9.0,,
1982-08-25,9.34,,
1982-08-26,9.22,,
1982-08-27,9.16,,
1982-08-30,9.13,,
1982-08-31,9.13,,
1982-09-01,9.06,,
1982-09-02,9.16,,
1982-09-03,9.75,,
1982-09-07,9.41,,
1982-09-08,9.47,,
1982-09-09,9.25,,
1982-09-10,9.09,,
1982-09-13,9.44,,
1982-09-14,9.66,,
1982-09-15,9.78,,
1982-09-16,9.28,,
1982-09-17,9.31,,
1982-09-20,9.34,,
1982-09-21,9.56,,
1982-09-22,9.25,,
1982-09-23,9.16,,
1982-09-24,9.13,,
1982-09-27,9.0,,
1982-09-28,8.91,,
1982-09-29,8.88,,
1982-09-30,8.75,,
1982-10-01,8.88,,
1982-10-04,8.78,,
1982-10-05,8.69,,
1982-10-06,8.66,,
1982-10-07,9.16,,
1982-10-08,9.34,,
1982-10-11,9.81,,
1982-10-12,10.56,,
1982-10-13,11.19,,
1982-10-14,10.84,,
1982-10-15,10.78,,
1982-10-18,11.19,,
1982-10-19,10.81,,
1982-10-20,11.06,,
1982-10-21,10.75,,
1982-10-22,10.5,,
1982-10-25,9.91,,
1982-10-26,9.84,,
1982-10-27,10.22,,
1982-10-28,10.03,,
1982-10-29,9.25,,
1982-11-01,9.84,,
1982-11-02,9.97,,
1982-11-03,10.69,,
1982-11-04,10.72,,
1982-11-05,10.38,,
1982-11-08,10.38,,
1982-11-09,11.13,,
1982-11-10,10.69,,
1982-11-11,10.63,,
1982-11-12,9.88,,
1982-11-15,9.72,,
1982-11-16,9.91,,
1982-11-17,9.94,,
1982-11-18,9.91,,
1982-11-19,9.5,,
1982-11-22,9.56,,
1982-11-23,9.66,,
1982-11-24,9.69,,
1982-11-26,9.78,,
1982-11-29,9.69,,
1982-11-30,9.81,,
1982-12-01,9.88,,
1982-12-02,9.69,,
1982-12-03,9.63,,
1982-12-06,10.38,,
1982-12-07,10.72,,
1982-12-08,10.63,,
1982-12-09,10.75,,
1982-12-10,11.0,,
1982-12-13,11.06,,
1982-12-14,10.5,,
1982-12-15,10.59,,
1982-12-16,10.94,,
1982-12-17,11.06,,
1982-12-20,10.94,,
1982-12-21,11.22,,
1982-12-22,11.41,,
1982-12-23,11.63,,
1982-12-27,11.78,,
1982-12-28,11.38,,
1982-12-29,11.31,,
1982-12-30,11.5,,
1982-12-31,11.66,,
1983-01-03,11.41,,
1983-01-04,11.91,,
1983-01-05,12.41,,
1983-01-06,12.78,,
1983-01-07,12.63,,
1983-01-10,12.31,,
1983-01-11,12.31,,
1983-01-12,12.44,,
1983-01-13,12.13,,
1983-01-14,12.41,,
1983-01-17,12.69,,
1983-01-18,12.25,,
1983-01-19,12.03,,
1983-01-20,12.53,,
1983-01-21,12.56,,
1983-01-24,11.78,,
1983-01-25,11.44,,
1983-01-26,11.31,,
1983-01-27,11.44,,
1983-01-28,11.47,,
1983-01-31,11.34,,
1983-02-01,10.75,,
1983-02-02,10.75,,
1983-02-03,10.66,,
1983-02-04,10.84,,
1983-02-07,11.19,,
1983-02-08,11.03,,
1983-02-09,10.88,,
1983-02-10,11.31,,
1983-02-11,11.25,,
1983-02-14,11.28,,
1983-02-15,11.09,,
1983-02-16,11.03,,
1983-02-17,10.94,,
1983-02-18,10.94,,
1983-02-22,10.25,,
1983-02-23,10.22,,
1983-02-24,10.69,,
1983-02-25,10.63,,
1983-02-28,9.78,,
1983-03-01,10.25,,
1983-03-02,10.47,,
1983-03-03,10.88,,
1983-03-04,10.66,,
1983-03-07,10.47,,
1983-03-08,10.47,,
1983-03-09,10.91,,
1983-03-10,10.56,,
1983-03-11,10.44,,
1983-03-14,10.44,,
1983-03-15,10.59,,
1983-03-16,9.81,,
1983-03-17,9.78,,
1983-03-18,9.63,,
1983-03-21,9.91,,
1983-03-22,9.66,,
1983-03-23,9.84,,
1983-03-24,9.91,,
1983-03-25,9.69,,
1983-03-28,9.69,,
1983-03-29,9.88,,
1983-03-30,10.16,,
1983-03-31,10.69,,
1983-04-04,10.66,,
1983-04-05,10.28,,
1983-04-06,10.28,,
1983-04-07,10.34,,
1983-04-08,10.56,,
1983-04-11,10.78,,
1983-04-12,10.59,,
1983-04-13,10.69,,
1983-04-14,10.81,,
1983-04-15,10.47,,
1983-04-18,10.38,,
1983-04-19,10.34,,
1983-04-20,10.47,,
1983-04-21,10.34,,
1983-04-22,10.28,,
1983-04-25,10.19,,
1983-04-26,10.88,,
1983-04-27,10.91,,
1983-04-28,11.03,,
1983-04-29,11.28,,
1983-05-02,11.31,,
1983-05-03,11.63,,
1983-05-04,11.34,,
1983-05-05,11.28,,
1983-05-06,11.38,,
1983-05-09,11.38,,
1983-05-10,11.31,,
1983-05-11,11.56,,
1983-05-12,11.44,,
1983-05-13,11.59,,
1983-05-16,11.5,,
