date,EQR,dcf,Deviation
1994-08-02,16.0,,
1994-08-03,15.81,,
1994-08-04,16.0,,
1994-08-05,15.94,,
1994-08-08,16.13,,
1994-08-09,16.06,,
1994-08-10,16.31,,
1994-08-11,16.06,,
1994-08-12,16.19,,
1994-08-15,16.25,,
1994-08-16,16.38,,
1994-08-17,16.38,,
1994-08-18,16.19,,
1994-08-19,16.0,,
1994-08-22,16.19,,
1994-08-23,15.88,,
1994-08-24,16.13,,
1994-08-25,16.13,,
1994-08-26,16.13,,
1994-08-29,16.38,,
1994-08-30,16.56,,
1994-08-31,16.5,,
1994-09-01,16.31,,
1994-09-02,16.44,,
1994-09-06,16.44,,
1994-09-07,16.5,,
1994-09-08,16.38,,
1994-09-09,16.44,,
1994-09-12,16.5,,
1994-09-13,16.13,,
1994-09-14,15.75,,
1994-09-15,15.94,,
1994-09-16,16.06,,
1994-09-19,16.38,,
1994-09-20,16.0,,
1994-09-21,16.13,,
1994-09-22,16.06,,
1994-09-23,16.13,,
1994-09-26,15.88,,
1994-09-27,15.75,,
1994-09-28,15.69,,
1994-09-29,15.81,,
1994-09-30,15.88,,
1994-10-03,16.0,,
1994-10-04,15.13,,
1994-10-05,15.0,,
1994-10-06,15.25,,
1994-10-07,15.44,,
1994-10-10,15.5,,
1994-10-11,15.75,,
1994-10-12,15.38,,
1994-10-13,15.31,,
1994-10-14,15.13,,
1994-10-17,15.25,,
1994-10-18,15.38,,
1994-10-19,15.5,,
1994-10-20,15.56,,
1994-10-21,15.38,,
1994-10-24,15.44,,
1994-10-25,15.38,,
1994-10-26,15.31,,
1994-10-27,15.31,,
1994-10-28,15.25,,
1994-10-31,14.94,,
1994-11-01,14.69,,
1994-11-02,14.63,,
1994-11-03,14.44,,
1994-11-04,14.44,,
1994-11-07,14.38,,
1994-11-08,14.31,,
1994-11-09,14.19,,
1994-11-10,14.0,,
1994-11-11,13.88,,
1994-11-14,14.0,,
1994-11-15,13.88,,
1994-11-16,13.75,,
1994-11-17,13.5,,
1994-11-18,13.5,,
1994-11-21,13.38,,
1994-11-22,12.94,,
1994-11-23,13.44,,
1994-11-25,13.63,,
1994-11-28,13.5,,
1994-11-29,13.5,,
1994-11-30,13.56,,
1994-12-01,13.44,,
1994-12-02,13.56,,
1994-12-05,13.5,,
1994-12-06,13.13,,
1994-12-07,13.38,,
1994-12-08,13.56,,
1994-12-09,13.94,,
1994-12-12,14.25,,
1994-12-13,14.44,,
1994-12-14,14.38,,
1994-12-15,14.75,,
1994-12-16,15.06,,
1994-12-19,15.19,,
1994-12-20,15.0,,
1994-12-21,14.81,,
1994-12-22,14.94,,
1994-12-23,14.94,,
1994-12-27,14.75,,
1994-12-28,14.56,,
1994-12-29,14.38,,
1994-12-30,15.0,,
1995-01-03,14.56,,
1995-01-04,14.56,,
1995-01-05,14.13,,
1995-01-06,14.31,,
1995-01-09,14.13,,
1995-01-10,14.25,,
1995-01-11,14.13,,
1995-01-12,14.0,,
1995-01-13,14.0,,
1995-01-16,13.81,,
1995-01-17,14.06,,
1995-01-18,14.0,,
1995-01-19,13.88,,
1995-01-20,13.75,,
1995-01-23,13.38,,
1995-01-24,13.56,,
1995-01-25,13.5,,
1995-01-26,13.44,,
1995-01-27,13.5,,
1995-01-30,13.38,,
1995-01-31,13.31,,
1995-02-01,13.31,,
1995-02-02,13.25,,
1995-02-03,12.88,,
1995-02-06,12.81,,
1995-02-07,13.0,,
1995-02-08,13.31,,
1995-02-09,13.5,,
1995-02-10,13.63,,
1995-02-13,13.56,,
1995-02-14,13.88,,
1995-02-15,13.75,,
1995-02-16,13.5,,
1995-02-17,13.19,,
1995-02-21,13.63,,
1995-02-22,13.75,,
1995-02-23,13.63,,
1995-02-24,13.56,,
1995-02-27,13.5,,
1995-02-28,13.56,,
1995-03-01,13.5,,
1995-03-02,13.63,,
1995-03-03,13.5,,
1995-03-06,13.5,,
1995-03-07,13.38,,
1995-03-08,13.31,,
1995-03-09,13.25,,
1995-03-10,13.06,,
1995-03-13,13.13,,
1995-03-14,13.06,,
1995-03-15,13.06,,
1995-03-16,13.06,,
1995-03-17,12.94,,
